單字	粵拼	聲母_定	韻母_定	聲調_定	IPA	聲母_定	韻母_定	聲調_定	備註
嗶		b	at	7A		p	ɐt	45	
閉		b	ei	1		p	ei	23	
陛		b	ei	1		p	ei	23	
蔽		b	ei	1		p	ei	23	
卑		b	ei	1		p	ei	23	
臂		b	ei	1		p	ei	23	
碑		b	ei	1		p	ei	23	
庇		b	ei	1		p	ei	23	比較
悲		b	ei	1		p	ei	23	
泌		b	ei	1		p	ei	23	
祕		b	ei	1		p	ei	23	
痺		b	ei	1		p	ei	23	
秘		b	ei	1		p	ei	23	
跛		b	ei	2		p	ei	45	跛腳
彼		b	ei	2		p	ei	45	
比		b	ei	2		p	ei	45	被動
妣		b	ei	2		p	ei	45	
畀		b	ei	2		p	ei	45	
陂		b	ei	5		p	ei	21	
敝		b	ei	6		p	ei	32	
弊		b	ei	6		p	ei	32	
幣		b	ei	6		p	ei	32	
斃		b	ei	6		p	ei	32	
避		b	ei	6		p	ei	32	
被		b	ei	6		p	ei	32	
鼻		b	ei	6		p	ei	32	
備		b	ei	6		p	ei	32	
憊		b	ei	6		p	ei	32	
柄		b	eng	1		p	ɛŋ	23	
餅		b	eng	2		p	ɛŋ	45	
病		b	eng	6		p	ɛŋ	32	
啤		b	iaa	1		p	ia	23	
壁		b	ik	7B		p	ɪk	23	
璧		b	ik	7B		p	ɪk	23	
碧		b	ik	7B		p	ɪk	23	
逼		b	ik	7B		p	ɪk	23	
迫		b	ik	7B		p	ɪk	23	
邊		b	in	1		p	in	23	
辮		b	in	1		p	in	23	
鞭		b	in	1		p	in	23	
變		b	in	1		p	in	23	
扁		b	in	2		p	in	45	扁平
匾		b	in	2		p	in	45	
貶		b	in	2		p	in	45	
邊		b	in	4		p	in	22	邊址
便		b	in	6		p	in	32	便利
汴		b	in	6		p	in	32	
辨		b	in	6		p	in	32	
辯		b	in	6		p	in	32	
兵		b	ing	1		p	ɪŋ	23	
冰		b	ing	1		p	ɪŋ	23	
乒		b	ing	1		p	ɪŋ	23	
柄		b	ing	2		p	ɪŋ	45	
丙		b	ing	2		p	ɪŋ	45	
秉		b	ing	2		p	ɪŋ	45	
炳		b	ing	2		p	ɪŋ	45	
摒		b	ing	2		p	ɪŋ	45	
屏		b	ing	2		p	ɪŋ	45	屏除
並		b	ing	6		p	ɪŋ	32	
并		b	ing	6		p	ɪŋ	32	
迸		b	ing	6		p	ɪŋ	32	
癟		b	it	8		p	it	32	
別		b	it	8		p	it	32	
必		b	it	7A		p	it	45	
八		b	it	7B		p	it	23	數字八
捌		b	it	7B		p	it	23	
叭		b	it	7B		p	it	23	
彆		b	it	7B		p	it	23	
包		b	iu	1		p	iu	23	
苞		b	iu	1		p	iu	23	
胞		b	iu	1		p	iu	23	
爆		b	iu	1		p	iu	23	
孢		b	iu	1		p	iu	23	
標		b	iu	1		p	iu	23	
飆		b	iu	1		p	iu	23	
鑣		b	iu	1		p	iu	23	
彪		b	iu	1		p	iu	23	
錶		b	iu	1		p	iu	23	
飽		b	iu	2		p	iu	45	
鮑		b	iu	2		p	iu	45	鮑魚
表		b	iu	2		p	iu	45	
錶		b	iu	2		p	iu	45	
鮑		b	iu	6		p	iu	32	鮑魚之肆
布		b	ou	1		p	ou	23	
佈		b	ou	1		p	ou	23	
怖		b	ou	1		p	ou	23	
埔		b	ou	1		p	ou	23	
補		b	ou	2		p	ou	45	
捕		b	ou	6		p	ou	32	
哺		b	ou	6		p	ou	32	
步		b	ou	6		p	ou	32	
部		b	ou	6		p	ou	32	
簿		b	ou	6		p	ou	32	
埠		b	ou	6		p	ou	32	埠頭
波		b	u	1		p	u	23	
播		b	u	1		p	u	23	
簸		b	u	1		p	u	23	
玻		b	u	1		p	u	23	
坡		b	u	1		p	u	23	
菠		b	u	1		p	u	23	
菠		b	u	2		p	u	45	
貝		b	ui	1		p	ui	23	
狽		b	ui	1		p	ui	23	
杯		b	ui	1		p	ui	23	
盃		b	ui	1		p	ui	23	
背		b	ui	1		p	ui	23	背後
輩		b	ui	1		p	ui	23	
悖		b	ui	1		p	ui	23	
背		b	ui	6		p	ui	32	背書
悖		b	ui	6		p	ui	32	
焙		b	ui	6		p	ui	32	
蹼		b	uk	8		p	ʊk	32	
暴		b	uk	8		p	ʊk	32	一暴十寒
僕		b	uk	8		p	ʊk	32	
瀑		b	uk	8		p	ʊk	32	
曝		b	uk	8		p	ʊk	32	
仆		b	uk	8		p	ʊk	32	
卜		b	uk	7A		p	ʊk	45	
般		b	un	1		p	un	23	
半		b	un	1		p	un	23	
搬		b	un	1		p	un	23	
本		b	un	2		p	un	45	
畚		b	un	2		p	un	45	
絆		b	un	6		p	un	32	
叛		b	un	6		p	un	32	
畔		b	un	6		p	un	32	
伴		b	un	6		p	un	32	
拌		b	un	6		p	un	32	
胖		b	un	6		p	un	32	肥胖
肨		b	un	6		p	un	32	
撥		b	ut	8		p	ut	32	
勃		b	ut	8		p	ut	32	
脖		b	ut	8		p	ut	32	
渤		b	ut	8		p	ut	32	
缽		b	ut	8		p	ut	32	
砵		b	ut	8		p	ut	32	
鉢		b	ut	8		p	ut	32	
缽		b	ut	8		p	ut	32	
雹		b	uuk	8		p	uk	32	
薄		b	uuk	8		p	uk	32	
箔		b	uuk	8		p	uk	32	
礴		b	uuk	8		p	uk	32	
泊		b	uuk	8		p	uk	32	
魄		b	uuk	8		p	uk	32	旁魄
博		b	uuk	7A		p	uk	45	
卜		b	uuk	7A		p	uk	45	
搏		b	uuk	7B		p	uk	23	
駁		b	uuk	7B		p	uk	23	
博		b	uuk	7B		p	uk	23	
膊		b	uuk	7B		p	uk	23	
縛		b	uuk	7B		p	uk	23	
邦		b	uung	1		p	uŋ	23	
幫		b	uung	1		p	uŋ	23	
榜		b	uung	2		p	uŋ	45	
綁		b	uung	2		p	uŋ	45	
膀		b	uung	2		p	uŋ	45	肩膀
傍		b	uung	6		p	uŋ	32	依山傍水
傍		b	uung	6		p	uŋ	32	傍晚
磅		b	uung	6		p	uŋ	32	一磅
詫		c	aa	1		ʦʰ	a	23	
奼		c	aa	1		ʦʰ	a	23	
差		c	aa	1		ʦʰ	a	23	差別
叉		c	aa	1		ʦʰ	a	23	
岔		c	aa	1		ʦʰ	a	23	
茶		c	aa	4		ʦʰ	a	22	
查		c	aa	4		ʦʰ	a	22	檢查
槎		c	aa	4		ʦʰ	a	22	
差		c	aai	1		ʦʰ	ai	23	出差
猜		c	aai	2		ʦʰ	ai	45	
踩		c	aai	2		ʦʰ	ai	45	
柴		c	aai	4		ʦʰ	ai	22	
參		c	aam	1		ʦʰ	am	23	
攙		c	aam	1		ʦʰ	am	23	參加
摻		c	aam	1		ʦʰ	am	23	
杉		c	aam	1		ʦʰ	am	23	
慘		c	aam	2		ʦʰ	am	45	
饞		c	aam	4		ʦʰ	am	22	
蠶		c	aam	4		ʦʰ	am	22	
慚		c	aam	4		ʦʰ	am	22	
巉		c	aam	4		ʦʰ	am	22	
餐		c	aan	1		ʦʰ	an	23	
璨		c	aan	1		ʦʰ	an	23	
燦		c	aan	1		ʦʰ	an	23	
鏟		c	aan	2		ʦʰ	an	45	
產		c	aan	2		ʦʰ	an	45	
剷		c	aan	2		ʦʰ	an	45	
殘		c	aan	4		ʦʰ	an	22	
傳		c	aan	4		ʦʰ	an	22	
插		c	aap	7B		ʦʰ	ap	23	
刷		c	aat	9		ʦʰ	at	21	
察		c	aat	7B		ʦʰ	at	23	
刷		c	aat	7B		ʦʰ	at	23	
獺		c	aat	7B		ʦʰ	at	23	
擦		c	aat	7B		ʦʰ	at	23	
抄		c	aau	1		ʦʰ	au	23	
躁		c	aau	1		ʦʰ	au	23	
澡		c	aau	1		ʦʰ	au	23	
操		c	aau	1		ʦʰ	au	23	
糙		c	aau	1		ʦʰ	au	23	
噪		c	aau	1		ʦʰ	au	23	
燥		c	aau	1		ʦʰ	au	23	
吵		c	aau	2		ʦʰ	au	45	
抄		c	aau	2		ʦʰ	au	45	
鈔		c	aau	2		ʦʰ	au	45	
炒		c	aau	2		ʦʰ	au	45	
草		c	aau	2		ʦʰ	au	45	
巢		c	aau	4		ʦʰ	au	22	
槽		c	aau	4		ʦʰ	au	22	
曹		c	aau	4		ʦʰ	au	22	
嘈		c	aau	4		ʦʰ	au	22	
賊		c	ak	9		ʦʰ	ɐk	21	
吒		c	ak	7A		ʦʰ	ɐk	45	叱吒
柵		c	ak	7B		ʦʰ	ɐk	23	木柵
測		c	ak	7B		ʦʰ	ɐk	23	
惻		c	ak	7B		ʦʰ	ɐk	23	
坼		c	ak	7B		ʦʰ	ɐk	23	
冊		c	ak	7B		ʦʰ	ɐk	23	
策		c	ak	7B		ʦʰ	ɐk	23	
賊		c	ak	7B		ʦʰ	ɐk	23	
拆		c	ak	7B		ʦʰ	ɐk	23	
侵		c	am	1		ʦʰ	ɐm	23	
參		c	am	1		ʦʰ	ɐm	23	參差
寢		c	am	2		ʦʰ	ɐm	45	
尋		c	am	4		ʦʰ	ɐm	22	
沉		c	am	4		ʦʰ	ɐm	22	
親		c	an	1		ʦʰ	ɐn	23	
村		c	an	1		ʦʰ	ɐn	23	
春		c	an	1		ʦʰ	ɐn	23	
鶉		c	an	1		ʦʰ	ɐn	23	鵪鶉
瞋		c	an	1		ʦʰ	ɐn	23	
趁		c	an	1		ʦʰ	ɐn	23	
襯		c	an	1		ʦʰ	ɐn	23	
村		c	an	1		ʦʰ	ɐn	23	
寸		c	an	1		ʦʰ	ɐn	23	
蠢		c	an	2		ʦʰ	ɐn	45	
疹		c	an	2		ʦʰ	ɐn	45	
診		c	an	2		ʦʰ	ɐn	45	
忖		c	an	2		ʦʰ	ɐn	45	
旬		c	an	4		ʦʰ	ɐn	22	
巡		c	an	4		ʦʰ	ɐn	22	
循		c	an	4		ʦʰ	ɐn	22	
秦		c	an	4		ʦʰ	ɐn	22	
陳		c	an	4		ʦʰ	ɐn	22	
塵		c	an	4		ʦʰ	ɐn	22	
存		c	an	4		ʦʰ	ɐn	22	
村		c	an	5		ʦʰ	ɐn	21	
瞠		c	ang	1		ʦʰ	ɐŋ	23	
鐺		c	ang	1		ʦʰ	ɐŋ	23	瓦鐺
撐		c	ang	1		ʦʰ	ɐŋ	23	
鎗		c	ang	1		ʦʰ	ɐŋ	23	
鋥		c	ang	1		ʦʰ	ɐŋ	23	
牚		c	ang	1		ʦʰ	ɐŋ	23	
鐺		c	ang	4		ʦʰ	ɐŋ	22	
橙		c	ang	4		ʦʰ	ɐŋ	22	
曾		c	ang	4		ʦʰ	ɐŋ	22	曾經
層		c	ang	4		ʦʰ	ɐŋ	22	
緝		c	ap	7A		ʦʰ	ɐp	45	
輯		c	ap	7A		ʦʰ	ɐp	45	
七		c	at	7A		ʦʰ	ɐt	45	
柒		c	at	7A		ʦʰ	ɐt	45	
漆		c	at	7A		ʦʰ	ɐt	45	
猝		c	at	7A		ʦʰ	ɐt	45	
出		c	at	7A		ʦʰ	ɐt	45	
齣		c	at	7A		ʦʰ	ɐt	45	
秋		c	au	1		ʦʰ	ɐu	23	
鰍		c	au	1		ʦʰ	ɐu	23	
糗		c	au	1		ʦʰ	ɐu	23	
嗅		c	au	1		ʦʰ	ɐu	23	
囚		c	au	4		ʦʰ	ɐu	22	
妻		c	ei	1		ʦʰ	ei	23	
萋		c	ei	1		ʦʰ	ei	23	
淒		c	ei	1		ʦʰ	ei	23	
悽		c	ei	1		ʦʰ	ei	23	
砌		c	ei	1		ʦʰ	ei	23	
切		c	ei	1		ʦʰ	ei	23	一切
棲		c	ei	1		ʦʰ	ei	23	
沏		c	ei	1		ʦʰ	ei	23	
齊		c	ei	4		ʦʰ	ei	22	整齊
隋		c	ei	4		ʦʰ	ei	22	
隨		c	ei	4		ʦʰ	ei	22	
糍		c	ei	4		ʦʰ	ei	22	丸糍、團糍
赤		c	ek	7A		ʦʰ	ɛk	45	又音
尺		c	ek	7B		ʦʰ	ɛk	23	
赤		c	ek	7B		ʦʰ	ɛk	23	
惜		c	ek	7B		ʦʰ	ɛk	23	疼愛，白讀
青		c	eng	1		ʦʰ	ɛŋ	23	青色，白讀
清		c	eng	1		ʦʰ	ɛŋ	23	水清，白讀
請		c	eng	2		ʦʰ	ɛŋ	45	白讀
醒		c	eng	2		ʦʰ	ɛŋ	45	瞓醒，白讀
情		c	eng	4		ʦʰ	ɛŋ	22	情願，白讀
晴		c	eng	4		ʦʰ	ɛŋ	22	晴水，白讀，天放晴
似		c	i	1		ʦʰ	i	23	
刺		c	i	1		ʦʰ	i	23	
賜		c	i	1		ʦʰ	i	23	
姒		c	i	1		ʦʰ	i	23	
痴		c	i	1		ʦʰ	i	23	
嗤		c	i	1		ʦʰ	i	23	
熾		c	i	1		ʦʰ	i	23	
恃		c	i	1		ʦʰ	i	23	
幟		c	i	1		ʦʰ	i	23	
翅		c	i	1		ʦʰ	i	23	
差		c	i	1		ʦʰ	i	23	參差
儲		c	i	1		ʦʰ	i	23	
佇		c	i	1		ʦʰ	i	23	
杼		c	i	1		ʦʰ	i	23	
貯		c	i	1		ʦʰ	i	23	
處		c	i	1		ʦʰ	i	23	
杵		c	i	1		ʦʰ	i	23	
柱		c	i	1		ʦʰ	i	23	
雌		c	i	2		ʦʰ	i	45	
此		c	i	2		ʦʰ	i	45	
恥		c	i	2		ʦʰ	i	45	
齒		c	i	2		ʦʰ	i	45	
始		c	i	2		ʦʰ	i	45	
侈		c	i	2		ʦʰ	i	45	
疵		c	i	2		ʦʰ	i	45	
矢		c	i	2		ʦʰ	i	45	
扯		c	i	2		ʦʰ	i	45	
雌		c	i	4		ʦʰ	i	22	
臍		c	i	4		ʦʰ	i	22	
持		c	i	4		ʦʰ	i	22	
慈		c	i	4		ʦʰ	i	22	
弛		c	i	4		ʦʰ	i	22	
池		c	i	4		ʦʰ	i	22	
馳		c	i	4		ʦʰ	i	22	
茨		c	i	4		ʦʰ	i	22	
瓷		c	i	4		ʦʰ	i	22	
遲		c	i	4		ʦʰ	i	22	
躇		c	i	4		ʦʰ	i	22	
廚		c	i	4		ʦʰ	i	22	
磁		c	i	4		ʦʰ	i	22	
茲		c	i	4		ʦʰ	i	22	龜茲，國名
署		c	i	5		ʦʰ	i	21	
櫥		c	i	5		ʦʰ	i	21	
車		c	iaa	1		ʦʰ	ia	23	汽車
奢		c	iaa	1		ʦʰ	ia	23	
且		c	iaa	2		ʦʰ	ia	45	
扯		c	iaa	2		ʦʰ	ia	45	
邪		c	iaa	4		ʦʰ	ia	22	
斜		c	iaa	4		ʦʰ	ia	22	
超		c	iaau	1		ʦʰ	iau	23	
丑		c	iaau	2		ʦʰ	iau	45	
醜		c	iaau	2		ʦʰ	iau	45	
潮		c	iaau	4		ʦʰ	iau	22	地名
戚		c	ik	7A		ʦʰ	ɪk	45	
赤		c	ik	7A		ʦʰ	ɪk	45	赤小豆
斥		c	ik	7A		ʦʰ	ɪk	45	
敕		c	ik	7A		ʦʰ	ɪk	45	
叱		c	ik	7A		ʦʰ	ɪk	45	叱石，地名
籤		c	im	1		ʦʰ	im	23	
塹		c	im	1		ʦʰ	im	23	
纖		c	im	1		ʦʰ	im	23	
簽		c	im	1		ʦʰ	im	23	
諂		c	im	2		ʦʰ	im	45	
潛		c	im	4		ʦʰ	im	22	
籤		c	im	5		ʦʰ	im	21	牙籤，變調
簽		c	im	5		ʦʰ	im	21	牙簽，變調
千		c	in	1		ʦʰ	in	23	
仟		c	in	1		ʦʰ	in	23	
阡		c	in	1		ʦʰ	in	23	
遷		c	in	1		ʦʰ	in	23	
踐		c	in	1		ʦʰ	in	23	
淺		c	in	2		ʦʰ	in	45	
前		c	in	4		ʦʰ	in	22	
錢		c	in	4		ʦʰ	in	22	
纏		c	in	4		ʦʰ	in	22	
青		c	ing	1		ʦʰ	ɪŋ	23	
蜻		c	ing	1		ʦʰ	ɪŋ	23	
清		c	ing	1		ʦʰ	ɪŋ	23	
稱		c	ing	1		ʦʰ	ɪŋ	23	稱呼
秤		c	ing	1		ʦʰ	ɪŋ	23	地秤
請		c	ing	2		ʦʰ	ɪŋ	45	
逞		c	ing	2		ʦʰ	ɪŋ	45	
騁		c	ing	2		ʦʰ	ɪŋ	45	
拯		c	ing	2		ʦʰ	ɪŋ	45	
情		c	ing	4		ʦʰ	ɪŋ	22	
晴		c	ing	4		ʦʰ	ɪŋ	22	
呈		c	ing	4		ʦʰ	ɪŋ	22	
程		c	ing	4		ʦʰ	ɪŋ	22	
懲		c	ing	4		ʦʰ	ɪŋ	22	
澄		c	ing	4		ʦʰ	ɪŋ	22	
埕		c	ing	4		ʦʰ	ɪŋ	22	
秤		c	ing	5		ʦʰ	ɪŋ	21	
妾		c	ip	7B		ʦʰ	ip	23	
切		c	it	7B		ʦʰ	it	23	急切
設		c	it	7B		ʦʰ	it	23	
撤		c	it	7B		ʦʰ	it	23	
徹		c	it	7B		ʦʰ	it	23	
澈		c	it	7B		ʦʰ	it	23	
轍		c	it	7B		ʦʰ	it	23	
俏		c	iu	1		ʦʰ	iu	23	
峭		c	iu	1		ʦʰ	iu	23	
肖		c	iu	1		ʦʰ	iu	23	肖像
昭		c	iu	1		ʦʰ	iu	23	
鞘		c	iu	1		ʦʰ	iu	23	
悄		c	iu	2		ʦʰ	iu	45	
憔		c	iu	4		ʦʰ	iu	22	
樵		c	iu	4		ʦʰ	iu	22	
晁		c	iu	4		ʦʰ	iu	22	
朝		c	iu	4		ʦʰ	iu	22	朝廷
潮		c	iu	4		ʦʰ	iu	22	
瞧		c	iu	4		ʦʰ	iu	22	
綽		c	iuuk	7B		ʦʰ	iuk	23	
桌		c	iuuk	7B		ʦʰ	iuk	23	
卓		c	iuuk	7B		ʦʰ	iuk	23	
槍		c	iuung	1		ʦʰ	iuŋ	23	
鏘		c	iuung	1		ʦʰ	iuŋ	23	
搶		c	iuung	1		ʦʰ	iuŋ	23	
悵		c	iuung	1		ʦʰ	iuŋ	23	
暢		c	iuung	1		ʦʰ	iuŋ	23	
昌		c	iuung	1		ʦʰ	iuŋ	23	
菖		c	iuung	1		ʦʰ	iuŋ	23	
猖		c	iuung	1		ʦʰ	iuŋ	23	
倡		c	iuung	1		ʦʰ	iuŋ	23	
唱		c	iuung	1		ʦʰ	iuŋ	23	
鎗		c	iuung	1		ʦʰ	iuŋ	23	
嗆		c	iuung	1		ʦʰ	iuŋ	23	
搶		c	iuung	2		ʦʰ	iuŋ	45	
長		c	iuung	4		ʦʰ	iuŋ	22	長久
場		c	iuung	4		ʦʰ	iuŋ	22	
腸		c	iuung	4		ʦʰ	iuŋ	22	
薔		c	iuung	4		ʦʰ	iuŋ	22	
牆		c	iuung	4		ʦʰ	iuŋ	22	
戕		c	iuung	4		ʦʰ	iuŋ	22	
湊		c	ou	1		ʦʰ	ou	23	
醋		c	ou	1		ʦʰ	ou	23	
厝		c	ou	1		ʦʰ	ou	23	
措		c	ou	1		ʦʰ	ou	23	
錯		c	ou	1		ʦʰ	ou	23	同“措”
聚		c	ou	1		ʦʰ	ou	23	聚錢，存錢
粗		c	ou	1		ʦʰ	ou	23	
娶		c	ou	2		ʦʰ	ou	45	娶老婆、娶新婦
抽		c	u	1		ʦʰ	u	23	
臭		c	u	1		ʦʰ	u	23	
錯		c	u	1		ʦʰ	u	23	
挫		c	u	1		ʦʰ	u	23	
搓		c	u	1		ʦʰ	u	23	
磋		c	u	1		ʦʰ	u	23	
蹉		c	u	1		ʦʰ	u	23	
初		c	u	1		ʦʰ	u	23	
雛		c	u	1		ʦʰ	u	23	
坐		c	u	1		ʦʰ	u	23	
楚		c	u	2		ʦʰ	u	45	
礎		c	u	2		ʦʰ	u	45	
稠		c	u	4		ʦʰ	u	22	
疇		c	u	4		ʦʰ	u	22	
籌		c	u	4		ʦʰ	u	22	
躊		c	u	4		ʦʰ	u	22	
惆		c	u	4		ʦʰ	u	22	
酬		c	u	4		ʦʰ	u	22	
綢		c	u	4		ʦʰ	u	22	
鋤		c	u	4		ʦʰ	u	22	
蔡		c	ui	1		ʦʰ	ui	23	
菜		c	ui	1		ʦʰ	ui	23	
塞		c	ui	1		ʦʰ	ui	23	塞外
賽		c	ui	1		ʦʰ	ui	23	
脆		c	ui	1		ʦʰ	ui	23	
翠		c	ui	1		ʦʰ	ui	23	
蛆		c	ui	1		ʦʰ	ui	23	
趨		c	ui	1		ʦʰ	ui	23	
趣		c	ui	1		ʦʰ	ui	23	
崔		c	ui	1		ʦʰ	ui	23	
催		c	ui	1		ʦʰ	ui	23	
璀		c	ui	1		ʦʰ	ui	23	
吹		c	ui	1		ʦʰ	ui	23	
炊		c	ui	1		ʦʰ	ui	23	
衰		c	ui	1		ʦʰ	ui	23	齊衰
摧		c	ui	1		ʦʰ	ui	23	
覷		c	ui	1		ʦʰ	ui	23	
采		c	ui	2		ʦʰ	ui	45	
採		c	ui	2		ʦʰ	ui	45	
彩		c	ui	2		ʦʰ	ui	45	
綵		c	ui	2		ʦʰ	ui	45	
睬		c	ui	2		ʦʰ	ui	45	
取		c	ui	2		ʦʰ	ui	45	
娶		c	ui	2		ʦʰ	ui	45	
處		c	ui	2		ʦʰ	ui	45	處理
才		c	ui	4		ʦʰ	ui	22	
材		c	ui	4		ʦʰ	ui	22	
財		c	ui	4		ʦʰ	ui	22	
裁		c	ui	4		ʦʰ	ui	22	
隋		c	ui	4		ʦʰ	ui	22	
隨		c	ui	4		ʦʰ	ui	22	
錘		c	ui	4		ʦʰ	ui	22	鐵錘
槌		c	ui	4		ʦʰ	ui	22	
鎚		c	ui	4		ʦʰ	ui	22	
椎		c	ui	4		ʦʰ	ui	22	鐵椎
除		c	ui	4		ʦʰ	ui	22	
徐		c	ui	4		ʦʰ	ui	22	
蜍		c	ui	4		ʦʰ	ui	22	
廚		c	ui	4		ʦʰ	ui	22	
搥		c	ui	4		ʦʰ	ui	22	
櫥		c	ui	4		ʦʰ	ui	22	
處		c	ui	5		ʦʰ	ui	21	四處
蹙		c	uk	7A		ʦʰ	ʊk	45	
蹴		c	uk	7A		ʦʰ	ʊk	45	
蓄		c	uk	7A		ʦʰ	ʊk	45	
促		c	uk	7A		ʦʰ	ʊk	45	
簇		c	uk	7A		ʦʰ	ʊk	45	
速		c	uk	7A		ʦʰ	ʊk	45	
矗		c	uk	7A		ʦʰ	ʊk	45	
束		c	uk	7A		ʦʰ	ʊk	45	
畜		c	uk	7A		ʦʰ	ʊk	45	
齪		c	uk	7A		ʦʰ	ʊk	45	
竄		c	un	2		ʦʰ	un	45	
湍		c	un	2		ʦʰ	un	45	
囪		c	ung	1		ʦʰ	ʊŋ	23	
蔥		c	ung	1		ʦʰ	ʊŋ	23	
聰		c	ung	1		ʦʰ	ʊŋ	23	
沖		c	ung	1		ʦʰ	ʊŋ	23	
衷		c	ung	1		ʦʰ	ʊŋ	23	
忡		c	ung	1		ʦʰ	ʊŋ	23	
充		c	ung	1		ʦʰ	ʊŋ	23	
銃		c	ung	1		ʦʰ	ʊŋ	23	
重		c	ung	1		ʦʰ	ʊŋ	23	重量重
匆		c	ung	1		ʦʰ	ʊŋ	23	
冢		c	ung	2		ʦʰ	ʊŋ	45	
塚		c	ung	2		ʦʰ	ʊŋ	45	
寵		c	ung	2		ʦʰ	ʊŋ	45	
衝		c	ung	2		ʦʰ	ʊŋ	45	
憧		c	ung	2		ʦʰ	ʊŋ	45	
蟲		c	ung	4		ʦʰ	ʊŋ	22	
重		c	ung	4		ʦʰ	ʊŋ	22	重新
松		c	ung	4		ʦʰ	ʊŋ	22	
從		c	ung	4		ʦʰ	ʊŋ	22	
叢		c	ung	4		ʦʰ	ʊŋ	22	
撮		c	ut	7B		ʦʰ	ut	23	
綽		c	uuk	7B		ʦʰ	uk	23	
戳		c	uuk	7B		ʦʰ	uk	23	
倉		c	uung	1		ʦʰ	uŋ	23	
蒼		c	uung	1		ʦʰ	uŋ	23	
滄		c	uung	1		ʦʰ	uŋ	23	
瘡		c	uung	1		ʦʰ	uŋ	23	
創		c	uung	1		ʦʰ	uŋ	23	
愴		c	uung	1		ʦʰ	uŋ	23	
艙		c	uung	1		ʦʰ	uŋ	23	
窗		c	uung	1		ʦʰ	uŋ	23	
闖		c	uung	2		ʦʰ	uŋ	45	
敞		c	uung	2		ʦʰ	uŋ	45	
廠		c	uung	2		ʦʰ	uŋ	45	
庠		c	uung	4		ʦʰ	uŋ	22	
祥		c	uung	4		ʦʰ	uŋ	22	
翔		c	uung	4		ʦʰ	uŋ	22	
床		c	uung	4		ʦʰ	uŋ	22	
詳		c	uung	4		ʦʰ	uŋ	22	
幢		c	uung	4		ʦʰ	uŋ	22	幡幢
藏		c	uung	4		ʦʰ	uŋ	22	收藏
川		c	yun	1		ʦʰ	yn	23	
穿		c	yun	1		ʦʰ	yn	23	
