單字	聲紐	呼	等	韻部	聲調	組	攝	江拼	聲母_定	韻母_定	聲調_定	IPA(寬)	聲母_定	韻母_定	聲調_定	IPA(嚴)	聲母_定	韻母_定	聲調_定	備註
帛	並	開	二	庚	入	幫	梗		b	ak	8		p	ak	31		p	ᴀk	31	
蔔	並	開	一	登	入	幫	曾		b	ak	8		p	ak	31		p	ᴀk	31	
卜	並	開	一	登	入	幫	曾		b	ak	8		p	ak	31		p	ᴀk	31	萝卜
伯	幫	開	三	辛	入	幫	梗		b	ak	9		p	ak	21		p	ᴀk	21	阿伯
北	幫	開	一	登	入	幫	曾		b	ak	6		p	ak	35		p	ᴀk	35	
百	幫	開	一	己	入	幫	梗		b	ak	6		p	ak	35		p	ᴀk	35	百厭
百	幫	開	二	庚	入	幫	梗		b	ak	7		p	ak	23		p	ᴀk	23	一百
伯	幫	開	二	庚	入	幫	梗		b	ak	7		p	ak	23		p	ᴀk	23	伯爺
頒	並	合	三	文	平	幫	臻		b	an	1		p	an	23		p	ᴀn	23	
班	幫	開	二	刪	平	幫	山		b	an	1		p	an	23		p	ᴀn	23	
斑	幫	開	二	刪	平	幫	山		b	an	1		p	an	23		p	ᴀn	23	
阪	幫	合	三	元	上	幫	山		b	an	3		p	an	35		p	ᴀn	35	
板	幫	開	二	刪	上	幫	山		b	an	3		p	an	35		p	ᴀn	35	
版	幫	開	二	刪	上	幫	山		b	an	3		p	an	35		p	ᴀn	35	
粄	幫	開	一	寒	上	幫	山		b	an	3		p	an	35		p	ᴀn	35	
闆	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	an	3		p	an	35		p	ᴀn	35	
扮	幫	合	三	文	平	幫	臻		b	an	4		p	an	31		p	ᴀn	31	
辦	並	開	二	山	去	幫	山		b	an	4		p	an	31		p	ᴀn	31	
繃	幫	開	二	耕	平	幫	梗		b	ang	1		p	aŋ	23		p	ᴀŋ	23	繃帶
崩	幫	開	一	登	平	幫	曾		b	ang	1		p	aŋ	23		p	ᴀŋ	23	
蹦	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	ang	3		p	aŋ	35		p	ᴀŋ	35	
褒	幫	開	一	豪	平	幫	效		b	au	1		p	au	23		p	ᴀw	23	
報	幫	開	一	豪	去	幫	效		b	au	1		p	au	23		p	ᴀw	23	
煲	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	au	1		p	au	23		p	ᴀw	23	
保	幫	開	一	豪	上	幫	效		b	au	3		p	au	35		p	ᴀw	35	
葆	幫	開	一	豪	上	幫	效		b	au	3		p	au	35		p	ᴀw	35	
堡	幫	開	一	豪	上	幫	效		b	au	3		p	au	35		p	ᴀw	35	
褓	幫	開	一	豪	上	幫	效		b	au	3		p	au	35		p	ᴀw	35	
寶	幫	開	一	豪	上	幫	效		b	au	3		p	au	35		p	ᴀw	35	
暴	並	開	一	豪	去	幫	效		b	au	4		p	au	31		p	ᴀw	31	凶暴
乓	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	aem	1		p	ɐm	23		p	ɐm	23	
賓	幫	開	三	真A	平	幫	臻		b	aen	1		p	ɐn	23		p	ɐn	23	
濱	幫	開	三	真A	平	幫	臻		b	aen	1		p	ɐn	23		p	ɐn	23	
檳	幫	開	三	真A	平	幫	臻		b	aen	1		p	ɐn	23		p	ɐn	23	
鬢	幫	開	三	真A	去	幫	臻		b	aen	1		p	ɐn	23		p	ɐn	23	
臏	並	開	三	真A	上	幫	臻		b	aen	1		p	ɐn	23		p	ɐn	23	
繽	滂	開	三	真A	平	幫	臻		b	aen	1		p	ɐn	23		p	ɐn	23	
彬	幫	開	三	真B	平	幫	臻		b	aen	1		p	ɐn	23		p	ɐn	23	
奔	幫	合	一	魂	平	幫	臻		b	aen	1		p	ɐn	23		p	ɐn	23	
稟	幫	開	三	侵B	上	幫	深		b	aen	3		p	ɐn	35		p	ɐn	35	
品	滂	開	三	侵B	上	幫	深		b	aen	3		p	ɐn	35		p	ɐn	35	
鬢	幫	開	四	真A	去	幫	臻		b	aen	4		p	ɐn	31		p	ɐn	31	
笨	幫	合	一	魂	上	幫	臻		b	aen	4		p	ɐn	31		p	ɐn	31	
拔	並	合	三	元	入	幫	山		b	aet	8		p	ɐt	31		p	ɐt	31	
跋	並	開	一	寒	入	幫	山		b	aet	8		p	ɐt	31		p	ɐt	31	
畢	幫	開	三	真A	入	幫	臻		b	aet	6		p	ɐt	35		p	ɐt	35	
筆	幫	開	三	真B	入	幫	臻		b	aet	6		p	ɐt	35		p	ɐt	35	
不	幫	合	三	尤	平	幫	流		b	aet	6		p	ɐt	35		p	ɐt	35	
嗶	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	aet	6		p	ɐt	35		p	ɐt	35	
卑	幫	開	三	支A	平	幫	止		b	ei	1		p	ei	23		p	ei	23	
臂	幫	開	三	支A	去	幫	止		b	ei	1		p	ei	23		p	ei	23	
碑	幫	開	三	支B	平	幫	止		b	ei	1		p	ei	23		p	ei	23	
庇	幫	開	三	脂A	去	幫	止		b	ei	1		p	ei	23		p	ei	23	比較
悲	幫	開	三	脂B	平	幫	止		b	ei	1		p	ei	23		p	ei	23	
泌	幫	開	三	脂B	去	幫	止		b	ei	1		p	ei	23		p	ei	23	
祕	幫	開	三	脂B	去	幫	止		b	ei	1		p	ei	23		p	ei	23	
痺	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	ei	1		p	ei	23		p	ei	23	
秘	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	ei	1		p	ei	23		p	ei	23	
彼	幫	開	三	支B	上	幫	止		b	ei	3		p	ei	35		p	ei	35	
比	幫	開	三	脂A	上	幫	止		b	ei	3		p	ei	35		p	ei	35	被動
妣	幫	開	三	脂A	上	幫	止		b	ei	3		p	ei	35		p	ei	35	
畀									b	ei	3		p	ei	35		p	ei	35	
陂	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	ei	2		p	ei	21		p	ei	21	
避	並	開	三	支A	去	幫	止		b	ei	4		p	ei	31		p	ei	31	
被	並	開	三	支B	去	幫	止		b	ei	4		p	ei	31		p	ei	31	
鼻	並	開	三	脂A	去	幫	止		b	ei	4		p	ei	31		p	ei	31	
備	並	開	三	脂B	去	幫	止		b	ei	4		p	ei	31		p	ei	31	
憊	並	開	二	皆	去	幫	蟹		b	ei	4		p	ei	31		p	ei	31	
八	幫	開	二	山	入	幫	山		b	et	6		p	ɛt	35		p	ɛt	35	八卦
八	幫	開	二	山	入	幫	山		b	et	7		p	ɛt	23		p	ɛt	23	數字八
捌	幫	開	二	山	入	幫	山		b	et	7		p	ɛt	23		p	ɛt	23	
叭	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	et	7		p	ɛt	23		p	ɛt	23	
卑	幫	開	三	支A	平	幫	止		b	i	1		p	i	23		p	i	23	又音
臂	幫	開	三	支A	去	幫	止		b	i	1		p	i	23		p	i	23	又音
碑	幫	開	三	支B	平	幫	止		b	i	1		p	i	23		p	i	23	又音
庇	幫	開	三	脂A	去	幫	止		b	i	1		p	i	23		p	i	23	比較，又音
悲	幫	開	三	脂B	平	幫	止		b	i	1		p	i	23		p	i	23	又音
泌	幫	開	三	脂B	去	幫	止		b	i	1		p	i	23		p	i	23	又音
祕	幫	開	三	脂B	去	幫	止		b	i	1		p	i	23		p	i	23	又音
痺	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	i	1		p	i	23		p	i	23	又音
秘	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	i	1		p	i	23		p	i	23	又音
彼	幫	開	三	支B	上	幫	止		b	i	3		p	i	35		p	i	35	又音
比	幫	開	三	脂A	上	幫	止		b	i	3		p	i	35		p	i	35	被動，又音
妣	幫	開	三	脂A	上	幫	止		b	i	3		p	i	35		p	i	35	又音
畀									b	i	3		p	i	35		p	i	35	又音
陂	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	i	2		p	i	21		p	i	21	又音
避	並	開	三	支A	去	幫	止		b	i	4		p	i	31		p	i	31	又音
被	並	開	三	支B	去	幫	止		b	i	4		p	i	31		p	i	31	又音
鼻	並	開	三	脂A	去	幫	止		b	i	4		p	i	31		p	i	31	又音
備	並	開	三	脂B	去	幫	止		b	i	4		p	i	31		p	i	31	又音
憊	並	開	二	皆	去	幫	蟹		b	i	4		p	i	31		p	i	31	又音
啤	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	ia	1		p	ia	23		p	ɪᴀ	23	
柄	幫	開	三	庚	去	幫	梗		b	iang	1		p	iaŋ	23		p	ɪᴀŋ	23	
餅	幫	開	三	清A	上	幫	梗		b	iang	3		p	iaŋ	35		p	ɪᴀŋ	35	
病	並	開	三	庚	去	幫	梗		b	iang	4		p	iaŋ	31		p	ɪᴀŋ	31	
包	幫	開	二	肴	平	幫	效		b	iau	1		p	iau	23		p	ɪᴀw	23	
苞	幫	開	二	肴	平	幫	效		b	iau	1		p	iau	23		p	ɪᴀw	23	
胞	幫	開	二	肴	平	幫	效		b	iau	1		p	iau	23		p	ɪᴀw	23	
爆	幫	開	二	肴	去	幫	效		b	iau	1		p	iau	23		p	ɪᴀw	23	
孢	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	iau	1		p	iau	23		p	ɪᴀw	23	
標	幫	開	三	宵A	平	幫	效		b	iau	1		p	iau	23		p	ɪᴀw	23	
飆	幫	開	三	宵A	平	幫	效		b	iau	1		p	iau	23		p	ɪᴀw	23	
鑣	幫	開	三	宵B	平	幫	效		b	iau	1		p	iau	23		p	ɪᴀw	23	
彪	幫	開	三	幽	平	幫	流		b	iau	1		p	iau	23		p	ɪᴀw	23	
錶	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	iau	1		p	iau	23		p	ɪᴀw	23	
飽	幫	開	二	肴	上	幫	效		b	iau	3		p	iau	35		p	ɪᴀw	35	
鮑	並	開	二	肴	上	幫	效		b	iau	3		p	iau	35		p	ɪᴀw	35	鮑魚
表	幫	開	三	宵B	上	幫	效		b	iau	3		p	iau	35		p	ɪᴀw	35	
錶	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	iau	3		p	iau	35		p	ɪᴀw	35	
鮑	並	開	二	肴	上	幫	效		b	iau	4		p	iau	31		p	ɪᴀw	31	鮑魚之肆
卑	幫	開	三	支A	平	幫	止		b	ie	1		p	iɛ	23		p	iɘ	23	又音
臂	幫	開	三	支A	去	幫	止		b	ie	1		p	iɛ	23		p	iɘ	23	又音
碑	幫	開	三	支B	平	幫	止		b	ie	1		p	iɛ	23		p	iɘ	23	又音
庇	幫	開	三	脂A	去	幫	止		b	ie	1		p	iɛ	23		p	iɘ	23	比較，又音
悲	幫	開	三	脂B	平	幫	止		b	ie	1		p	iɛ	23		p	iɘ	23	又音
泌	幫	開	三	脂B	去	幫	止		b	ie	1		p	iɛ	23		p	iɘ	23	又音
祕	幫	開	三	脂B	去	幫	止		b	ie	1		p	iɛ	23		p	iɘ	23	又音
痺	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	ie	1		p	iɛ	23		p	iɘ	23	又音
秘	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	ie	1		p	iɛ	23		p	iɘ	23	又音
彼	幫	開	三	支B	上	幫	止		b	ie	3		p	iɛ	35		p	iɘ	35	又音
比	幫	開	三	脂A	上	幫	止		b	ie	3		p	iɛ	35		p	iɘ	35	被動，又音
妣	幫	開	三	脂A	上	幫	止		b	ie	3		p	iɛ	35		p	iɘ	35	又音
畀									b	ie	3		p	iɛ	35		p	iɘ	35	又音
陂	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	ie	2		p	iɛ	21		p	iɘ	21	又音
避	並	開	三	支A	去	幫	止		b	ie	4		p	iɛ	31		p	iɘ	31	又音
被	並	開	三	支B	去	幫	止		b	ie	4		p	iɛ	31		p	iɘ	31	又音
鼻	並	開	三	脂A	去	幫	止		b	ie	4		p	iɛ	31		p	iɘ	31	又音
備	並	開	三	脂B	去	幫	止		b	ie	4		p	iɛ	31		p	iɘ	31	又音
憊	並	開	二	皆	去	幫	蟹		b	ie	4		p	iɛ	31		p	iɘ	31	又音
壁	幫	開	四	青	入	幫	梗		b	ik	7		p	ɪk	23		p	ɪk	23	
璧	幫	開	三	清A	入	幫	梗		b	ik	7		p	ɪk	23		p	ɪk	23	
碧	幫	開	三	清B	入	幫	梗		b	ik	7		p	ɪk	23		p	ɪk	23	
逼	幫	開	三	蒸	入	幫	曾		b	ik	7		p	ɪk	23		p	ɪk	23	
迫	幫	開	二	庚	入	幫	梗		b	ik	7		p	ɪk	23		p	ɪk	23	
邊	幫	開	四	先	平	幫	山		b	in	1		p	in	23		p	in	23	
辮	並	開	四	先	上	幫	山		b	in	1		p	in	23		p	in	23	
鞭	幫	開	三	仙A	平	幫	山		b	in	1		p	in	23		p	in	23	
變	幫	開	三	仙B	去	幫	山		b	in	1		p	in	23		p	in	23	
扁	幫	開	四	先	上	幫	山		b	in	3		p	in	35		p	in	35	扁平
匾	幫	開	四	先	上	幫	山		b	in	3		p	in	35		p	in	35	
貶	幫	開	三	鹽B	上	幫	咸		b	in	3		p	in	35		p	in	35	
邊	幫	開	三	先	平	幫	山		b	in	2		p	in	22		p	in	22	邊址
便	並	開	三	仙A	去	幫	山		b	in	4		p	in	31		p	in	31	便利
汴	並	開	三	仙B	去	幫	山		b	in	4		p	in	31		p	in	31	
辨	並	開	三	仙B	上	幫	山		b	in	4		p	in	31		p	in	31	
辯	並	開	三	仙B	上	幫	山		b	in	4		p	in	31		p	in	31	
兵	幫	開	三	庚	平	幫	梗		b	ing	1		p	ɪŋ	23		p	ɛeŋ	23	
冰	幫	開	三	蒸	平	幫	曾		b	ing	1		p	ɪŋ	23		p	ɛeŋ	23	
乒	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	ing	1		p	ɪŋ	23		p	ɛeŋ	23	
柄	幫	開	三	庚	去	幫	梗		b	ing	3		p	ɪŋ	35		p	ɛeŋ	35	
丙	幫	開	三	庚	上	幫	梗		b	ing	3		p	ɪŋ	35		p	ɛeŋ	35	
秉	幫	開	三	庚	上	幫	梗		b	ing	3		p	ɪŋ	35		p	ɛeŋ	35	
炳	幫	開	三	庚	上	幫	梗		b	ing	3		p	ɪŋ	35		p	ɛeŋ	35	
摒	幫	開	三	清A	去	幫	梗		b	ing	3		p	ɪŋ	35		p	ɛeŋ	35	
屏	幫	開	三	清A	上	幫	梗		b	ing	3		p	ɪŋ	35		p	ɛeŋ	35	屏除
並	並	開	四	青	上	幫	梗		b	ing	4		p	ɪŋ	31		p	ɛeŋ	31	
并	幫	開	三	清A	平	幫	梗		b	ing	4		p	ɪŋ	31		p	ɛeŋ	31	
迸	幫	開	二	耕	去	幫	梗		b	ing	4		p	ɪŋ	31		p	ɛeŋ	31	
癟	並	開	四	先	入	幫	山		b	it	8		p	it	31		p	it	31	
別	並	開	三	仙B	入	幫	山		b	it	8		p	it	31		p	it	31	
必	幫	開	三	真A	入	幫	臻		b	it	6		p	it	35		p	it	35	
彆	幫	開	三	祭A	去	幫	蟹		b	it	7		p	it	23		p	it	23	
波	幫	開	一	歌	平	幫	果		b	o	1		p	ɔ	23		p	ɔ	23	
播	幫	開	一	歌	去	幫	果		b	o	1		p	ɔ	23		p	ɔ	23	
簸	幫	開	一	歌	上	幫	果		b	o	1		p	ɔ	23		p	ɔ	23	
玻	滂	開	一	歌	平	幫	果		b	o	1		p	ɔ	23		p	ɔ	23	
坡	滂	開	一	歌	平	幫	果		b	o	1		p	ɔ	23		p	ɔ	23	
菠	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	o	1		p	ɔ	23		p	ɔ	23	
菠	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	o	3		p	ɔ	35		p	ɔ	35	
閉	幫	開	四	齊	去	幫	蟹		b	oi	1		p	ɔi	23		p	ɔj	23	
陛	並	開	四	齊	上	幫	蟹		b	oi	1		p	ɔi	23		p	ɔj	23	
蔽	幫	開	三	祭A	去	幫	蟹		b	oi	1		p	ɔi	23		p	ɔj	23	
跛									b	oi	3		p	ɔi	35		p	ɔj	35	
敝	並	開	三	祭A	去	幫	蟹		b	oi	4		p	ɔi	31		p	ɔj	31	
弊	並	開	三	祭A	去	幫	蟹		b	oi	4		p	ɔi	31		p	ɔj	31	
幣	並	開	三	祭A	去	幫	蟹		b	oi	4		p	ɔi	31		p	ɔj	31	
斃	並	開	三	祭A	去	幫	蟹		b	oi	4		p	ɔi	31		p	ɔj	31	跛腳
雹	並	開	二	江	入	幫	江		b	ok	8		p	ɔk	31		p	ɔk	31	
薄	並	開	一	唐	入	幫	宕		b	ok	8		p	ɔk	31		p	ɔk	31	
箔	並	開	一	唐	入	幫	宕		b	ok	8		p	ɔk	31		p	ɔk	31	
礴	並	開	一	唐	入	幫	宕		b	ok	8		p	ɔk	31		p	ɔk	31	
泊	並	開	一	唐	入	幫	宕		b	ok	8		p	ɔk	31		p	ɔk	31	
魄									b	ok	8		p	ɔk	31		p	ɔk	31	旁魄
博	幫	開	二	唐	入	幫	宕		b	ok	6		p	ɔk	35		p	ɔk	35	
卜	幫	開	一	東	入	幫	通		b	ok	6		p	ɔk	35		p	ɔk	35	
搏	幫	合	三	虞	去	幫	遇		b	ok	7		p	ɔk	23		p	ɔk	23	
駁	幫	開	二	江	入	幫	江		b	ok	7		p	ɔk	23		p	ɔk	23	
博	幫	開	一	唐	入	幫	宕		b	ok	7		p	ɔk	23		p	ɔk	23	
膊	滂	開	一	唐	入	幫	宕		b	ok	7		p	ɔk	23		p	ɔk	23	
縛	並	開	一	歌	去	幫	果		b	ok	7		p	ɔk	23		p	ɔk	23	
邦	幫	開	二	江	平	幫	江		b	ong	1		p	ɔŋ	23		p	ɔŋ	23	
幫	幫	開	一	唐	平	幫	宕		b	ong	1		p	ɔŋ	23		p	ɔŋ	23	
榜	並	開	二	庚	平	幫	梗		b	ong	3		p	ɔŋ	35		p	ɔŋ	35	
綁	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	ong	3		p	ɔŋ	35		p	ɔŋ	35	
膀									b	ong	3		p	ɔŋ	35		p	ɔŋ	35	肩膀
傍	並	開	二	唐	平	幫	宕		b	ong	4		p	ɔŋ	31		p	ɔŋ	31	依山傍水
傍	並	開	一	唐	去	幫	宕		b	ong	4		p	ɔŋ	31		p	ɔŋ	31	傍晚
磅									b	ong	4		p	ɔŋ	31		p	ɔŋ	31	一磅
布	幫	開	一	模	去	幫	遇		b	ou	1		p	ou	23		p	ou	23	
佈	幫	開	一	模	去	幫	遇		b	ou	1		p	ou	23		p	ou	23	
怖	滂	開	一	模	去	幫	遇		b	ou	1		p	ou	23		p	ou	23	
埔	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	ou	1		p	ou	23		p	ou	23	
補	幫	開	一	模	上	幫	遇		b	ou	3		p	ou	35		p	ou	35	
捕	並	開	一	模	去	幫	遇		b	ou	4		p	ou	31		p	ou	31	
哺	並	開	一	模	去	幫	遇		b	ou	4		p	ou	31		p	ou	31	
步	並	開	一	模	去	幫	遇		b	ou	4		p	ou	31		p	ou	31	
部	並	開	一	模	上	幫	遇		b	ou	4		p	ou	31		p	ou	31	
簿	並	開	一	模	上	幫	遇		b	ou	4		p	ou	31		p	ou	31	
埠	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	ou	4		p	ou	31		p	ou	31	埠頭
布	幫	開	一	模	去	幫	遇		b	u	1		p	u	23		p	u	23	又音
佈	幫	開	一	模	去	幫	遇		b	u	1		p	u	23		p	u	23	又音
怖	滂	開	一	模	去	幫	遇		b	u	1		p	u	23		p	u	23	又音
埔	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	u	1		p	u	23		p	u	23	又音
補	幫	開	一	模	上	幫	遇		b	u	3		p	u	35		p	u	35	又音
捕	並	開	一	模	去	幫	遇		b	u	4		p	u	31		p	u	31	又音
哺	並	開	一	模	去	幫	遇		b	u	4		p	u	31		p	u	31	又音
步	並	開	一	模	去	幫	遇		b	u	4		p	u	31		p	u	31	又音
部	並	開	一	模	上	幫	遇		b	u	4		p	u	31		p	u	31	又音
簿	並	開	一	模	上	幫	遇		b	u	4		p	u	31		p	u	31	又音
焙	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	ui	4		p	ui	31		p	uj	31	
蹼	幫	開	一	東	入	幫	通		b	uk	8		p	ʊk	31		p	ʊk	31	
暴	並	開	一	東	入	幫	通		b	uk	8		p	ʊk	31		p	ʊk	31	一暴十寒
僕	並	開	一	東	入	幫	通		b	uk	8		p	ʊk	31		p	ʊk	31	
瀑	並	開	一	豪	去	幫	效		b	uk	8		p	ʊk	31		p	ʊk	31	
曝	並	開	一	豪	去	幫	效		b	uk	8		p	ʊk	31		p	ʊk	31	
仆									b	uk	8		p	ʊk	31		p	ʊk	31	
卜	幫	開	一	東	入	幫	通		b	uk	6		p	ʊk	35		p	ʊk	35	
布	幫	開	一	模	去	幫	遇		b	uo	1		p	uɔ	23		p	uɵ	23	又音
佈	幫	開	一	模	去	幫	遇		b	uo	1		p	uɔ	23		p	uɵ	23	又音
怖	滂	開	一	模	去	幫	遇		b	uo	1		p	uɔ	23		p	uɵ	23	又音
埔	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	uo	1		p	uɔ	23		p	uɵ	23	又音
補	幫	開	一	模	上	幫	遇		b	uo	3		p	uɔ	35		p	uɵ	35	又音
捕	並	開	一	模	去	幫	遇		b	uo	4		p	uɔ	31		p	uɵ	31	又音
哺	並	開	一	模	去	幫	遇		b	uo	4		p	uɔ	31		p	uɵ	31	又音
步	並	開	一	模	去	幫	遇		b	uo	4		p	uɔ	31		p	uɵ	31	又音
部	並	開	一	模	上	幫	遇		b	uo	4		p	uɔ	31		p	uɵ	31	又音
簿	並	開	一	模	上	幫	遇		b	uo	4		p	uɔ	31		p	uɵ	31	又音
貝	幫	開	一	泰	去	幫	蟹		b	uai	1		p	uai	23		p	ʊᴀj	23	
狽	幫	開	一	泰	去	幫	蟹		b	uai	1		p	uai	23		p	ʊᴀj	23	
杯	幫	合	一	灰	平	幫	蟹		b	uai	1		p	uai	23		p	ʊᴀj	23	
盃	幫	合	一	灰	平	幫	蟹		b	uai	1		p	uai	23		p	ʊᴀj	23	
背	幫	合	一	灰	去	幫	蟹		b	uai	1		p	uai	23		p	ʊᴀj	23	背後
輩	幫	合	一	灰	去	幫	蟹		b	uai	1		p	uai	23		p	ʊᴀj	23	
悖	並	合	一	灰	去	幫	蟹		b	uai	1		p	uai	23		p	ʊᴀj	23	
背	並	合	一	灰	去	幫	蟹		b	uai	4		p	uai	31		p	ʊᴀj	31	背書
悖	並	合	一	灰	去	幫	蟹		b	uai	4		p	uai	31		p	ʊᴀj	31	
般	幫	開	一	寒	平	幫	山		b	uan	1		p	uan	23		p	ʊᴀn	23	
半	幫	開	一	寒	去	幫	山		b	uan	1		p	uan	23		p	ʊᴀn	23	
搬	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	uan	1		p	uan	23		p	ʊᴀn	23	
本	幫	合	一	魂	上	幫	臻		b	uan	3		p	uan	35		p	ʊᴀn	35	
畚	幫	合	一	魂	上	幫	臻		b	uan	3		p	uan	35		p	ʊᴀn	35	
絆	幫	開	一	寒	去	幫	山		b	uan	4		p	uan	31		p	ʊᴀn	31	
叛	並	開	一	寒	去	幫	山		b	uan	4		p	uan	31		p	ʊᴀn	31	
畔	並	開	一	寒	去	幫	山		b	uan	4		p	uan	31		p	ʊᴀn	31	
伴	並	開	一	寒	上	幫	山		b	uan	4		p	uan	31		p	ʊᴀn	31	
拌	滂	開	一	寒	平	幫	山		b	uan	4		p	uan	31		p	ʊᴀn	31	
胖	滂	開	一	寒	去	幫	山		b	uan	4		p	uan	31		p	ʊᴀn	31	肥胖
肨									b	uan	4		p	uan	31		p	ʊᴀn	31	
撥	幫	開	一	寒	入	幫	山		b	uat	8		p	uat	31		p	ʊᴀt	31	
勃	並	合	一	魂	入	幫	臻		b	uat	8		p	uat	31		p	ʊᴀt	31	
脖	並	合	一	魂	入	幫	臻		b	uat	8		p	uat	31		p	ʊᴀt	31	
渤	並	合	一	魂	入	幫	臻		b	uat	8		p	uat	31		p	ʊᴀt	31	
缽	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	uat	8		p	uat	31		p	ʊᴀt	31	
