读音	字目	备注	声调符号	
vi31	胃			
vi31	謂			
vi31	蝟			
vi53	畏			
vi53	慰			
ti44	知			
ti31	抵			
ti53	帝			
tʰi13	堤			
tʰi13	題			
tʰi13	提			
tʰi31	體			
tʰi31	弟			
tʰi31	第			
tʰi31	地			
tʰi53	替			
tʰi53	遞			
ni44	蟻			
ni44	你			
ni13	誼			
ni13	尼			
ni31	膩			
ni53	彌			
li44	呂			
li44	禮			
li44	釐			
li44	狸			
li44	里			
li44	理			
li44	鯉			
li13	黎			
li13	離			
li13	籬			
li13	璃			
li13	梨			
li31	旅			
li31	慮			
li31	濾			
li31	例			
li31	勵			
li31	麗			
li31	隸			
li31	荔			
li31	履			
li31	利			
li31	痢			
li31	肄			
li31	李			
li31	裏			
li31	吏			
li53	厲			
tsi13	擠			
tsi31	嘴	鳥喙		
tsi53	祭			
tsi53	際			
tsi53	濟			
tsi53	劑			
tsi53	最			
tsi53	醉			
tsi53	□	雞~(雞舍)		
tsʰi44	妻			
tsʰi44	棲			
tsʰi44	催			
tsʰi44	崔			
tsʰi13	徐			
tsʰi13	臍			
tsʰi13	隨			
tsʰi31	取			
tsʰi31	娶			
tsʰi31	罪			
tsʰi53	聚			
tsʰi53	趣			
tsʰi53	翠			
tsʰi53	粹			
si44	須			
si44	鬚			
si44	需			
si44	西			
si44	犀			
si44	篩			
si31	序			
si31	敘			
si31	緒			
si31	死			
si31	遂			
si31	隧			
si53	絮			
si53	四			
ki44	居			
ki44	車			
ki44	拘			
ki44	飢			
ki44	肌			
ki44	基			
ki44	幾	~乎		
ki44	機			
ki44	譏			
ki44	饑			
ki13	佢	第三人稱代詞		
ki31	擧			
ki31	據			
ki31	矩			
ki31	繼			
ki31	冀			
ki31	己			
ki31	紀			
ki31	杞			
ki31	幾	~個		
ki31	妓			
ki53	鋸			
ki53	句			
ki53	計			
ki53	髻			
ki53	記			
kʰi44	渠			
kʰi44	巨			
kʰi44	拒			
kʰi44	距			
kʰi44	趨			
kʰi44	區			
kʰi44	岐			
kʰi44	企			
kʰi44	徛			
kʰi44	技			
kʰi44	妓			
kʰi44	欺			
kʰi13	奇			
kʰi13	騎			
kʰi13	鰭			
kʰi13	其			
kʰi13	棋			
kʰi13	期			
kʰi13	旗			
kʰi13	祈			
kʰi13	沂			
kʰi31	具			
kʰi31	懼			
kʰi31	啟			
kʰi31	忌			
kʰi31	豈			
ŋi44	語			
ŋi13	愚			
ŋi13	宜			
ŋi13	儀			
ŋi13	你			
ŋi13	疑			
ŋi31	女			
ŋi31	御			
ŋi31	禦			
ŋi31	遇			
ŋi31	寓			
ŋi31	藝			
ŋi31	義			
ŋi31	二			
ŋi31	耳			
ŋi31	餌			
ŋi31	擬			
ŋi31	毅			
i44	淤			
i44	迂			
i44	禹			
i44	伊			
i44	醫			
i44	已			
i44	衣			
i44	依			
i44	以			
i13	如			
i13	於			
i13	餘			
i13	儒			
i13	倪			
i13	兒			
i13	移			
i13	夷			
i13	姨			
i31	預			
i31	榆			
i31	愉			
i31	雨			
i31	喻			
i31	裕			
i31	椅			
i31	異			
i53	譽			
i53	豫			
i53	易			
i53	意			
i53	憶			
i53	億			
tsɿ44	租			
tsɿ44	組			
tsɿ44	資			
tsɿ44	姿			
tsɿ44	滋			
tsɿ31	祖			
tsɿ31	阻			
tsɿ31	紫			
tsɿ31	子			
tsɿ31	梓			
tsʰɿ44	粗			
tsʰɿ44	雛			
tsʰɿ44	雌			
tsʰɿ13	瓷			
tsʰɿ13	慈			
tsʰɿ13	磁			
tsʰɿ13	辭			
tsʰɿ13	詞			
tsʰɿ13	祠			
tsʰɿ13	嗣			
tsʰɿ31	楚			
tsʰɿ31	礎			
tsʰɿ31	助			
tsʰɿ31	此			
tsʰɿ31	自			
tsʰɿ53	醋			
tsʰɿ53	處	~所		
tsʰɿ53	疵			
tsʰɿ53	次			
tsʰɿ53	廁			
sɿ44	蘇			
sɿ44	酥			
sɿ44	斯			
sɿ44	私			
sɿ44	師			
sɿ44	獅			
sɿ44	司			
sɿ44	絲			
sɿ44	思			
sɿ31	似			
sɿ31	祀			
sɿ31	巳			
sɿ31	字			
sɿ31	伺			
sɿ31	寺			
sɿ31	士			
sɿ31	柿			
sɿ31	使			
sɿ31	史			
sɿ31	駛			
sɿ31	事			
sɿ31	恃			
sɿ31	侍			
sɿ31	蒔			
sɿ53	素			
sɿ53	訴			
sɿ53	賜			
sɿ53	肆			
tʃɿ44	知			
tʃɿ44	蜘			
tʃɿ44	支			
tʃɿ44	枝			
tʃɿ44	肢			
tʃɿ44	脂			
tʃɿ44	之			
tʃɿ44	芝			
tʃɿ44	膣			
tʃɿ31	紙			
tʃɿ31	旨			
tʃɿ31	指			
tʃɿ31	止			
tʃɿ31	趾			
tʃɿ31	址			
tʃɿ53	制			
tʃɿ53	製			
tʃɿ53	智			
tʃɿ53	致			
tʃɿ53	至			
tʃɿ53	置			
tʃɿ53	志			
tʃɿ53	誌			
tʃɿ53	痣			
tʃʰɿ44	侈			
tʃʰɿ44	稚			
tʃʰɿ44	癡			
tʃʰɿ13	池			
tʃʰɿ13	馳			
tʃʰɿ13	遲			
tʃʰɿ13	持			
tʃʰɿ13	齒			
tʃʰɿ13	治	殺		
tʃʰɿ13	匙	湯~		
tʃʰɿ31	恥			
tʃʰɿ31	痔			
tʃʰɿ31	治			
tʃʰɿ31	始			
tʃʰɿ53	試			
ʃɿ44	墟			
ʃɿ44	虛			
ʃɿ44	噓			
ʃɿ44	攜			
ʃɿ44	施			
ʃɿ44	犧			
ʃɿ44	屍			
ʃɿ44	詩			
ʃɿ44	嬉			
ʃɿ44	熙			
ʃɿ44	希			
ʃɿ44	稀			
ʃɿ13	時			
ʃɿ31	許			
ʃɿ31	誓			
ʃɿ31	是			
ʃɿ31	氏			
ʃɿ31	豉			
ʃɿ31	屎			
ʃɿ31	示			
ʃɿ31	視			
ʃɿ31	市			
ʃɿ31	起			
ʃɿ31	喜			
ʃɿ31	匙	鎖~		
ʃɿ53	去			
ʃɿ53	世			
ʃɿ53	勢			
ʃɿ53	逝			
ʃɿ53	系			
ʃɿ53	繫			
ʃɿ53	係			
ʃɿ53	戲			
ʃɿ53	嗜			
ʃɿ53	器			
ʃɿ53	棄			
ʃɿ53	氣			
ʃɿ53	汽			
po44	波			
po44	菠			
po44	坡			
po44	玻			
pʰo13	婆			
pʰo31	頗			
pʰo53	破			
mo44	摸			
mo13	魔			
mo13	摩			
mo13	摹			
mo31	磨	石~		
fo13	和	~氣		
fo31	賀			
fo31	火			
fo31	夥			
fo31	禍			
fo53	貨			
vo44	倭			
vo44	窩			
vo44	蝸			
vo13	禾			
to44	多			
to31	朵			
to31	躲			
tʰo44	拖			
tʰo13	駝			
tʰo31	妥			
tʰo31	舵			
tʰo31	惰			
no13	挪			
no31	糯			
lo13	羅			
lo13	鑼			
lo13	籮			
lo13	螺			
lo13	腡			
lo31	裸			
tso31	左			
tso31	佐			
tso53	做			
tsʰo44	坐			
tsʰo44	初			
tsʰo13	鋤			
tsʰo31	座			
tsʰo53	錯			
so44	蓑			
so44	梭			
so44	唆			
so44	梳			
so44	疏			
so44	蔬			
so13	傻			
so31	鎖			
so31	瑣			
so31	所			
ko44	歌			
ko44	哥			
ko31	個			
ko31	果			
ko53	過			
kʰo44	戈			
kʰo44	科			
kʰo44	棵			
kʰo53	課			
ŋo44	我			
ŋo13	蛾			
ŋo13	鵝			
ŋo13	俄			
ŋo31	餓			
ŋo31	臥			
ho13	河			
ho13	何			
ho13	荷			
o44	阿			
kʰio13	茄			
kʰio13	瘸			
ŋio44	揉			
ʃuo44	靴			
pu44	晡			
pu31	補			
pu31	斧			
pu53	布			
pu53	佈			
pu53	怖			
pʰu44	鋪	~設		
pʰu44	普			
pʰu44	簿			
pʰu13	蒲			
pʰu13	菩			
pʰu13	瓠			
pʰu13	烳			
pʰu31	脯			
pʰu31	孵			
pʰu31	甫			
pʰu31	殕			
pʰu31	輔			
pʰu53	部			
pʰu53	鋪	店~		
mu44	母			
mu44	拇			
mu13	模			
mu13	巫			
mu13	誣			
mu53	慕			
mu53	墓			
fu44	呼			
fu44	互			
fu44	夫			
fu44	膚			
fu44	敷			
fu13	胡			
fu13	湖			
fu13	狐			
fu13	壺			
fu13	乎			
fu13	鬍			
fu13	俘			
fu31	虎			
fu31	滸			
fu31	戶			
fu31	滬			
fu31	護			
fu31	府			
fu31	腑			
fu31	父			
fu31	腐			
fu31	婦			
fu31	阜			
fu53	褲			
fu53	戽			
fu53	付			
fu53	傅			
fu53	赴			
fu53	附			
fu53	負			
fu53	富			
fu53	副			
vu44	烏			
vu44	污			
vu44	武			
vu44	侮			
vu13	無			
vu31	撫			
vu31	舞			
vu31	鵡			
vu31	芋			
vu31	戊			
vu53	惡			
vu53	務			
vu53	霧			
tu44	都			
tu31	堵			
tu31	賭			
tu31	肚			
tu53	妬			
tʰu13	徒			
tʰu13	屠			
tʰu13	途			
tʰu13	塗			
tʰu13	圖			
tʰu31	土			
tʰu31	度			
tʰu31	渡			
tʰu53	杜			
tʰu53	吐			
tʰu53	兔			
tʰu53	鍍			
nu13	奴			
nu31	努			
nu31	怒			
lu44	魯			
lu44	虜			
lu44	滷			
lu13	盧			
lu13	爐			
lu13	蘆			
lu13	廬			
lu13	驢			
lu13	而			
lu31	路			
lu53	露			
lu53	鷺			
tʃu44	豬			
tʃu44	諸			
tʃu44	誅			
tʃu44	蛛			
tʃu44	株			
tʃu44	朱			
tʃu44	硃			
tʃu44	珠			
tʃu31	煮			
tʃu31	主			
tʃu53	著	顯~		
tʃu53	註			
tʃu53	注			
tʃu53	蛀			
tʃu53	鑄			
tʃu53	晝			
tʃʰu44	苧			
tʃʰu44	柱			
tʃʰu13	除			
tʃʰu13	儲			
tʃʰu13	廚			
tʃʰu31	處	相~		
tʃʰu31	暑			
tʃʰu31	鼠			
tʃʰu31	署			
tʃʰu31	住			
ʃu44	書			
ʃu44	舒			
ʃu44	樞			
ʃu44	輸			
ʃu44	收			
ʃu44	丘			
ʃu44	休			
ʃu13	薯			
ʃu13	殊			
ʃu31	數			
ʃu31	豎			
ʃu31	樹			
ʃu31	手			
ʃu31	首			
ʃu31	守			
ʃu31	受			
ʃu31	壽			
ʃu31	授			
ʃu53	恕			
ku44	姑			
ku44	孤			
ku31	古			
ku31	牯			
ku31	股			
ku31	鼓			
ku53	故			
ku53	固			
ku53	顧			
kʰu44	枯			
kʰu44	估			
kʰu44	箍	豆~(豆餅)		
kʰu31	苦			
kʰu53	庫			
ŋu31	悟			
ŋu31	誤			
tiu44	丟			
liu44	柳			
liu44	溜			
liu13	流			
liu13	劉			
liu13	留			
liu13	榴			
liu13	硫			
liu13	琉			
liu53	餾			
tsiu31	酒			
tsiu31	肘			
tsiu31	帚			
tsiu53	皺			
tsʰiu44	鍬			
tsʰiu44	秋			
tsʰiu44	鰍			
tsʰiu13	泅			
tsʰiu31	就			
tsʰiu31	宙 			
tsʰiu53	袖			
siu44	修			
siu44	羞			
siu53	秀			
siu53	繡			
siu53	銹			
tʃiu44	周			
tʃiu44	舟			
tʃiu44	州			
tʃiu44	洲			
tʃiu53	咒			
tʃʰiu44	抽			
tʃʰiu13	綢			
tʃʰiu13	稠			
tʃʰiu13	籌			
tʃʰiu13	酬			
tʃʰiu13	售			
tʃʰiu31	丑			
tʃʰiu31	醜			
tʃʰiu53	紂			
tʃʰiu53	臭			
tʃʰiu53	獸			
tʃʰiu53	嗅			
ʃiu53	朽			
kiu44	鳩			
kiu44	糾			
kiu31	九			
kiu31	久			
kiu31	韭			
kiu31	灸			
kiu53	臼			
kiu53	咎			
kiu53	救			
kiu53	究			
kiu53	柩			
kʰiu44	舅			
kʰiu13	求			
kʰiu13	球			
kʰiu31	舊			
ŋiu13	牛			
ŋiu31	扭			
iu44	憂			
iu44	有			
iu44	友			
iu44	酉			
iu44	幽			
iu13	柔			
iu13	優			
iu13	尤			
iu13	郵			
iu13	由			
iu13	油			
iu13	游			
iu13	猶			
iu13	悠			
iu31	又			
iu31	右			
iu31	祐			
iu31	柚			
iu31	鼬			
iu53	賂			
iu53	莠			
iu53	誘			
iu53	幼			
pai44	跛			
pai31	擺			
pai53	拜			
pʰai44	𠜱	削		
pʰai13	排			
pʰai13	牌			
pʰai31	稗			
pʰai31	敗			
pʰai53	派			
mai44	買			
mai13	埋			
mai31	賣			
mai53	邁			
fai13	懷			
fai13	槐			
fai13	淮			
vai44	歪			
vai31	□	撒(肥料)		
tai44	低			
tai31	底			
tai53	戴			
tai53	帶			
tʰai44	弟			
tʰai44	遞	藤蔓延		
tʰai13	蹄			
tʰai13	啼			
tʰai31	大			
tʰai53	態			
tʰai53	太			
tʰai53	泰			
tʰai53	剃			
nai44	乃			
nai44	奶			
nai13	泥			
nai31	耐			
nai53	奈			
nai53	捺			
lai13	犁			
lai31	哪			
lai31	那			
lai31	賴			
tsai44	栽			
tsai44	齋			
tsai31	宰			
tsai31	載	年~		
tsai53	再			
tsai53	債			
tsʰai44	猜			
tsʰai44	差	出~ 		
tsʰai13	裁			
tsʰai13	柴			
tsʰai31	彩			
tsʰai31	採			
tsʰai31	在			
tsʰai31	寨			
tsʰai53	蔡			
sai13	豺			
sai31	璽			
sai31	徙			
sai53	曬			
sai53	帥			
kai44	皆			
kai44	階			
kai44	街			
kai44	雞			
kai44	乖			
kai31	解			
kai31	柺	蛙		
kai53	介			
kai53	界			
kai53	芥			
kai53	屆			
kai53	戒			
kai53	怪			
kʰai44	㧡	挑擔		
kʰai31	凱			
kʰai31	概			
kʰai31	溉			
kʰai31	慨			
kʰai31	楷			
kʰai53	會	~計		
kʰai53	劊			
kʰai53	檜			
kʰai53	塊			
kʰai53	快			
ŋai13	我	第一人稱代詞		
ŋai13	涯			
ŋai13	崖			
hai44	溪			
hai13	孩			
hai13	諧			
hai13	鞋			
hai31	駭			
hai31	械			
hai31	懈			
hai31	蟹			
ai44	埃			
ai44	挨			
ai31	矮			
ai53	藹			
ai53	隘			
poi53	背			
pʰoi44	坯			
pʰoi13	賠			
pʰoi31	背	~誦		
pʰoi31	焙			
pʰoi31	吠			
moi13	梅			
moi13	枚			
moi13	媒			
moi13	煤			
moi13	楣			
moi13	霉			
moi53	妹			
foi44	恢			
foi44	灰			
voi44	煨			
voi53	會	~不會		
voi53	穢			
toi44	堆			
toi53	碓			
tʰoi44	胎			
tʰoi13	台			
tʰoi13	臺			
tʰoi13	苔			
tʰoi13	抬			
tʰoi31	待			
tʰoi31	怠			
tʰoi31	貸			
tʰoi31	代			
tʰoi31	袋			
loi13	來			
loi53	□	窗~(窗口)		
tsoi44	朘	男性生殖器		
tsoi53	載	~重		
tsʰoi53	菜			
tsʰoi53	脆			
soi44	腮			
soi44	鰓			
soi44	衰			
soi44	摔			
soi31	髓			
soi53	賽			
soi53	歲			
tʃoi53	喙	嘴巴		
ʃoi31	睡			
ʃoi53	稅			
koi44	該			
koi44	胲			
koi31	改			
koi53	蓋			
koi53	丐			
kʰoi44	開			
kʰoi31	□	肚~(肚子餓)		
kʰoi31	攰	疲累		
ŋoi13	呆			
ŋoi31 	礙			
ŋoi31 	外			
hoi31	海			
hoi31	亥			
hoi31	害			
oi44	哀			
oi53	愛			
ŋioi53	艾			
tui53	對			
tui53	隊			
tʰui44	推			
tʰui31	腿			
tʰui31	兌			
tʰui53	退			
nui31	內			
lui44	屢			
lui13	雷			
lui31	儡			
lui31	累	~積		
lui31	壘			
lui31	類			
lui31	淚			
lui53	累	連~		
sui44	雖			
sui44	綏			
sui31	碎			
tʃui44	追			
tʃui44	錐			
tʃui53	贅			
tʃui53	墜			
tʃʰui44	吹			
tʃʰui44	炊			
tʃʰui13	垂			
tʃʰui13	槌			
tʃʰui13	錘			
ʃui13	誰			
ʃui31	瑞			
ʃui31	水			
kui44	閨			
kui44	規			
kui44	龜			
kui44	歸			
kui31	詭			
kui31	軌			
kui31	鬼			
kui53	桂			
kui53	癸			
kui53	季			
kui53	貴			
kʰui44	盔			
kʰui44	虧			
kʰui44	窺			
kʰui13	魁			
kʰui13	逵			
kʰui13	葵			
kʰui31	傀			
kʰui31	潰			
kʰui31	跪			
kʰui31	愧			
kʰui31	櫃			
ŋui13	桅			
ŋui13	危			
ŋui13	偽			
ŋui31	魏			
iui44	乳			
iui31	芮			
iui31	銳			
iui31	釉			
pau44	褒			
pau44	包			
pau44	胞			
pau44	鮑			
pau44	煲			
pau31	保			
pau31	堡			
pau31	寶			
pau31	飽			
pau53	報			
pau53	豹			
pʰau44	拋			
pʰau44	跑			
pʰau13	袍			
pʰau13	刨			
pʰau31	抱			
pʰau31	暴			
pʰau31	曝			
pʰau31	瀑			
pʰau53	爆			
pʰau53	泡			
pʰau53	炮			
mau44	毛			
mau44	卯			
mau13	茅			
mau13	無			
mau31	冒			
mau31	帽			
mau31	貌			
tau44	刀			
tau44	叨			
tau31	禱			
tau31	島			
tau31	倒			
tau53	到			
tau53	□	次數		
tʰau44	滔			
tʰau44	濤			
tʰau44	稻			
tʰau13	掏			
tʰau13	桃			
tʰau13	逃			
tʰau13	陶			
tʰau13	萄			
tʰau31	討			
tʰau31	道			
tʰau31	盜			
tʰau53	套			
tʰau53	導			
nau44	惱			
nau31	腦			
nau31	鬧			
lau13	勞			
lau13	撈			
lau13	牢			
lau13	澇			
lau31	老			
tsau44	遭			
tsau44	糟			
tsau44	燥			
tsau31	早			
tsau31	棗			
tsau31	蚤			
tsau31	爪			
tsau31	找			
tsau53	罩			
tsʰau44	操			
tsʰau44	抄			
tsʰau44	鈔			
tsʰau13	曹			
tsʰau13	槽			
tsʰau13	吵			
tsʰau13	巢			
tsʰau31	草			
tsʰau31	造			
tsʰau31	炒			
tsʰau31	噍			
tsʰau53	澡			
tsʰau53	躁			
tsʰau53	皂			
tsʰau53	糙			
sau44	騷			
sau44	臊			
sau44	梢			
sau44	捎			
sau13	焯	汆燙		
sau31	嫂			
sau31	稍			
sau53	掃			
tʃau44	朝	今~		
tʃau44	昭			
tʃau44	招			
tʃau53	沼			
tʃau53	照			
tʃʰau44	超			
tsʰau13	朝			
tsʰau13	潮			
tʃʰau31	趙			
tʃʰau31	兆			
tʃʰau31	召			
tʃʰau31	詔			
ʃau44	燒			
ʃau44	囂			
ʃau44	僥			
ʃau13	韶			
ʃau31	少	多~		
ʃau31	曉			
ʃau53	紹			
ʃau53	少	~年		
ʃau53	邵			
kau44	高			
kau44	膏			
kau44	篙			
kau44	羔			
kau44	糕			
kau44	交			
kau44	膠			
kau44	教	~書		
kau31	稿			
kau31	絞			
kau31	狡			
kau31	攪			
kau31	搞			
kau31	校			
kau53	告			
kau53	教	~育		
kau53	酵			
kau53	窖			
kʰau44	郊			
kʰau44	敲			
kʰau44	蒿			
kʰau31	考			
kʰau31	烤			
kʰau31	巧			
kʰau53	靠			
kʰau53	犒			
ŋau44	咬			
ŋau13	熬			
ŋau13	淆			
ŋau31	傲			
ŋau53 	□	轉過頭		
hau44	耗			
hau13	豪			
hau13	壕			
hau13	毫			
hau13	號	呼~		
hau31	好	~壞		
hau31	號	~數		
hau31	效			
hau53	好			
hau53	喜~			
hau53	浩			
hau53	孝			
au31	襖			
au53	奧			
au53	拗	爭辯		
piau44	錶			
piau31	表			
pʰiau44	標			
pʰiau44	飄			
pʰiau44	彪			
pʰiau13	瓢			
pʰiau13	嫖			
pʰiau13	薸	浮萍		
pʰiau53	漂			
pʰiau53	鰾			
pʰiau53	票			
miau44	描			
miau44	藐			
miau44	秒			
miau13	錨			
miau13	苗			
miau31	渺			
miau31	廟			
miau31	杳			
miau53	貓			
miau53	妙			
tiau44	刁			
tiau44	貂			
tiau44	雕			
tiau44	鳥			
tiau53	釣			
tiau53	弔			
tiau53	掉			
tʰiau44	挑			
tʰiau13 	條			
tʰiau13 	調	~和		
tʰiau31	調	音~		
tʰiau53	跳			
tʰiau53	糶			
tʰiau53	調	~動		
liau44	撩			
liau13	燎			
liau13	療			
liau13	聊			
liau13	遼			
liau13	寥			
liau31	了			
liau31	暸			
liau31	料			
liau31	廖			
tsiau44	焦			
tsiau44	蕉			
tsiau44	椒			
tsiau44	樵	~夫		
tsiau31	剿			
tsiau53	醮			
tsʰiau13	樵	~刀(柴刀)		
tsʰiau31	噍	咀嚼		
tsʰiau53	俏			
tsʰiau53	鞘			
siau44	消			
siau44	宵			
siau44	霄			
siau44	硝			
siau44	銷			
siau44	蕭			
siau44	簫			
siau31	小			
siau53	笑			
kiau44	驕			
kiau44	嬌			
kiau13	餃			
kiau31	繳			
kiau53	叫			
kʰiau13	喬			
kʰiau13	僑			
kʰiau13	橋			
kʰiau13	蕎			
kʰiau31	轎			
kʰiau53	竅			
ŋiau44	鳥			
ŋiau13	撓			
ŋiau13	饒			
ŋiau13	澆			
ŋiau13	堯			
ŋiau31	尿			
ŋiua53	繞			
iau44	擾			
iau44	妖			
iau44	邀			
iau44	腰			
iau44	要	~求		
iau44	么			
iau44	吆			
iau13	搖			
iau13	謠			
iau13	窰			
iau13	姚			
iau31	舀			
iau31	耀			
iau31	鷂			
iau53	要	重~		
meu44	某			
meu44	畝			
meu13	謀			
meu31	牡			
meu31	茂			
meu31	貿			
meu31	謬			
feu13	浮			
feu31	否			
teu44	兜			
teu44	□	裝食物的容器		
teu31	斗			
teu31	抖			
teu31	陡			
teu53	鬥			
teu53	□	窩,巢穴		
tʰeu44	偷			
tʰeu13	頭			
tʰeu13	投			
tʰeu31	㪗			
tʰeu31	豆			
tʰeu53	透			
tʰeu53	逗			
neu13 	□	濃稠		
neu31	爾			
neu31	藕			
neu31	偶			
neu31	紐			
leu13	撈			
leu13	樓			
leu13	摟			
leu31	漏			
leu31	陋			
leu53	□	呼叫禽畜		
tseu44	鄒			
tseu31	走			
tseu53	奏			
tsʰeu31	驟			
tsʰeu53	湊			
seu44	搜			
seu44	餿			
seu44	蒐			
seu13	愁			
seu31	叟			
seu31	颼			
seu53	嗽			
seu53	瘦			
seu53	潄			
heu13	侯			
heu13	喉			
heu13	猴			
heu31	後			
heu31	厚			
heu31	后			
heu31	候			
eu44	歐			
eu44	甌			
eu31	嘔			
eu31	毆			
eu31	慪			
eu53	漚			
kieu44	勾			
kieu44	鉤			
kieu44	溝			
kieu31	狗			
kieu31	苟			
kieu53	夠			
kieu53	構			
kieu53	購			
kʰieu44	箍			
kʰieu44	摳			
kʰieu44	鬮			
kʰieu31	口			
kʰieu53	叩			
kʰieu53	扣			
kʰieu53	寇			
fam13	凡			
fam13	帆			
fam13	礬			
fam31	范			
fam31	犯			
fam31	患			
fam53	範			
fam53	泛			
fam53	幻			
tam44	耽			
tam44	擔			
tam31	膽			
tam53	擔	~竿		
tʰam44	貪			
tʰam44	坍			
tʰam44	淡			
tʰam13	潭			
tʰam13	譚			
tʰam13	談			
tʰam13	痰			
tʰam31	淡			
tʰam53	探			
nam13	南			
nam13	男			
lam13	婪			
lam13	藍			
lam13	籃			
lam31	攬			
lam31	欖			
lam31	纜			
lam53	覽			
lam53	濫			
tsam44	簪			
tsam31	斬			
tsam53	滲			
tsʰam44	參			
tsʰam44	攙			
tsʰam13	蠶			
tsʰam13	讒			
tsʰam13	饞			
tsʰam31	慘			
tsʰam31	慚			
tsʰam31	站			
tsʰam53	杉			
sam44	三			
sam44	衫			
sam31	糁	飯~(飯粒)		
tʃam44	沾			
tʃam44	占			
tʃam53	佔			
ʃam44	羶			
ʃam13	蟾			
ʃam13	嫌			
ʃam13	蟬			
ʃam13	禪			
ʃam31	陜			
ʃam31	閃			
ʃam31	險			
kam44	甘			
kam44	柑			
kam44	泔			
kam44	尷			
kam44	監			
kam31	感			
kam31	敢			
kam31	減			
kam53	鑑			
kam53	艦			
kʰam44	堪			
kʰam44	龕			
kʰam44	勘			
kʰam31	坎			
kʰam31	砍			
ŋam13	巖			
ŋam31	□	~頭(點頭)		
ham44	憨			
ham13	含			
ham13	函			
ham13	咸			
ham13	鹹			
ham13	銜			
ham31	撼			
ham31	陷			
ham31	餡			
ham53	喊			
