ɕ	[1]香乡相厢箱湘襄镶 [2]降祥厢箱详祥襄翔 [3]享响想饷 [5]向巷=项象相像橡					
∅	[2]央秧殃泱鸯羊洋阳扬杨 [3]养氧痒 [5]样恙漾					
#ɤ						
p	[1]菠波播玻 [3]簸{~一~}跛 [5]薄{~荷}簸{~箕}					
pʰ	[1]坡颇 [2]婆 [3]笸□{~身：投入身心} [5]破					
m	[1]馍 [2]摩磨蘑魔膜摹 [3]抹 [5]磨					
t	[1]多 [5]大-{~}					
tʰ	[1]拖 [2]驮驼					
n	[2]挪					
l	[2]罗螺骡脶锣箩萝逻 [3]裸 [5]赂摞					
k	[1]哥歌					
kʰ	[1]苛柯珂轲 [3]可					
x	[2]河何荷-{~花} [3]荷-{拿：~着甚嘞} [5]荷=贺					
ŋ	[1]屙 [2]蛾鹅俄讹 [3]我= [5]饿					
ts	[1]遮 [3]者 [5]蔗					
tsʰ	[1]车 [2]蛇- [3]扯					
s	[1]奢赊 [2]蛇=佘 [3]舍{~得} [5]射社舍{宿～}					
z	[3]惹					
∅	[1]阿{~胶} [5]颚鄂					
#uɤ						
f	[1]方芳 [2]坊房防妨肪 [3]仿纺访 [5]放					
t	[3]朵躲 [5]舵垛惰剁堕					
tʰ	[3]妥 [5]吐-{~痰}					
n	[5]糯懦					
k	[1]光锅 [3]广果裹 [5]过逛					
kʰ	[1]筐框匡科棵颗窠 [2]狂况 [5]矿框旷眶课					
x	[1]荒慌  [2]禾惶蝗簧徨潢皇黄 [3]火伙恍谎幌 [5]货祸和{~泥}晃 {~悠}					
ts	[1]庄装妆桩 [3]左佐 [5]壮状坐座					
tsʰ	[1]窗疮搓蹉 [2]床 [3]闯 [5]撞创错措挫剉-{~馅子：剁肉馅}					
s	[1]双霜蓑梭娑 [3]所锁琐爽					
∅	[1]窝倭蜗涡 [2]王汪 [3]往枉亡网 [5]忘妄望旺卧					
#ɛ						
p	[1]般搬班斑扳颁 [3]板版阪扁{~担} [5]半伴拌绊办瓣扮畔{路~：路边}					
pʰ	[1]潘攀 [2]盘爿 [5]判叛盼袢畔					
m	[2]瞒馒蛮□{扔出去：~了可远嘞} [3]满 [5]慢漫幔蔓曼					
f	[1]番翻帆藩 [2]烦繁矾凡烦樊 [3]反返 [5]饭贩犯范泛梵					
v	[1]弯湾剜挖-豌蜿 [2]丸完玩顽 [3]宛碗皖晚挽婉惋 [5]腕万蔓-{~瓜}玩{游~}					
t	[1]丹单担耽 [3]胆掸 [5]旦但弹蛋淡氮担惮					
tʰ	[1]摊坛滩贪坍瘫 [2]谈痰潭谭覃檀 [3]坦袒毯 [5]叹炭碳探舕					
n	[1]难男南楠 [3]暖 [5]难□{握：~着手里}					
l	[2]兰拦栏蓝篮婪岚阑爁{:炒肉} [3]懒览揽榄缆 [5]烂滥					
k	[1]干杆竿肝甘尴柑泔 [3]赶秆敢感杆擀 [5]干{~部}赣					
kʰ	[1]看-{~门}刊堪勘龛 [3]砍坎 [5]看瞰					
ŋ	[1]安鞍庵淹-{~} [3]揞俺唵{用手捧着吃粉状食物} [5]按案岸暗黯					
x	[1]酣鼾 [2]寒韩含函咸-{~菜}涎-{~水}衔-{~住：叼住} [3]罕喊 [5]汗旱悍捍汉憾焊瀚翰撼					
ts	[1]粘沾毡簪占詹瞻 [3]展盏斩攒 [5]占{~地}站战绽栈蘸赞暂					
tsʰ	[1]餐搀参掺 [2]禅蝉缠残蚕孱潺谗 [3]产铲阐惨 [5]颤灿忏					
s	[1]山删膻衫三叁舢姗馋杉珊姗扇煽搧-{~动}苫 [3]闪陕散伞散 [5]善扇鳝蟮缮擅赡骟					
z	[1]□{拟声词：嚼东西声} [2]然燃 [3]冉苒染					
#uɛ						
t	[1]端 [3]短 [5]段缎锻断煅					
tʰ	[2]团					
l	[2]滦鸾栾峦銮孪挛恋- [3]卵 [5]乱					
k	[1]官棺观关冠倌鳏 [3]管馆莞 [5]灌罐贯惯冠观掼					
kʰ	[1]宽 [3]款					
x	[1]欢獾 [2]还环桓寰 [3]缓 [5]换唤涣患幻焕痪浣宦					
ts	[1]专砖钻 [3]转 [5]赚篆撰钻篆传转					
tsʰ	[1]川穿汆 [2]传椽船漤-{~柿子} [3]喘 [4]串窜篡蹿					
s	[1]拴栓酸闩 [5]涮算蒜					
z	[3]软阮					
#iɛ						
p	[1]边编鞭 [3]扁=匾贬蝙缏{卷起衣服边：把裤腿的边缝住} [5]迸-{~裂}遍辨辫便变辩					
pʰ	[1]偏篇 [2]便{~宜}棚-{~子} [3]苤 [5]片骗劈{~柴}					
m	[1]乜 [2]棉绵眠 [3]免勉冕缅娩腼 [5]面					
t	[1]颠滇掂巅爹= [3]典碘点 [5]电佃甸殿店奠垫淀踮惦					
tʰ	[1]天添 [2]田填甜 [3]舔恬腆					
ȵ	[2]年粘苶{发~:发傻} [3]碾捻眼撚辇撵 [5]念砚					
l	[2]连莲帘廉涟镰怜联鲢臁 [3]敛脸 [5]链练炼殓恋=					
tɕ	[1]阶秸街皆羹-{剔~}更-{黑~半夜}耕-{~地}肩奸间坚艰兼监煎尖 [3]姐解=菅拣简茧减俭检剪碱捡践柬谏 [5]件涧建健见鉴舰剑箭贱渐践溅键荐毽间腱介芥界戒借械届疥诫					
tɕʰ	[1]鹐{鸟啄东西}揩铅牵谦千仟签迁 [2]潜钳谦阡茄-{~子}虔乾 [3]且遣浅谴 [5]欠嵌歉芡倩堑纤{~夫}					
ɕ	[1]邪些鞋=斜谐先仙鲜纤掀暹 [2]闲弦贤嫌咸=衔=涎= [3]写显险藓 [5]现宪限县献陷馅线羡卸泻谢泄懈邂蟹杏-{~儿}					
∅	[1]掖烟胭淹=蔫{物不新鲜} [2]椰爷延沿岩腌盐炎阎言研颜严筵檐焉嫣芫 [3]也冶野衍演掩魇 [5]燕咽宴堰焰厌艳雁谚验夜腋彦液□{烧火}					
#yɛ						
tɕ	[1]捐娟鹃□{~起：用力扯} [3]卷□{骂：~人} [5]倦绢眷倔卷圈					
tɕʰ	[1]瘸圈 [2]全权泉拳醛痊荃颧 [3]犬 [5]劝券					
ɕ	[1]靴宣旋轩喧煊暄萱 [2]悬玄旋 [3]选 [5]楦炫铉眩					
∅	[1]冤渊 [2]元员袁援缘园圆源原媛垣辕沅 [3]远 [5]怨院愿					
#ai						
p	[2]白-｛~糖｝[3]摆□{洗：~布子} [5]败拜稗韛{风箱}					
pʰ	[2]排牌=徘 [3]□{指挥别人做事：~调} [5]派					
m	[2]埋 [3]买 [5]卖迈					
v	[1]歪 [3]崴 [5]外					
t	[1]呆 [3]歹逮 [5]代袋贷待怠带戴逮殆大					
tʰ	[1]胎 [2]苔台抬 [5]太汰泰态					
n	[1]挨捱{~打} [3]乃奶 [5]奈耐					
l	[2]来 [5]赖癞濑					
k	[1]该 [3]改解-{~锥} [5]盖溉概钙丐					
kʰ	[1]开 [3]凯慨楷恺					
ŋ	[1]哀埃 [3]矮蔼霭 [5]艾爱碍隘					
x	[2]孩鞋-{~} [3]海 [5]害亥□{玩耍：这娃子可~嘞}					
ts	[1]斋灾栽 [3]宰载 [5]债寨在再载					
tsʰ	[1]猜钗差 [2]才材裁财 [3]采彩踩睬 [5]菜蔡					
s	[1]柴筛腮鳃 [3]□{从振动的物上摔下来：从车上~下来哩} [5]赛晒					
∅	[1]哎唉 [2]儿-{猫~}而 [3]耳尔饵 [5]贰二					
#uai						
k	[1]乖□{磨刀：在瓮沿上~~刀} [3]拐 [5]怪个-					
kʰ	[5]会刽快筷块					
x	[2]怀槐淮徊 [5]坏					
ts	[5]拽					
tsʰ	[3]揣					
s	[1]衰摔 [3]甩 [5]帅率蟀					
#ei						
p	[1]卑碑杯悲 [5]背辈背贝倍臂被狈焙惫悖卜-{萝~}败{~兴}					
pʰ	[1]呸胚 [2]培陪坯赔丕裴 [5]配佩沛					
m	[2]媒煤枚玫梅霉莓酶 [3]美镁每 [5]昧寐魅妹					
f	[1]飞非菲妃 [2]肥 [3]匪诽菲翡斐 [5]肺费痱废吠沸狒					
v	[1]威危微薇巍 [2]围违惟唯维为潍帷桅 [3]伟苇纬委诿伪玮炜韦萎猬猥 [5]畏为喂胃谓慰卫位魏未味□{远指：~儿}渭遗					
t	[1]兜□{打盹：~盹}[3]斗陡抖 [5]豆痘逗斗窦					
tʰ	[1]偷 [2]投头 [5]透					
n	[2]奴 [3]努馁 [5]内					
l	[2]楼耧娄搂卢泸芦炉庐轳擂雷 [3]累儡鲁撸卤搂橹虏篓垒磊 [5]类泪累=路露戮陋漏					
k	[1]勾钩沟 [3]佝给苟狗 [5]构购够垢诟					
kʰ	[1]抠 [3]口 [5]扣寇叩蔻					
ŋ	[1]欧呕殴鸥讴 [3]偶藕□{焦：~糊味}呕 [5]沤怄					
x	[2]喉猴侯 [3]吼 [5]候后厚逅					
ts	[1]贼粥□{近指：~儿}洲州周舟轴-{~}邹 [3]肘走 [5]昼宙咒骤皱奏揍宙胄绉					
tsʰ	[1]抽 [2]愁绸稠=筹仇□{扶：把他~起来}酬踌畴 [3]丑 [5]凑臭					
s	[1]收搜艘馊 [3]守手首擞叟 [5]受授瘦兽寿售嗽漱绶					
z	[2]揉柔糅蹂 [5]肉-{~}					
#uei						
t	[1]堆 [5]对兑队					
tʰ	[1]推 [2]颓 [5]退蜕褪煺腿㷟					
k	[1]闺归规龟瑰圭硅 [3]诡鬼轨 [5]桂贵柜					
kʰ	[1]亏盔窥葵魁奎 [2]揆睽逵 [3]傀 [5]跪愧溃馈					
x	[1]挥辉徽茴晖恢麾诙徽灰恢 [2]回 [3]毁悔 [5]汇绘慧惠贿秽晦会荟卉烩讳喙					
ts	[1]追锥 [3]嘴 [5]缀坠赘罪最醉					
tsʰ	[1]吹炊崔催摧 [2]垂槌锤捶悴 [5]翠粹脆萃淬					
s	[1]虽 [2]谁随绥遂隋 [3]水髓 [5]税睡瑞岁碎穗隧祟遂					
z	[5]蕊锐睿					
#iei						
t	[1]丢					
ȵ	[2]牛 [3]忸钮扭					
l	[1]溜 [2]流刘榴硫留馏瘤榴 [3]柳 [5]绺六-{~}馏遛溜					
tɕ	[1]纠赳究揪厩鸠蹴 [3]久玖九韭酒灸 [5]舅旧救就臼疚柩					
tɕʰ	[1]丘秋邱 [2]求球裘囚酋					
ɕ	[1]休修羞 [3]朽宿 [5]秀锈绣袖嗅					
∅	[1]忧优悠幽 [2]由油邮游尤犹莜 [3]友有酉莠 [5]又右幼釉诱佑柚祐					
#ɿ						
ts	[1]姿资兹滋支知枝肢脂蒸-{~馍馍}芝资咨淄龇锱争-正-{~月}睁-{~眼}之芝眵 [3]止址紫姊子=纸旨籽姊只指趾芷整-{收拾:~ 摞}[5]致至制痣自志智稚字置滞挚炙痔痣正-{~房}掷秩帜					
tsʰ	[1]撑-痴 [2]池迟驰雌瓷磁慈弛持祠= [3]此齿耻 [5]次刺翅伺					
s	[1]思斯撕私司丝饲辞词祠-{晋~}施尸生-{营~}甥-{外~子}狮 [2]绳-{~~}时诗师厮声-{作~}盛-{~饭} [3]矢屎史使始驶死 [5]是匙世势誓示视士事试市恃四似祀寺剩-{~饭}逝氏侍嗜肆嗣柿					
#i						
p	[3]彼比鄙俾妣饼-{柿～子}秕{~谷} [5]避蔽弊毙闭备币病-					
pʰ	[1]坯批披 [2]皮疲脾平-{商品落价：东西都~哩}坪-啤琵砒 [3]痞脾 [5]屁					
m	[2]迷=谜眉眯糜靡明-{精~}弥 [3]米 [5]迷-{发呆：~瞪}命-					
t	[1]低疔-{耳~}钉-{~子} [3]底抵顶-{~事} [5]第地帝弟递蒂定-{~懂}钉-订-					
tʰ	[1]听-{~见}梯 [2]堤题提啼蹄 [3]体 [5]替涕剃嚏屉					
n	[2]泥尼妮=倪霓[3]你=拟 [5]腻匿					
l	[2]犁离狸黎梨璃厘篱鹂哩凌-{冰：冬~}陵-{黄～:地名} [3]李里礼理娌鲤领-{衣~子} [5]例丽利隶厉励俪痢吏荔					
tɕ	[1]基鸡饥几机肌讥机畸姬精-{~明}睛-{眼～仁仁} [3]挤几己=井-{~} [5]济剂寄技妓纪记忌既季继镜-{映~儿}净-{干~}					
tɕʰ	[1]栖欺轻-青-{～菜}妻凄 [2]奇其期棋麒齐脐祁旗祺歧鳍骑晴- [3]启起企岂 [5]契器弃气赐汽砌					
ɕ	[1]西溪牺希稀醯曦犀兮牺奚星-{~宿}腥-{猪~气} [3]洗喜擤-{~鼻子}玺徙 [5]细系戏					
∅	[1]衣依伊医 [2]姨胰移遗宜疑仪怡夷蝇-{~子}营-{~生} [3]以已倚椅尾蚁影{~虎子} [5]易异意义议毅亿谊诣亦艺忆薏翼逸奕抑役疫映-{照：~镜儿}					
#u						
p	[3]补捕堡-哺 [5]布步怖部簿					
pʰ	[1]铺 [2]蒲菩葡-{~萄}脯-{~子} [3]谱普浦脯{果~} [5]铺瀑					
m	[2]模谋眸 [3]母亩某姆拇牡 [5]暮慕墓募幕牧					
f	[1]夫肤敷俘孵麸 [2]扶符浮芙孚苻蜉 [3]府甫俯斧腐否缶辅抚腑脯斧釜滏 [5]付符{~合}埠傅父附富赴妇副讣赋驸负					
v	[1]乌钨呜诬巫屋子 [2]吾梧吴无污芜蜈毋 [3]五伍午侮武舞庑怃妩捂 [5]坞悟误务雾晤鹜					
t	[1]都 [3]赌堵肚{:动物的胃} [5]肚肚杜度渡镀妒					
tʰ	[2]徒途涂图屠 [3]土吐 [5]兔					
k	[1]姑孤沽菇辜箍 [2]□｛象声词:大口喝水的声音｝ [3]咕蛄古鼓股汩钴蛊鹄 [5]故固顾雇梏崮□｛些：一～～｝					
kʰ	[1]枯骷 [3]苦 [5]库裤					
x	[1]乎呼 [2]胡湖狐壶糊葫蝴猢瑚滹弧狐 [3]虎唬琥 [5]护互户沪糊扈□｛：表粘稠｝					
ts	[1]朱蛛珠猪诸租株诛 [3]主煮炬组阻祖帚嘱属{连～} [5]住注柱驻助著铸箸蛀伫					
tsʰ	[1]初粗□｛～儿：麻疹｝ [2]除厨锄雏 [3]楚础储褚处杵 [5]处醋					
s	[1]舒疏蔬梳输殊书苏酥□｛味～：味道｝ [3]暑署曙鼠数=薯黍 [5]树竖漱恕数素庶塑绪诉塑					
z	[2]如=孺儒蠕擩{:伸进去}茹汝 [3]乳辱 [5]褥					
#y						
n	[3]女					
l	[2]驴 [3]旅吕缕屡侣铝 [5]虑滤					
tɕ	[1]居拘具-{家~}驹车 [3]举矩 [5]巨拒距句具=惧犋据剧聚拒距俱锯					
tɕʰ	[1]区驱躯岖蛐趋 [2]蛆渠衢 [3]娶取 [5]去=趣觑					
ɕ	[1]虚须需抒墟嘘兄-{~弟} [2]徐 [3]许诩 [5]序叙婿絮					
∅	[1]淤迂 [2]于盂余於俞榆鱼愚渔馀虞愉 [3]羽予与屿雨语宇禹 [5]预豫喻愈寓遇誉玉御与					
#ɛo						
p	[1]包苞雹刨 [3]宝保饱葆堡= [5]报豹抱鲍暴爆豹刨曝					
pʰ	[1]抛胞剖脬{尿~} [2]袍[3]跑 [5]炮泡					
m	[1]猫 [2]毛矛茅锚髦 [3]卯铆 [5]冒帽贸貌茂袤					
t	[1]刀叨 [3]倒岛捣导蹈道-{聊天：~讗}祷 [5]道=盗悼到倒					
tʰ	[1]滔韬掏涛 [2]桃淘陶 [3]讨 [5]套稻					
n	[2]挠铙 [3]脑恼瑙 [5]闹					
l	[1]捞 [2]劳痨牢唠崂 [3]老姥佬了-{吃~它} [5]涝烙骆-{~驼}酪落{莲花~}					
k	[1]羔糕高 [3]膏稿搞镐 [5]告					
kʰ	[3]考拷烤 [5]靠犒					
x	[1]蒿薅 [2]豪毫壕 [3]好 [5]和-{他~我}号耗浩皓昊好					
ts	[1]招昭糟遭 [3]爪找沼澡早枣藻蚤 [5]照赵笊兆罩造皂灶燥肇噪躁					
tsʰ	[1]抄超钞操糙 [2]朝潮嘲巢曹漕槽嘈 [3]吵炒草					
s	[1]稍梢捎烧骚臊 [2]韶 [3]少嫂扫 [5]哨绍邵□{洒雨点：雨~了一窗台}少扫{~帚}					
z	[2]饶 [3]扰 [5]绕					
∅	[2]熬 [5]拗奥澳傲懊鏊					
#iɛo						
p	[1]标膘彪 [3]表裱镖摽鳔					
pʰ	[1]漂飘 [2]瓢剽[3]瞟 [5]漂票漂					
m	[2]苗描瞄 [3]秒渺藐 [5]庙妙					
t	[1]刁叼貂碉雕凋 [5]吊钓掉调铫					
tʰ	[1]挑 [2]条=调 [3]挑 [5]跳粜					
ȵ	[3]鸟咬 [5]尿					
l	[1]撩 [2]僚潦辽燎疗寥聊獠缭燎 [3]了= [5]瞭料撂漻{用清水漂洗}					
tɕ	[1]交郊茭娇骄胶浇焦蕉椒教跤姣蛟 [3]狡绞饺缴侥搅矫铰较 [5]叫教窖轿噍{倒～:动物反刍}校觉					
tɕʰ	[1]敲跷悄 [2]乔侨荞瞧桥劁 [3]巧雀-{鸟：~儿} [5]窍峭俏翘鞘					
ɕ	[1]宵消销硝箫肖霄萧嚣逍 [3]晓小 [5]效校孝哮笑啸酵					
∅	[1]幺吆妖腰邀 [2]窑摇遥谣 [3]舀 [5]要耀					
#ə̃						
p	[1]奔锛崩绷□{额头：~髅} [3]本 [5]笨蹦泵奔迸=坌					
pʰ	[1]喷烹抨怦蜂-{~儿} [2]朋盆彭篷蓬棚膨澎鹏 [3]捧粉-{面~} [5]碰					
m	[2]门蒙懵盟萌焖 [3]猛 [5]闷孟梦					
f	[1]分吩纷芬坟焚峰蜂=锋风疯封丰 [2]冯逢缝逢枫锋汾 [3]粉=讽 [5]份奋愤粪奉凤俸顺舜瞬					
v	[1]温瘟翁 [2]文纹蚊闻 [3]稳吻紊□{远指：~个做}刎 [5]瓮问					
t	[1]登灯 [3]等戥 [5]邓澄瞪凳					
tʰ	[1]吞 [2]疼滕腾誊					
n	[2]能农浓脓 [5]嫩					
l	[2]棱 [3]冷 [5]愣					
k	[1]根跟更=耕庚羹 [3]梗耿梗鲠哽埂 [5]更亘					
kʰ	[1]坑吭铿 [3]肯垦恳					
ŋ	[1]恩					
x	[1]亨哼 [2]痕恒衡横 [3]很狠 [5]恨					
ts	[1]贞侦真甄针斟砧{~板}珍征争挣睁=蒸=曾增憎臻帧榛箴筝 [3]疹诊整□{近指：~个做}缜拯 [5]振震阵镇政症郑证赠正=赈枕{~头}朕					
tsʰ	[1]称撑瞠参 [2]辰晨陈臣尘忱成城呈承乘橙曾丞层盛= 沉澄诚程 [3]惩逞骋 [5]碜趁衬称秤蹭					
s	[1]申伸呻身深参升生=牲笙甥=僧声=森绅 [2]绳=神 [3]沈审婶省 [5]慎肾渗甚胜剩=盛圣瘆					
z	[2]人任仁壬仍 [3]忍 [5]认刃韧					
#iə̃						
p	[1]宾滨缤斌彬冰兵 [3]丙柄饼=禀秉炳  [5]并病=殡鬓					
pʰ	[1]乒平=评萍苹屏瓶凭拼贫频坪=贫  [3]品 [5]聘牝					
m	[2]民明=名铭酩鸣冥溟茗 [3]敏抿悯闵皿泯闽 [5]命=					
t	[1]丁钉=叮订疔=盯 [3]顶=鼎 [5]定=锭订					
tʰ	[1]听=厅汀 [2]庭亭停廷婷霆蜓 [3]挺艇					
ȵ	[1]宁泞咛 [3]拧 [5]硬					
l	[1]拎 [2]邻磷麟鳞林淋琳临伶零龄菱凌=陵=灵霖玲聆绫铃羚 [3]凛领=岭廪 [5]令另赁吝蔺躏					
tɕ	[1]京鲸惊经茎荆精=睛=菁晶巾今筋金襟津斤矜泾兢痉旌 [3]井=景颈警仅谨紧锦尽瑾馑憬 [5]竟境镜=敬径竞净=静近劲禁尽进晋浸烬妗觐噤靖					
tɕʰ	[1]轻=氢倾青=清=蜻卿擎钦亲侵 [2]勤晴=芹琴禽擒秦情 [3]顷请寝 [5]倾庆亲磬					
ɕ	[1]兴星=腥=猩欣辛锌新薪心忻芯鑫馨歆惺型讯-{问~} [2]寻行形刑邢型 [3]醒省擤= [5]幸信兴姓性衅迅讯=汛杏=囟					
∅	[1]英应鹰婴樱缨鹦因姻殷音阴茵荫鹰膺莺 [2]迎盈营=萤蝇=赢寅淫吟寅垠莹荧萦瀛 [3]影尹引隐瘾饮颖䌥 [5]映=应印饮荫窨{地～}用-{不~哩}					
#uə̃						
t	[1]冬东敦墩蹲 [3]吨盹董懂 [5]洞冻栋动钝囤盾炖遁顿					
tʰ	[1]通吞= [2]同桐铜童潼瞳屯臀佟彤僮囤豚 [3]筒桶捅统 [5]痛					
l	[2]隆龙笼聋珑 [3]垄陇拢 [5]弄					
k	[1]工功公蚣弓躬恭宫攻恭 [3]龚拱巩汞滚 [5]辊棍共贡供					
kʰ	[1]空昆坤 [3]孔恐捆啃 [5]困控空					
x	[1]烘轰昏婚荤烘 [2]红虹=宏洪鸿魂浑弘 [3]哄 [5]混哄					
ts	[1]遵尊中衷忠盅终钟宗棕踪鬃综樽谆 [3]种肿总准冢 [5]仲重种众纵粽					
tsʰ	[1]春舂村冲充囱匆葱聪 [2]唇纯存从丛醇重崇淳莼忡椿憧虫 [3]蠢宠 [5]冲寸铳揰{推击}					
s	[1]孙松嵩淞 [3]损笋隼怂耸悚竦 [5]宋送讼颂诵					
z	[2]绒戎冗容溶荣融蓉榕熔 [3]氄{~毛} [5]闰润					
#yə̃						
l	[2]沦轮抡仑伦 [5]论					
tɕ	[1]均君军钧 [3]窘迥冏炯菌炅 [5]俊峻竣骏郡					
tɕʰ	[2]穷琼群裙穹					
ɕ	[1]兄匈凶汹勋熏 [2]熊雄巡询旬循荀  [5]讯迅训驯殉逊					
∅	[1]庸佣拥晕雍壅臃庸慵墉 [2]云耘匀芸 [3]永泳咏甬恿涌勇蛹踊允陨 [5]俑用=运韵熨酝蕴					
#aʔ						
p	[7]八 [8]拔					
m	[7]抹					
f	[7]发法砝 [8]罚乏伐筏垡阀					
v	[7]袜挖沃握渥幄					
t	[7]答搭褡耷妲瘩嗒怛靼笪达哒□{遗传：他~了他父亲哩}					
tʰ	[7]塔獭踏搨塌榻蹋溻沓闼挞庹拓					
n	[7]纳钠捺衲					
l	[7]腊邋蜡辣镴剌垃拉□｛磨碎粮食：～食食｝喇蝲					
x	[7]瞎-{~说} [8]匣					
ts	[7]扎眨摘札匝咂喳蚱舴 [8]闸砸杂煠铡					
tsʰ	[7]插察擦					
s	[7]杀煞刹撒萨飒卅索-｛～～：手链｝					
#iaʔ						
pʰ	[7]□{~猪：鬃猪}					
tɕ	[7]夹荚甲胛脚挟裌戛颊钾					
tɕʰ	[7]掐恰洽甲-{指~}					
ɕ	[7]瞎=狭峡狎侠[8]辖匣=					
∅	[7]押压轧鸭鸦					
#uaʔ						
k	[7]刮鸹					
x	[8]划滑猾					
ts	[7]撮{一～毛}					
tsʰ	[7]龊					
s	[7]刷					
#əʔ						
p	[7]不卜					
pʰ	[7]□{乱跑：~出的}扑噗仆瀑朴璞樸濮曝					
m	[7]木沐目穆睦苜们幕牧没					
f	[7]佛弗福幅缚蝠辐腹蝮馥妇赴附覆敷匐拂 [8]服伏茯袱复					
v	[7]物勿杌					
tʰ	[7]特讬托忒慝 [8]趿					
l	[7]勒					
k	[7]胳圪疙格咯嗝蝌去-{~学校}核-{~桃}					
kʰ	[7]可-{~好嘞}克刻坷					
x	[7]黑郝□{～里：里边}					
ts	[7]汁织只职执□{近指：~个}指｛～头｝质絷炙置脊这子｛后缀｝侧-｛～楞：侧着身子睡觉｝植殖侄掷蛰踯秩翟蒺 [8]直值					
tsʰ	[7]叱敕赤=斥吃尺拆饬					
s	[7]湿虱失饰式适释涩赤-{裸：~着身子}施轼拭饰室识式 [8]十什拾实食蚀石					
z	[7]日					
#iəʔ						
p	[7]北逼笔碧辟壁璧必毕百佰憋鳖柏泊掰弼蹩别 [8]白鼻					
pʰ	[7]箅{炉~子}劈霹匹癖僻拍迫撇魄谝					
m	[7]秘泌密蜜秘默墨觅麦脉灭蔑					
t	[7]得德的嫡跌滴咥迪敌狄荻涤迭 [8]叠牒蝶谍喋笛					
tʰ	[7]剔惕踢贴帖铁					
ȵ	[7]匿溺逆你-{~们；你的：~行}捏聂镊蹑孽涅妮-{女儿或女孩：~子}					
l	[7]立栗粒笠力历沥勒猎列裂烈劣略掠					
tɕ	[7]激击急级吉脊戟稷迹积接揭隔-{~壁}羯节洁觉劫己-{自~}辑疾籍寂捷杰竭 [8]截集					
tɕʰ	[7]泣迄乞戚七漆膝雀=切妾怯却客-{~人}					
ɕ	[7]吸息媳蟋悉惜析淅媳锡夕蝎歇楔胁泄讗 [8]学-席习					
∅	[7]邑溢逸益疫役乙壹一译乐叶业页□{夹：~进书里}					
