繁体	简体	声母	韵母	聲調	拼音无调	拼音	IPA	备注		
蓋	盖	k	ui	5	kui	kui5	kʰui²⁴			
甘	甘	g	aang	1h	gaang	gaang1h	kaŋ⁵⁵			
肝	肝	g	un	1	gun	gun1	kun³⁵			
肝	肝	g	un	1h	gun	gun1h	kun⁵⁵			
泔	泔	g	aang	1h	gaang	gaang1h	kaŋ⁵⁵			
柑	柑	g	aang	1h	gaang	gaang1h	kaŋ⁵⁵			
竿	竿	g	un	1	gun	gun1	kun³⁵			
竿	竿	g	un	1h	gun	gun1h	kun⁵⁵			
尴	尴	g	aang	1	gaang	gaang1	kaŋ³⁵			
秆	秆	g	un	3	gun	gun3	kun¹¹			
笴	笴	g	un	3	gun	gun3	kun¹¹			
敢	敢	g	aang	3	gaang	gaang3	kaŋ¹¹			
稈	秆	g	un	3	gun	gun3	kun¹¹			
感	感	g	aang	3	gaang	gaang3	kaŋ¹¹			
趕	赶	g	un	3	gun	gun3	kun¹¹			
橄	橄	g	aang	3	gaang	gaang3	kaŋ¹¹			
擀	擀	g	un	3	gun	gun3	kun¹¹			
干	干	g	un	1	gun	gun1	kun³⁵			
干	干	g	un	1h	gun	gun1h	kun⁵⁵			
幹	干	g	un	5	gun	gun5	kun²⁴			
岡	冈	g	ong	1h	gong	gong1h	kɔŋ⁵⁵			
缸	缸	g	ong	1h	gong	gong1h	kɔŋ⁵⁵			
剛	刚	g	ong	1h	gong	gong1h	kɔŋ⁵⁵			
崗	岗	g	ong	1h	gong	gong1h	kɔŋ⁵⁵			
綱	纲	g	ong	1h	gong	gong1h	kɔŋ⁵⁵			
鋼	钢	g	ong	5	gong	gong5	kɔŋ²⁴			
港	港	g	ong	3	gong	gong3	kɔŋ¹¹			
杠	杠	g	ong	5	gong	gong5	kɔŋ²⁴			
高	高	g	ou	1	gou	gou1	kou³⁵			
高	高	g	ou	1h	gou	gou1h	kou⁵⁵			
羔	羔	g	ou	1h	gou	gou1h	kou⁵⁵			
膏	膏	g	ou	1h	gou	gou1h	kou⁵⁵			
篙	篙	g	aau	1h	gaau	gaau1h	kau⁵⁵			
搞	搞	g	aau	3	gaau	gaau3	kau¹¹			
稾	稾	g	ou	3	gou	gou3	kou¹¹			
藁	藁	g	ou	3	gou	gou3	kou¹¹			
告	告	g	ou	5	gou	gou5	kou²⁴			
戈	戈	k	o	1h	ko	ko1h	kʰɔ⁵⁵			
哥	哥	g	o	1	go	go1	kɔ³⁵			
哥	哥	g	o	1h	go	go1h	kɔ⁵⁵			
胳	胳	g	o	1	go	go1	kɔ³⁵			
割	割	gw	o	1	gwo	gwo1	kʷɔ³⁵			
歌	歌	g	o	1	go	go1	kɔ³⁵			
歌	歌	g	o	1h	go	go1h	kɔ⁵⁵			
鴿	鸽	g	aa	1	gaa	gaa1	ka³⁵			
革	革	g	ae	1	gae	gae1	kæ³⁵			
格	格	g	ae	1	gae	gae1	kæ³⁵			
隔	隔	g	ae	1	gae	gae1	kæ³⁵			
閣	阁	g	o	1	go	go1	kɔ³⁵			
臈	臈	l	aaq	8	laaq	laaq8	laʔ²¹¹			
葛	葛	gw	o	1	gwo	gwo1	kʷɔ³⁵			
各	各	g	o	1	go	go1	kɔ³⁵			
個	个	g	o	5	go	go5	kɔ²⁴			
个	个	g	o	5	go	go5	kɔ²⁴			
箇	个	g	o	5	go	go5	kɔ²⁴			
給	给	k	aaq	7	kaaq	kaaq7	kʰaʔ⁵⁵			
根	根	g	ang	1	gang	gang1	kɐŋ³⁵			
根	根	g	ang	1h	gang	gang1h	kɐŋ⁵⁵			
跟	跟	g	ang	1	gang	gang1	kɐŋ³⁵			
跟	跟	g	ang	1h	gang	gang1h	kɐŋ⁵⁵			
庚	庚	g	aeng	1h	gaeng	gaeng1h	kæŋ⁵⁵			
耕	耕	g	aang	1h	gaang	gaang1h	kaŋ⁵⁵			
羹	羹	g	aeng	1h	gaeng	gaeng1h	kæŋ⁵⁵			
埂	埂	g	aeng	3	gaeng	gaeng3	kæŋ¹¹			
耿	耿	g	ang	3	gang	gang3	kɐŋ¹¹			
哽	哽	g	aeng	3	gaeng	gaeng3	kæŋ¹¹	骨~在喉。		
梗	梗	g	aeng	3	gaeng	gaeng3	kæŋ¹¹	茎。		
更	更	g	aeng	1h	gaeng	gaeng1h	kæŋ⁵⁵	~换、五~。		
更	更	g	aeng	6	gaeng	gaeng6	kæŋ³²	~加。		
工	工	g	ung	1	gung	gung1	kʊŋ³⁵			
工	工	g	ung	1h	gung	gung1h	kʊŋ⁵⁵			
弓	弓	g	ung	1h	gung	gung1h	kʊŋ⁵⁵			
公	公	g	ung	1	gung	gung1	kʊŋ³⁵			
公	公	g	ung	1h	gung	gung1h	kʊŋ⁵⁵			
功	功	g	ung	1h	gung	gung1h	kʊŋ⁵⁵			
攻	攻	g	ung	1	gung	gung1	kʊŋ³⁵			
攻	攻	g	ung	1h	gung	gung1h	kʊŋ⁵⁵			
恭	恭	g	ung	1h	gung	gung1h	kʊŋ⁵⁵			
蚣	蚣	g	ung	1h	gung	gung1h	kʊŋ⁵⁵			
躬	躬	g	ung	1h	gung	gung1h	kʊŋ⁵⁵			
宮	宫	g	ung	1h	gung	gung1h	kʊŋ⁵⁵			
躳	躳	g	ung	1h	gung	gung1h	kʊŋ⁵⁵			
汞	汞	g	ung	3	gung	gung3	kʊŋ¹¹			
拱	拱	g	ung	3	gung	gung3	kʊŋ¹¹			
鞏	巩	g	ung	3	gung	gung3	kʊŋ¹¹			
共	共	g	ung	6	gung	gung6	kʊŋ³²			
供	供	g	ung	1h	gung	gung1h	kʊŋ⁵⁵			
貢	贡	g	ung	5	gung	gung5	kʊŋ²⁴			
鉤	钩	ng	au	1h	ngau	ngau1h	ŋɐu⁵⁵			
溝	沟	k	au	1h	kau	kau1h	kʰɐu⁵⁵			
苟	苟	g	au	3	gau	gau3	kɐu¹¹			
狗	狗	g	au	1h	gau	gau1h	kɐu⁵⁵			
彀	彀	g	au	5	gau	gau5	kɐu²⁴			
够	够	g	au	5	gau	gau5	kɐu²⁴			
構	构	k	au	5	kau	kau5	kʰɐu²⁴			
購	购	k	au	5	kau	kau5	kʰɐu²⁴			
估	估	g	u	3	gu	gu3	ku¹¹			
孤	孤	g	u	1h	gu	gu1h	ku⁵⁵			
姑	姑	g	u	1	gu	gu1	ku³⁵			
姑	姑	g	u	1h	gu	gu1h	ku⁵⁵			
箍	箍	k	u	1	ku	ku1	kʰu³⁵			
箍	箍	k	u	1h	ku	ku1h	kʰu⁵⁵			
古	古	g	u	3	gu	gu3	ku¹¹			
谷	谷	g	uq	7	guq	guq7	kʊʔ⁵⁵			
股	股	g	u	3	gu	gu3	ku¹¹			
骨	骨	gw	aq	7	gwaq	gwaq7	kʷɐʔ⁵⁵			
牯	牯	g	u	3	gu	gu3	ku¹¹			
鼓	鼓	g	u	3	gu	gu3	ku¹¹			
穀	谷	g	uq	7	guq	guq7	kʊʔ⁵⁵			
固	固	g	u	5	gu	gu5	ku²⁴			
故	故	g	u	5	gu	gu5	ku²⁴			
雇	雇	g	u	5	gu	gu5	ku²⁴			
頋	頋	g	u	5	gu	gu5	ku²⁴			
錮	锢	g	u	5	gu	gu5	ku²⁴	锢露锅。		
顧	顾	g	u	5	gu	gu5	ku²⁴			
瓜	瓜	gw	aa	1	gwaa	gwaa1	kʷa³⁵			
瓜	瓜	gw	aa	1h	gwaa	gwaa1h	kʷa⁵⁵			
刮	刮	gw	aa	1	gwaa	gwaa1	kʷa³⁵			
剮	剐	gw	aa	3	gwaa	gwaa3	kʷa¹¹			
寡	寡	gw	aa	3	gwaa	gwaa3	kʷa¹¹			
卦	卦	gw	aa	5	gwaa	gwaa5	kʷa²⁴			
挂	挂	kw	aa	5	kwaa	kwaa5	kʷʰa²⁴			
掛	挂	kw	aa	5	kwaa	kwaa5	kʷʰa²⁴			
乖	乖	gw	aai	1	gwaai	gwaai1	kʷai³⁵			
乖	乖	gw	aai	1h	gwaai	gwaai1h	kʷai⁵⁵			
枴	拐	gw	aai	5	gwaai	gwaai5	kʷai²⁴			
怪	怪	gw	aai	5	gwaai	gwaai5	kʷai²⁴			
恠	恠	gw	aai	5	gwaai	gwaai5	kʷai²⁴			
官	官	g	un	1h	gun	gun1h	kun⁵⁵			
棺	棺	g	un	1h	gun	gun1h	kun⁵⁵			
関	关	gw	aeng	1h	gwaeng	gwaeng1h	kʷæŋ⁵⁵			
關	关	gw	aeng	1h	gwaeng	gwaeng1h	kʷæŋ⁵⁵			
鰥	鳏	gw	aang	1h	gwaang	gwaang1h	kʷaŋ⁵⁵			
觀	观	g	un	1h	gun	gun1h	kun⁵⁵	参~。		
觀	观	g	un	5	gun	gun5	kun²⁴	寺~。		
筦	筦	g	un	3	gun	gun3	kun¹¹			
管	管	g	un	3	gun	gun3	kun¹¹			
館	馆	g	un	3	gun	gun3	kun¹¹			
冠	冠	g	un	5	gun	gun5	kun²⁴	冠~。		
冠	冠	g	un	1h	gun	gun1h	kun⁵⁵	衣~。		
貫	贯	g	un	5	gun	gun5	kun²⁴			
慣	惯	gw	aeng	5	gwaeng	gwaeng5	kʷæŋ²⁴			
灌	灌	g	un	5	gun	gun5	kun²⁴			
罐	罐	g	un	5	gun	gun5	kun²⁴			
鑵	鑵	g	un	5	gun	gun5	kun²⁴			
光	光	gw	ong	1	gwong	gwong1	kʷɔŋ³⁵			
光	光	gw	ong	1h	gwong	gwong1h	kʷɔŋ⁵⁵			
廣	广	gw	ong	3	gwong	gwong3	kʷɔŋ¹¹			
俇	俇	gw	ong	6	gwong	gwong6	kʷɔŋ³²			
圭	圭	gw	ai	1h	gwai	gwai1h	kʷɐi⁵⁵			
規	规	gw	ai	1h	gwai	gwai1h	kʷɐi⁵⁵			
閨	闺	gw	ai	1h	gwai	gwai1h	kʷɐi⁵⁵			
龜	龟	gw	ai	1h	gwai	gwai1h	kʷɐi⁵⁵			
歸	归	gw	ai	1	gwai	gwai1	kʷɐi³⁵			
歸	归	gw	ai	1h	gwai	gwai1h	kʷɐi⁵⁵			
軌	轨	gw	ai	3	gwai	gwai3	kʷɐi¹¹			
鬼	鬼	gw	ai	3	gwai	gwai3	kʷɐi¹¹			
癸	癸	kw	ai	3	kwai	kwai3	kʷʰɐi¹¹			
詭	诡	gw	ai	3	gwai	gwai3	kʷɐi¹¹			
昋	昋	gw	ai	5	gwai	gwai5	kʷɐi²⁴			
炅	炅	gw	ai	5	gwai	gwai5	kʷɐi²⁴			
桂	桂	gw	ai	5	gwai	gwai5	kʷɐi²⁴			
貴	贵	gw	ai	5	gwai	gwai5	kʷɐi²⁴			
跪	跪	gw	ai	6	gwai	gwai6	kʷɐi³²			
劊	刽	k	ui	5	kui	kui5	kʰui²⁴			
櫃	柜	gw	ai	6	gwai	gwai6	kʷɐi³²			
滾	滚	kw	ang	3	kwang	kwang3	kʷʰɐŋ¹¹			
棍	棍	gw	ang	5	gwang	gwang5	kʷɐŋ²⁴			
郭	郭	g	o	1	go	go1	kɔ³⁵			
聒	聒	k	o	1	ko	ko1	kʰɔ³⁵	~耳朵。		
鍋	锅	w	o	1h	wo	wo1h	wɔ⁵⁵			
國	国	gw	o	1	gwo	gwo1	kʷɔ³⁵			
果	果	g	o	3	go	go3	kɔ¹¹			
菓	菓	g	o	3	go	go3	kɔ¹¹			
裹	裹	g	o	3	go	go3	kɔ¹¹			
過	过	gw	o	5	gwo	gwo5	kʷɔ²⁴			
蛤	蛤	h	aa	1h	haa	haa1h	ha⁵⁵			
孩	孩	h	aai	2	haai	haai2	hai²¹			
還	还	w	aang	2	waang	waang2	waŋ²¹	~原、~有。		
海	海	f	ui	3	fui	fui3	fui¹¹			
亥	亥	h	ui	6	hui	hui6	hui³²			
害	害	h	ui	6	hui	hui6	hui³²			
駭	骇	h	aai	5	haai	haai5	hai²⁴			
鼾	鼾	f	un	2	fun	fun2	fun²¹			
含	含	h	ang	2	hang	hang2	hɐŋ²¹			
函	函	h	aang	2	haang	haang2	haŋ²¹			
寒	寒	f	un	2	fun	fun2	fun²¹			
汗	汗	f	un	6	fun	fun6	fun³²			
旱	旱	h	un	3	hun	hun3	hun¹¹			
焊	焊	f	un	6	fun	fun6	fun³²			
漢	汉	f	un	6	fun	fun6	fun³²			
撼	撼	h	aang	5	haang	haang5	haŋ²⁴			
翰	翰	f	un	6	fun	fun6	fun³²			
憾	憾	h	aang	6	haang	haang6	haŋ³²			
行	行	h	aeng	2	haeng	haeng2	hæŋ²¹	~为。		
行	行	h	ang	6	hang	hang6	hɐŋ³²	品~。		
行	行	h	ong	2	hong	hong2	hɔŋ²¹	~列。		
杭	杭	h	ong	2	hong	hong2	hɔŋ²¹			
航	航	h	ong	2	hong	hong2	hɔŋ²¹			
蒿	蒿	g	ou	1	gou	gou1	kou³⁵			
薅	薅	h	ou	1	hou	hou1	hou³⁵	除田草。		
毫	毫	h	ou	2	hou	hou2	hou²¹			
豪	豪	h	ou	2	hou	hou2	hou²¹			
壕	壕	h	ou	2	hou	hou2	hou²¹			
濠	濠	h	ou	2	hou	hou2	hou²¹			
好	好	h	ou	3	hou	hou3	hou¹¹			
郝	郝	k	o	1	ko	ko1	kʰɔ³⁵			
秏	秏	h	ou	6	hou	hou6	hou³²			
浩	浩	h	ou	6	hou	hou6	hou³²			
號	号	h	ou	6	hou	hou6	hou³²			
喝	喝	h	o	1	ho	ho1	hɔ³⁵			
禾	禾	w	o	2	wo	wo2	wɔ²¹			
合	合	h	aaq	8	haaq	haaq8	haʔ²¹¹			
何	何	h	o	2	ho	ho2	hɔ²¹			
和	和	w	o	2	wo	wo2	wɔ²¹			
河	河	h	o	2	ho	ho2	hɔ²¹			
荷	荷	h	o	2	ho	ho2	hɔ²¹	~花。		
核	核	h	aq	8	haq	haq8	hɐʔ²¹¹	审~。		
核	核	w	aq	8	waq	waq8	wɐʔ²¹¹	果子~。		
盒	盒	h	aaq	8	haaq	haaq8	haʔ²¹¹			
賀	贺	h	o	6	ho	ho6	hɔ³²			
赫	赫	h	ae	1	hae	hae1	hæ³⁵			
燺	燺	h	aau	1h	haau	haau1h	hau⁵⁵			
鶴	鹤	h	oq	8	hoq	hoq8	hɔʔ²¹¹			
黑	黑	h	aaq	7	haaq	haaq7	haʔ⁵⁵			
痕	痕	h	ang	2	hang	hang2	hɐŋ²¹			
很	很	h	ang	3	hang	hang3	hɐŋ¹¹			
恨	恨	h	ang	6	hang	hang6	hɐŋ³²			
亨	亨	h	ang	1h	hang	hang1h	hɐŋ⁵⁵			
亨	亨	h	iong	3	hiong	hiong3	hiɔŋ¹¹			
烹	烹	p	aeng	1h	paeng	paeng1h	pʰæŋ⁵⁵			
恆	恒	h	ang	2	hang	hang2	hɐŋ²¹			
橫	横	w	aeng	2	waeng	waeng2	wæŋ²¹	~直、蛮~。		
衡	衡	h	ang	2	hang	hang2	hɐŋ²¹			
烘	烘	h	ung	1	hung	hung1	hʊŋ³⁵			
輷	輷	gw	ang	1	gwang	gwang1	kʷɐŋ³⁵			
輷	輷	gw	ang	1h	gwang	gwang1h	kʷɐŋ⁵⁵			
轟	轰	gw	ang	1	gwang	gwang1	kʷɐŋ³⁵			
轟	轰	gw	ang	1h	gwang	gwang1h	kʷɐŋ⁵⁵			
弘	弘	h	ong	2	hong	hong2	hɔŋ²¹			
宏	宏	h	ung	2	hung	hung2	hʊŋ²¹			
虹	虹	h	ung	3	hung	hung3	hʊŋ¹¹	文读。		
虹	虹	k	ung	3	kung	kung3	kʰʊŋ¹¹	白读。		
洪	洪	h	ung	2	hung	hung2	hʊŋ²¹			
紅	红	h	ung	2	hung	hung2	hʊŋ²¹			
鴻	鸿	h	ung	2	hung	hung2	hʊŋ²¹			
哄	哄	h	ung	6	hung	hung6	hʊŋ³²			
鬨	哄	h	ung	6	hung	hung6	hʊŋ³²			
侯	侯	h	au	2	hau	hau2	hɐu²¹			
矦	矦	h	au	2	hau	hau2	hɐu²¹			
喉	喉	h	au	2	hau	hau2	hɐu²¹			
猴	猴	h	au	2	hau	hau2	hɐu²¹			
瘊	瘊	h	au	2	hau	hau2	hɐu²¹	~子。		
吽	吽	h	aau	1h	haau	haau1h	hau⁵⁵			
吼	吼	h	aau	1h	haau	haau1h	hau⁵⁵			
后	后	h	au	6	hau	hau6	hɐu³²			
厚	厚	h	au	3	hau	hau3	hɐu¹¹			
垕	垕	h	au	3	hau	hau3	hɐu¹¹			
後	后	h	au	6	hau	hau6	hɐu³²			
候	候	h	au	6	hau	hau6	hɐu³²			
乎	乎	f	u	2	fu	fu2	fu²¹			
呼	呼	f	u	1h	fu	fu1h	fu⁵⁵			
忽	忽	f	aq	7	faq	faq7	fɐʔ⁵⁵			
狐	狐	f	u	2	fu	fu2	fu²¹			
胡	胡	f	u	2	fu	fu2	fu²¹			
壺	壶	f	u	2	fu	fu2	fu²¹			
湖	湖	f	u	2	fu	fu2	fu²¹			
鬍	胡	f	u	2	fu	fu2	fu²¹			
虎	虎	f	u	3	fu	fu3	fu¹¹			
許	许	h	ui	3	hui	hui3	hui¹¹			
滸	浒	f	u	3	fu	fu3	fu¹¹	水~。		
互	互	f	u	6	fu	fu6	fu³²			
戶	户	f	u	6	fu	fu6	fu³²			
戽	戽	f	u	6	fu	fu6	fu³²	~水。		
瓠	瓠	f	u	2	fu	fu2	fu²¹			
滬	沪	f	u	6	fu	fu6	fu³²			
護	护	f	u	6	fu	fu6	fu³²			
花	花	f	aa	1	faa	faa1	fa³⁵			
花	花	f	aa	1h	faa	faa1h	fa⁵⁵			
划	划	w	aa	1h	waa	waa1h	wa⁵⁵			
華	华	f	aa	1	faa	faa1	fa³⁵			
華	华	f	aa	1h	faa	faa1h	fa⁵⁵			
華	华	w	aa	6	waa	waa6	wa³²	~山、姓。		
華	华	w	aa	2	waa	waa2	wa²¹	中~。		
猾	猾	w	aaq	8	waaq	waaq8	waʔ²¹¹			
滑	滑	w	aaq	8	waaq	waaq8	waʔ²¹¹			
鏵	铧	w	aa	2	waa	waa2	wa²¹			
化	化	f	aa	5	faa	faa5	fa²⁴			
畫	画	w	aa	1	waa	waa1	wa³⁵			
話	话	w	aa	6	waa	waa6	wa³²			
樺	桦	w	aa	6	waa	waa6	wa³²			
劃	划	w	aeq	8	waeq	waeq8	wæʔ²¹¹			
淮	淮	w	aa	2	waa	waa2	wa²¹			
槐	槐	w	aa	2	waa	waa2	wa²¹			
懷	怀	w	aa	2	waa	waa2	wa²¹			
坏	坏	p	ui	2	pui	pui2	pʰui²¹			
壞	坏	w	aa	2	waa	waa2	wa²¹			
壞	坏	w	aa	6	waa	waa6	wa³²			
嚾	嚾	w	un	6	wun	wun6	wun³²			
懽	欢	f	un	1	fun	fun1	fun³⁵			
懽	欢	f	un	1h	fun	fun1h	fun⁵⁵			
歡	欢	f	un	1	fun	fun1	fun³⁵			
歡	欢	f	un	1h	fun	fun1h	fun⁵⁵			
桓	桓	w	un	2	wun	wun2	wun²¹			
圜	圜	j	ong	2	jong	jong2	jɔŋ²¹			
寰	寰	j	ong	6	jong	jong6	jɔŋ³²			
環	环	w	aang	2	waang	waang2	waŋ²¹			
緩	缓	w	un	3	wun	wun3	wun¹¹			
幻	幻	w	aang	5	waang	waang5	waŋ²⁴			
宦	宦	w	aang	6	waang	waang6	waŋ³²			
患	患	w	aang	6	waang	waang6	waŋ³²			
換	换	w	un	6	wun	wun6	wun³²			
喚	唤	w	un	6	wun	wun6	wun³²			
煥	焕	w	un	6	wun	wun6	wun³²			
荒	荒	f	ong	1	fong	fong1	fɔŋ³⁵			
荒	荒	f	ong	1h	fong	fong1h	fɔŋ⁵⁵			
慌	慌	f	ong	1	fong	fong1	fɔŋ³⁵			
慌	慌	f	ong	1h	fong	fong1h	fɔŋ⁵⁵			
皇	皇	w	ong	2	wong	wong2	wɔŋ²¹			
黃	黄	w	ong	2	wong	wong2	wɔŋ²¹			
蝗	蝗	w	ong	2	wong	wong2	wɔŋ²¹			
簧	簧	w	ong	2	wong	wong2	wɔŋ²¹			
晃	晃	f	ong	3	fong	fong3	fɔŋ¹¹			
謊	谎	f	ang	5	fang	fang5	fɐŋ²⁴			
謊	谎	f	ong	1h	fong	fong1h	fɔŋ⁵⁵			
灰	灰	f	ui	1	fui	fui1	fui³⁵			
灰	灰	f	ui	1h	fui	fui1h	fui⁵⁵			
恢	恢	f	ui	1	fui	fui1	fui³⁵			
恢	恢	f	ui	1h	fui	fui1h	fui⁵⁵			
揮	挥	f	ai	1	fai	fai1	fɐi³⁵			
揮	挥	f	ai	1h	fai	fai1h	fɐi⁵⁵			
煇	辉	f	ai	1	fai	fai1	fɐi³⁵			
煇	辉	f	ai	1h	fai	fai1h	fɐi⁵⁵			
輝	辉	f	ai	1	fai	fai1	fɐi³⁵			
輝	辉	f	ai	1h	fai	fai1h	fɐi⁵⁵			
麾	麾	f	ui	1h	fui	fui1h	fui⁵⁵			
徽	徽	f	ai	1h	fai	fai1h	fɐi⁵⁵			
回	回	w	ui	1	wui	wui1	wui³⁵			
茴	茴	w	ui	1	wui	wui1	wui³⁵			
悔	悔	f	ui	3	fui	fui3	fui¹¹			
毀	毁	w	a	3	wa	wa3	wɐ¹¹			
晦	晦	f	ui	5	fui	fui5	fui²⁴			
惠	惠	w	a	6	wa	wa6	wɐ³²			
匯	汇	w	ui	3	wui	wui3	wui¹¹			
賄	贿	k	ui	3	kui	kui3	kʰui¹¹			
會	会	w	ui	6	wui	wui6	wui³²			
彙	汇	w	a	6	wa	wa6	wɐ³²			
慧	慧	w	a	6	wa	wa6	wɐ³²			
諱	讳	w	a	3	wa	wa3	wɐ¹¹			
檜	桧	k	ui	5	kui	kui5	kʰui²⁴			
穢	秽	w	a	6	wa	wa6	wɐ³²			
繪	绘	k	ui	5	kui	kui5	kʰui²⁴			
昏	昏	f	ang	1h	fang	fang1h	fɐŋ⁵⁵			
婚	婚	f	ang	1h	fang	fang1h	fɐŋ⁵⁵			
葷	荤	f	ang	1h	fang	fang1h	fɐŋ⁵⁵			
混	混	w	ang	6	wang	wang6	wɐŋ³²			
渾	浑	w	ang	6	wang	wang6	wɐŋ³²			
餛	馄	w	ang	2	wang	wang2	wɐŋ²¹			
魂	魂	w	ang	2	wang	wang2	wɐŋ²¹			
豁	豁	k	o	1	ko	ko1	kʰɔ³⁵			
活	活	w	oq	8	woq	woq8	wɔʔ²¹¹			
火	火	f	o	3	fo	fo3	fɔ¹¹			
夥	伙	f	o	3	fo	fo3	fɔ¹¹			
或	或	w	aaq	8	waaq	waaq8	waʔ²¹¹			
貨	货	f	o	5	fo	fo5	fɔ²⁴			
惑	惑	w	aaq	8	waaq	waaq8	waʔ²¹¹			
禍	祸	w	o	6	wo	wo6	wɔ³²			
霍	霍	kw	o	1	kwo	kwo1	kʷʰɔ³⁵			
獲	获	w	oq	8	woq	woq8	wɔʔ²¹¹			
藿	藿	kw	o	1	kwo	kwo1	kʷʰɔ³⁵			
鑊	镬	w	oq	8	woq	woq8	wɔʔ²¹¹	锅。		
肌	肌	g	ai	1h	gai	gai1h	kɐi⁵⁵			
飢	饥	g	ai	1h	gai	gai1h	kɐi⁵⁵			
屐	屐	g	iaaq	8	giaaq	giaaq8	kiaʔ²¹¹			
基	基	g	ai	1	gai	gai1	kɐi³⁵			
基	基	g	ai	1h	gai	gai1h	kɐi⁵⁵			
稽	稽	k	ai	1h	kai	kai1h	kʰɐi⁵⁵			
緝	缉	c	aq	7	caq	caq7	tsʰɐʔ⁵⁵	~鞋口。		
機	机	g	ai	1h	gai	gai1h	kɐi⁵⁵			
積	积	z	eq	7	zeq	zeq7	tseʔ⁵⁵			
激	激	g	eq	7	geq	geq7	keʔ⁵⁵			
擊	击	g	eq	7	geq	geq7	keʔ⁵⁵			
雞	鸡	g	ai	1h	gai	gai1h	kɐi⁵⁵			
譏	讥	g	ai	1h	gai	gai1h	kɐi⁵⁵			
饑	饥	g	ai	1h	gai	gai1h	kɐi⁵⁵			
鷄	鸡	g	ai	1h	gai	gai1h	kɐi⁵⁵			
及	及	k	aaq	8	kaaq	kaaq8	kʰaʔ²¹¹			
吉	吉	g	aq	7	gaq	gaq7	kɐʔ⁵⁵			
即	即	z	eq	7	zeq	zeq7	tseʔ⁵⁵			
急	急	g	aaq	7	gaaq	gaaq7	kaʔ⁵⁵			
級	级	k	aaq	7	kaaq	kaaq7	kʰaʔ⁵⁵			
疾	疾	z	aq	8	zaq	zaq8	tsɐʔ²¹¹			
極	极	g	eq	8	geq	geq8	keʔ²¹¹			
集	集	z	aaq	8	zaaq	zaaq8	tsaʔ²¹¹			
輯	辑	c	aq	7	caq	caq7	tsʰɐʔ⁵⁵			
藉	藉	z	eq	8	zeq	zeq8	tseʔ²¹¹			
籍	籍	z	eq	8	zeq	zeq8	tseʔ²¹¹			
几	几	g	ai	1h	gai	gai1h	kɐi⁵⁵	茶~。		
己	己	g	ai	3	gai	gai3	kɐi¹¹			
脊	脊	z	iaa	1	ziaa	ziaa1	tsia³⁵			
戟	戟	g	eq	7	geq	geq7	keʔ⁵⁵			
幾	几	g	ai	3	gai	gai3	kɐi¹¹	~个。		
幾	几	g	ai	1h	gai	gai1h	kɐi⁵⁵	~乎。		
技	技	g	ai	6	gai	gai6	kɐi³²			
忌	忌	g	ai	5	gai	gai5	kɐi²⁴			
妓	妓	g	ai	6	gai	gai6	kɐi³²			
季	季	gw	ai	5	gwai	gwai5	kʷɐi²⁴			
計	计	g	ai	5	gai	gai5	kɐi²⁴			
既	既	g	ai	5	gai	gai5	kɐi²⁴			
紀	纪	g	ai	3	gai	gai3	kɐi¹¹			
記	记	g	ai	5	gai	gai5	kɐi²⁴			
徛	徛	k	ai	3	kai	kai3	kʰɐi¹¹	立。		
祭	祭	z	ai	5	zai	zai5	tsɐi²⁴			
寄	寄	g	ai	5	gai	gai5	kɐi²⁴			
寂	寂	z	eq	8	zeq	zeq8	tseʔ²¹¹			
跡	迹	z	eq	7	zeq	zeq7	tseʔ⁵⁵			
際	际	z	ai	5	zai	zai5	tsɐi²⁴			
髻	髻	g	ai	5	gai	gai5	kɐi²⁴			
冀	冀	k	ai	3	kai	kai3	kʰɐi¹¹			
劑	剂	z	ai	6	zai	zai6	tsɐi³²			
濟	济	z	ai	5	zai	zai5	tsɐi²⁴			
績	绩	z	eq	7	zeq	zeq7	tseʔ⁵⁵			
鯽	鲫	z	eq	7	zeq	zeq7	tseʔ⁵⁵			
繫	系	h	ai	6	hai	hai6	hɐi³²			
繼	继	g	ai	5	gai	gai5	kɐi²⁴			
加	加	g	aa	1h	gaa	gaa1h	ka⁵⁵			
佳	佳	g	aai	1h	gaai	gaai1h	kai⁵⁵			
痂	痂	g	aa	1h	gaa	gaa1h	ka⁵⁵			
家	家	g	aa	1	gaa	gaa1	ka³⁵			
家	家	g	aa	1h	gaa	gaa1h	ka⁵⁵			
傢	家	g	aa	1h	gaa	gaa1h	ka⁵⁵			
嘉	嘉	g	aa	1h	gaa	gaa1h	ka⁵⁵			
夾	夹	g	aaq	8	gaaq	gaaq8	kaʔ²¹¹			
袷	袷	g	aaq	8	gaaq	gaaq8	kaʔ²¹¹	~衣。		
甲	甲	g	aa	1	gaa	gaa1	ka³⁵			
胛	胛	g	aa	1	gaa	gaa1	ka³⁵	肩~。		
叚	叚	g	aa	3	gaa	gaa3	ka¹¹			
假	假	g	aa	5	gaa	gaa5	ka²⁴	放~。		
假	假	g	aa	3	gaa	gaa3	ka¹¹	真~。		
賈	贾	g	aa	3	gaa	gaa3	ka¹¹	姓。		
架	架	g	aa	5	gaa	gaa5	ka²⁴			
嫁	嫁	g	aa	5	gaa	gaa5	ka²⁴			
稼	稼	g	aa	5	gaa	gaa5	ka²⁴			
價	价	g	aa	5	gaa	gaa5	ka²⁴			
駕	驾	g	aa	5	gaa	gaa5	ka²⁴			
