ID	汉字	注释	拼音	声母	韵母	声调
465	庫		khou3	kh	ou	3
466	褲		khou3	kh	ou	3
467	梧	魁梧	ngu5	ng	u	5
468	梧	梧桐	ngo5	ng	o	5
469	吾		ngu5	ng	u	5
470	吾	支支吾吾	u5		u	5
471	吳		gou5	g	ou	5
472	五		ngou2	ng	ou	2
473	五		ngou6	ng	ou	6
474	五		ngom6	ng	om	6
475	午		ngou2	ng	ou	2
476	伍		ngou2	ng	ou	2
477	伍	五的大写	ngou6	ng	ou	6
478	悟	文读	ngu6	ng	u	6
	悟	文读	ngo6	ng	o	6
479	悟	孙悟空	mo5	m	o	5
	悟	孙悟空	ngo5	ng	o	5
480	悟	无觉悟，白读	gou7	g	ou	7
481	誤		gou7	g	ou	7
482	呼	文读	hu1	h	u	1
483	呼	呼猪，白读	khou1	kh	ou	1
484	呼	呼我，白读	kho1	kh	o	1
485	呼	呼我，白读	ho1	h	o	1
486	呼	呼我，白读	hou1	h	ou	1
487	虎	白读	hounn2	h	ounn	2
488	虎	马虎，文读	hu1	h	u	1
489	滸	文读	hu2	h	u	2
490	滸	浒苔，白读	khou2	kh	ou	2
491	戽		hou3	h	ou	3
492	乎		hu1	h	u	1
493	壺		hu5	h	u	5
494	瓠	白读	pfu5	pf	u	5
495	瓠	文读	hu5	h	u	5
496	胡	文读	hu5	h	u	5
497	胡	白读	hou5	h	ou	5
498	胡	姓，白读	ou5		ou	5
499	狐	文读	hu5	h	u	5
500	狐	白读	hou5	h	ou	5
501	湖		ou5		ou	5
502	鈑	白读	painn2	p	ainn	2
503	鈑	文读	pang2	p	ang	2
504	戶	白读	hou6	h	ou	6
505	戶	文读	hu6	h	u	6
506	滬		hu6	h	u	6
507	互		hu6	h	u	6
508	互		hu5	h	u	5
509	護	文读	hu6	h	u	6
510	護	保护，保佑	ho7	h	o	7
513	烏	白读	ou1		ou	1
514	烏	文读	u1		u	1
515	污		u1		u	1
516	塢		u3		u	3
517	惡	可恶	u3		u	3
518	惡	恶毒	ak8		ak	8
519	惡	恶心，训读	eh4		eh	4
520	惡	恶心，训读，本字“秽”	ueh4		ueh	4
521	女	妞、女朋友，文读	ni2	n	i	2
522	廬	白读	lou5	l	ou	5
523	廬	文读	lu5	l	u	5
524	驢		lu5	l	u	5
525	呂		lu6	l	u	6
526	侶		lu6	l	u	6
527	旅		lu2	l	u	2
528	旅		li2	l	i	2
529	慮		lu6	l	u	6
530	濾		lu6	l	u	6
531	蛆		tshu1	tsh	u	1
532	疽		tshu1	tsh	u	1
533	胥		su1	s	u	1
534	絮		su3	s	u	3
535	徐	文读	su5	s	u	5
536	徐	白读	tshu5	tsh	u	5
537	序		su6	s	u	6
538	緒		su2	s	u	2
539	叙		su6	s	u	6
540	豬		tu1	t	u	1
541	著	名著	tu3	t	u	3
542	著	同“着”	tioh8	t	ioh	8
543	著	同“着”	tioh4	t	ioh	4
544	褚		tu2	t	u	2
545	除		tu5	t	u	5
546	儲		thu5	th	u	5
547	苧		tiu6	t	iu	6
548	箸		tu7	t	u	7
549	阻		tso2	ts	o	2
550	初	当初	tsho1	tsh	o	1
551	初	正月初一	tshiu1	tsh	iu	1
552	楚		tsho2	tsh	o	2
553	鋤	锄头	tu5	t	u	5
554	鋤	锄草	tsho5	tsh	o	5
555	疏		so1	s	o	1
556	蔬		so1	s	o	1
557	梳		siu1	s	iu	1
558	所		so2	s	o	2
560	諸		tsu1	ts	u	1
561	煮		tsu2	ts	u	2
562	處		tshu3	tsh	u	3
563	處		tshu2	tsh	u	2
566	書		tsu1	ts	u	1
567	舒		su1	s	u	1
568	鼠	白读	tshu2	tsh	u	2
569	鼠	鼠标、鼠目寸光，文读	su2	s	u	2
570	暑		su2	s	u	2
571	黍	文读	su2	s	u	2
572	黍	白读	siu2	s	iu	2
573	庶		su3	s	u	3
574	恕		no6	n	o	6
575	墅		su2	s	u	2
576	薯		tsu5	ts	u	5
577	署		su2	s	u	2
578	如		dzu5	dz	u	5
579	汝	白读	lu2	l	u	2
580	汝	文读	dzu3	dz	u	3
581	居		ku1	k	u	1
582	車	车子	tshia1	tsh	ia	1
583	車	象棋里的“车”	ku1	k	u	1
584	舉		ku2	k	u	2
585	鋸		ku3	k	u	3
586	據		ku6	k	u	6
587	墟		hu1	h	u	1
588	去	文读	khu3	kh	u	3
589	去	白读	kha3	kh	a	3
590	渠		khu5	kh	u	5
591	巨		ku6	k	u	6
592	距		ku6	k	u	6
593	拒		ku6	k	u	6
594	遽		ku6	k	u	6
595	魚		hu5	h	u	5
596	漁	白读	hu5	h	u	5
597	漁	文读	ngu5	ng	u	5
598	語		ngu2	ng	u	2
599	語	语文	ngou2	ng	ou	2
600	御		ngu7	ng	u	7
601	御		gu7	g	u	7
602	禦		ngu6	ng	u	6
603	虛		hu1	h	u	1
604	噓		hu1	h	u	1
605	噓	嘘尿，长辈吹口哨帮小孩子尿尿	si1	s	i	1
606	許	文读	hu2	h	u	2
607	許	姓，白读	khou2	kh	ou	2
608	許		hi2	h	i	2
609	淤	淤泥	u1		u	1
610	淤	淤塞	u3		u	3
611	於		u1		u	1
612	於		i1		i	1
613	余		u5		u	5
614	餘		u5		u	5
615	與		u2		u	2
617	譽		u6		u	6
618	預		u5		u	5
619	豫		u6		u	6
620	夫	文读	hu1	h	u	1
621	夫	诸夫，也写作丈夫，白读	pou1	p	ou	1
622	膚		hu1	h	u	1
623	甫		phou2	ph	ou	2
624	斧		pou2	p	ou	2
625	府		hu2	h	u	2
626	腑		hu2	h	u	2
627	俯		hu2	h	u	2
628	俯		hu6	h	u	6
629	賦		hu3	h	u	3
630	傅	文读	hu3	h	u	3
631	傅	姓，白读	pou3	p	ou	3
632	付		hu3	h	u	3
633	敷		hu1	h	u	1
634	俘		hu1	h	u	1
635	撫		bvu2	bv	u	2
636	赴		hu3	h	u	3
637	訃		hu3	h	u	3
638	符		hu5	h	u	5
639	扶		hu5	h	u	5
640	釜		hu5	h	u	5
641	腐	腐败	hu1	h	u	1
642	腐	豆腐	hu7	h	u	7
643	輔		hu6	h	u	6
644	父	文读	hu6	h	u	6
645	父	训读，本字“爸”	pe6	p	e	6
646	附		hu3	h	u	3
647	毋	文读	bvu5	bv	u	5
648	巫		bvu5	bv	u	5
649	巫	巫字村，潮南区红场镇一村庄	ngu5	ng	u	5
650	誣		bvu5	bv	u	5
651	無	白读	bo5	b	o	5
652	無	文读	bvu5	bv	u	5
653	無	南无阿弥陀佛，老派文读	mu5	m	u	5
654	舞	白读	bvu2	bv	u	2
655	舞	舞虎狮，白读	mou6	m	ou	6
656	侮		bvu2	bv	u	2
657	武		bvu2	bv	u	2
658	鵡		bvu2	bv	u	2
659	霧		bvu7	bv	u	7
660	務		bvu6	bv	u	6
661	縷		lu2	l	u	2
662	屢		lu2	l	u	2
663	趨		tshu1	tsh	u	1
664	取		tshu2	tsh	u	2
665	取	带领，训读，本字一说是“拽”，俗写作“揣”	tshua7	tsh	ua	7
666	取		tshiu2	tsh	iu	2
667	娶		tshu2	tsh	u	2
668	娶	训读	tshua7	tsh	ua	7
669	趣		tshu3	tsh	u	3
670	聚		tsu6	ts	u	6
671	需		su1	s	u	1
672	須		su1	s	u	1
673	須	胡须	tshiu1	tsh	iu	1
674	鎢		u1		u	1
675	續		sok8	s	ok	8
676	續		siok8	s	iok	8
677	蛛		tu1	t	u	1
678	蛛		thu1	th	u	1
679	株		tsu1	ts	u	1
680	誅		tsu1	ts	u	1
681	駐		tsu6	ts	u	6
682	注		tsu3	ts	u	3
683	厨		tou5	t	ou	5
684	柱		thiau6	th	iau	6
685	住	文读	tsu6	ts	u	6
686	住	白读	tiu7	t	iu	7
687	芻		tshu1	tsh	u	1
688	雛		tshu1	tsh	u	1
689	數	白读	siau3	s	iau	3
690	數	文读	su3	s	u	3
691	數	屡次	sok4	s	ok	4
	數	屡次	suak4	s	uak	4
695	珠		tsu1	ts	u	1
696	珠	目珠	tsiu1	ts	iu	1
697	朱		tsu1	ts	u	1
698	主		tsu2	ts	u	2
700	鑄		tsu3	ts	u	3
701	樞		khu1	kh	u	1
702	輸		su1	s	u	1
703	戍		sue3	s	ue	3
704	戍	古戍，潮阳地名，今名古帅	tshui3	tsh	ui	3
705	戍	房子，俗写作“厝”	tshu3	tsh	u	3
707	殊		su5	s	u	5
708	豎		su6	s	u	6
709	樹	白读	tshiu7	tsh	iu	7
710	樹	树立，文读	su6	s	u	6
711	儒		dzu5	dz	u	5
712	乳	文读	dzu2	dz	u	2
713	乳	白读	lu2	l	u	2
714	乳	白读，训做“奶”字	ni6	n	i	6
715	拘		khu1	kh	u	1
716	駒		khu1	kh	u	1
717	俱		ku6	k	u	6
718	矩		ku2	k	u	2
719	句		ku3	k	u	3
	句	句芒	kau1	k	au	1
720	區		khu1	kh	u	1
721	區	姓	au1		au	1
722	驅		khu1	kh	u	1
723	瞿		khu5	kh	u	5
724	瞿		ku6	k	u	6
725	具	具体、具备、具有	ku6	k	u	6
726	具	玩具厂、文具厂	ku3	k	u	3
727	懼		ku6	k	u	6
728	虞		ngu5	ng	u	5
729	愚		ngu5	ng	u	5
730	娛		ngu5	ng	u	5
731	遇		ngu6	ng	u	6
732	遇		ngo6	ng	o	6
733	遇		mu6	m	u	6
734	遇		mung6	m	ung	6
735	寓		ngu6	ng	u	6
736	吁		dzu6	dz	u	6
737	迂		u1		u	1
738	于		i1		i	1
739	于		u1		u	1
740	盂	文读	hu5	h	u	5
741	盂	铜盂，潮阳地名，白读	u5		u	5
742	盂	铜钵盂，潮阳地名，白读	ou5		ou	5
743	雨	白读	hou6	h	ou	6
744	雨	文读	u2		u	2
745	禹		u2		u	2
746	宇		u2		u	2
747	羽		u2		u	2
748	芋		ou7		ou	7
750	逾		dzu5	dz	u	5
751	榆		dzu5	dz	u	5
752	愉		dzu5	dz	u	5
753	愉		dzu1	dz	u	1
754	愈	韩愈	dzu6	dz	u	6
755	愈	愈来愈×	dzu2	dz	u	2
756	喻		dzu6	dz	u	6
757	裕		dzu6	dz	u	6
758	獃		tai1	t	ai	1
759	獃		ngai1	ng	ai	1
760	戴	文读	tai3	t	ai	3
761	戴		ti3	t	i	3
762	戴	姓	to3	t	o	3
763	戴	俗读	tua3	t	ua	3
764	胎	白读	tho1	th	o	1
765	胎	文读	thai1	th	ai	1
766	台		thai5	th	ai	5
767	台	風颱	thai1	th	ai	1
768	台	烛台	tai5	t	ai	5
769	態		thai3	th	ai	3
770	貸		tai3	t	ai	3
771	臺		thai5	th	ai	5
772	臺	風颱	thai1	th	ai	1
773	臺	烛台	tai5	t	ai	5
774	苔	文读	thai5	th	ai	5
775	苔	白读	tho1	th	o	1
776	苔	白读	thi5	th	i	5
777	抬		thai5	th	ai	5
778	殆		tai6	t	ai	6
779	待		thai6	th	ai	6
780	待	招待所，峡山一地名	thai3	th	ai	3
781	待	让	hai6	h	ai	6
782	怠		tai6	t	ai	6
783	代	文读	tai3	t	ai	3
784	代	训读，本字“替”	thoi3	th	oi	3
785	代	白读	to7	t	o	7
786	袋		to7	t	o	7
787	乃		nai2	n	ai	2
788	耐		nai6	n	ai	6
789	來		lai5	l	ai	5
790	災	文读	tsai1	ts	ai	1
791	災	鸡灾，鸡瘟，白读	tso1	ts	o	1
792	栽		tsai1	ts	ai	1
793	宰		tsai2	ts	ai	2
794	載		tsai3	ts	ai	3
795	再		tsai3	ts	ai	3
797	猜		tshai1	tsh	ai	1
798	采		tshainn2	tsh	ainn	2
799	睬		tshainn2	tsh	ainn	2
800	彩		tshainn2	tsh	ainn	2
801	菜		tshai3	tsh	ai	3
802	裁		tshai5	tsh	ai	5
803	材		tshai5	tsh	ai	5
804	才		tshai5	tsh	ai	5
805	才	秀才	tsai5	ts	ai	5
806	纔		tshai5	tsh	ai	5
807	財		tshai5	tsh	ai	5
808	在		to6	t	o	6
809	在		tsai6	ts	ai	6
810	腮	白读	tshi1	tsh	i	1
811	腮	文读	sai1	s	ai	1
812	賽		sai3	s	ai	3
813	該		kai1	k	ai	1
814	改		koi2	k	oi	2
815	溉		khai3	kh	ai	3
816	溉		kai3	k	ai	3
817	概		khai3	kh	ai	3
818	開	文读	khai1	kh	ai	1
819	開	白读	khui1	kh	ui	1
820	凱		khai2	kh	ai	2
821	愷		khai2	kh	ai	2
822	慨		khai3	kh	ai	3
823	呆		tai1	t	ai	1
824	呆		ngai1	ng	ai	1
825	礙		gai6	g	ai	6
826	礙		gai7	g	ai	7
827	礙		ngai6	ng	ai	6
828	海		hai2	h	ai	2
829	孩		hai5	h	ai	5
830	亥		hai6	h	ai	6
831	哀		ai1		ai	1
832	埃		ai1		ai	1
833	唉		ai1		ai	1
834	唉		oi1		oi	1
835	愛		ainn3		ainn	3
836	貝		pfue3	pf	ue	6
838	沛		phai3	ph	ai	3
839	帶		tua3	t	ua	3
840	泰		thai3	th	ai	3
