							#調值 [1]22 [2]55 [3]53 [4]24 [5]11 [6]33
584	蠭	f	ɛ	22	陰平		
585	蜂	f	ɛ	22	陰平		
586	𧒒	f	ɛ	22	陰平		
595	縱	ts	ɛ	11	陰去	縱橫。不符合該方言古今對應規律。	
597	蹤	ts	ɛ	22	陰平		
604	茸	∅	ie	55	陽平		
633	恭	k	e	22	陰平		
635	供	k	e	22	陰平	供給。	
664	江	k	o	22	陰平		
698	䆫	tsʰ	o	22	陰平		
698	䆫	tsʰ	e	22	陰平	不符合該方言古今對應規律。	
699	牎	tsʰ	e	22	陰平	不符合該方言古今對應規律。	
699	牎	tsʰ	o	22	陰平		
700	窓	tsʰ	e	22	陰平	不符合該方言古今對應規律。	
700	窓	tsʰ	o	22	陰平		
706	邦	p	o	22	陰平		
707	𤰫	p	o	22	陰平		
712	降	h	o	55	陽平	投降。	
713	缸	k	o	22	陰平		
714	瓨	k	o	22	陰平		
725	雙	s	o	22	陰平		
732	龐	p	o	55	陽平		
742	腔	h	ɛ	22	陰平	不符合該方言古今對應規律。	
743	𤟄	h	ɛ	22	陰平	不符合該方言古今對應規律。	
744	羫	h	ɛ	22	陰平	不符合該方言古今對應規律。	
765	樁	ts	o	22	陰平		
772	支	tɕ	i	22	陰平		
779	枝	tɕ	i	22	陰平		
801	移	∅	i	55	陽平		
802	䄬	∅	i	55	陽平		
834	為	∅	ʋᴀi	55	陽平	作為。	
877	錘	tɕʰ	y	55	陽平		
879	𡍮	s	ɔi	55	陽平		
880	垂	s	ɔi	55	陽平		
891	吹	tɕʰ	y	22	陰平		
892	炊	tsʰ	ɔi	22	陰平		
897	披	pʰ	ᴀ	22	陰平		
908	碑	p	ᴀi	22	陰平		
917	隨	tsʰ	ɔi	55	陽平		
920	虧	kʰ	ʋᴀi	22	陰平		
923	奇	kʰ	ᴀi	55	陽平		
925	騎	kʰ	ᴀ	55	陽平		
959	犧	kʰ	ᴀi	22	陰平	不符合該方言古今對應規律。	
988	宜	ȵ	i	55	陽平		
989	宐	ȵ	i	55	陽平		
990	𡪀	ȵ	i	55	陽平		
991	𡨆	ȵ	i	55	陽平		
992	儀	ȵ	i	55	陽平		
993	𥫃	ȵ	i	55	陽平		
999	皮	p	ᴀi	55	陽平		
1000	疲	p	ᴀi	55	陽平		
1018	兒	∅	y	55	陽平		
1018	兒	l	y	55	陽平		
1019	𠒆	l	y	55	陽平		
1019	𠒆	∅	y	55	陽平		
1022	離	l	ᴀi	55	陽平		
1093	卑	p	ᴀi	22	陰平		
1107	脾	p	ᴀi	55	陽平		
1121	施	ɕ	i	22	陰平		
1131	斯	ɕ	i	22	陰平		
1171	彌	∅	i	55	陽平	彌補。不符合該方言古今對應規律。	
1172	𢏏	∅	i	55	陽平	彌補。不符合該方言古今對應規律。	
1193	知	t	ᴀi	22	陰平		
1193	知	tɕ	i	22	陰平		
1210	馳	tɕʰ	i	55	陽平		
1212	池	tɕʰ	i	55	陽平		
1225	危	ŋ	ɔi	55	陽平		
1251	規	kʰ	ʋᴀi	22	陰平	不符合該方言古今對應規律。	
1278	脂	tɕ	i	22	陰平		
1288	姨	∅	i	55	陽平		
1291	夷	∅	i	55	陽平		
1314	師	ɕ	i	22	陰平		
1317	篩	s	ᴀ	22	陰平		
1344	資	tɕ	i	22	陰平		
1358	飢	k	ᴀi	22	陰平		
1388	餈	tɕʰ	i	55	陽平	餈巴。	
1389	𩜴	tɕʰ	i	55	陽平	餈巴。	
1393	瓷	tɕʰ	i	55	陽平		
1398	尼	n	ᴀ	55	陽平		
1410	遲	tɕʰ	i	55	陽平		
1411	遟	tɕʰ	i	55	陽平		
1421	私	ɕ	i	22	陰平		
1428	屍	ɕ	i	22	陰平		
1437	祁	kʰ	ᴀi	55	陽平		
1446	棃	l	ᴀi	55	陽平		
1447	梨	l	ᴀi	55	陽平		
1460	葵	kʰ	ʋᴀi	55	陽平		
1468	追	tɕ	y	22	陰平		
1471	龜	k	ʋᴀi	22	陰平		
1472	龜	k	ʋᴀi	22	陰平		
1473	𠃾	k	ʋᴀi	22	陰平		
1490	遺	∅	ʋᴀi	55	陽平		
1514	雖	s	ɔi	22	陰平		
1525	逵	kʰ	ʋᴀi	55	陽平		
1544	眉	m	ᴀi	55	陽平		
1545	睂	m	ᴀi	55	陽平		
1565	悲	p	ᴀi	22	陰平		
1574	誰	s	ɔi	55	陽平		
1574	誰	ɕ	y	55	陽平		
1603	椎	tɕʰ	y	55	陽平		
1604	槌	tɕʰ	y	55	陽平		
1605	桘	tɕʰ	y	55	陽平		
1630	之	tɕ	i	22	陰平		
1661	時	ɕ	i	55	陽平		
1662	旹	ɕ	i	55	陽平		
1668	疑	ȵ	i	55	陽平		
1671	思	ɕ	i	22	陰平		
1672	恖	ɕ	i	22	陰平		
1673	司	ɕ	i	22	陰平		
1688	其	kʰ	ᴀi	55	陽平		
1689	期	kʰ	ᴀi	55	陽平	日期。	
1690	旗	kʰ	ᴀi	55	陽平		
1704	棊	kʰ	ᴀi	55	陽平		
1705	櫀	kʰ	ᴀi	55	陽平		
1706	碁	kʰ	ᴀi	55	陽平		
1718	詩	ɕ	i	22	陰平		
1724	而	∅	i	55	陽平		
1745	欺	kʰ	ᴀi	22	陰平		
1759	基	k	ᴀi	22	陰平		
1768	詞	tɕʰ	i	55	陽平		
1769	祠	tɕʰ	i	55	陽平		
1771	辭	tɕʰ	i	55	陽平		
1772	辤	tɕʰ	i	55	陽平		
1773	辝	tɕʰ	i	55	陽平		
1825	醫	∅	ᴀi	22	陰平		
1826	毉	∅	ᴀi	22	陰平		
1836	持	tɕʰ	i	55	陽平		
1845	慈	tɕʰ	i	55	陽平		
1868	微	m	ᴀi	55	陽平		
1876	揮	f	ᴀi	22	陰平		
1893	圍	∅	ʋᴀi	55	陽平		
1896	違	∅	ʋᴀi	55	陽平		
1914	飛	f	ᴀi	22	陰平		
1918	非	f	ᴀi	22	陰平		
1925	肥	f	ᴀi	55	陽平		
1937	威	∅	ʋᴀi	22	陰平		
1945	祈	kʰ	ᴀi	55	陽平		
1965	機	k	ᴀi	22	陰平		
1981	希	h	ᴀi	22	陰平		
1981	希	kʰ	ᴀi	22	陰平	不符合該方言古今對應規律。	
1993	依	∅	ᴀi	22	陰平		
1995	衣	∅	ᴀi	22	陰平		
2005	歸	k	ʋᴀi	22	陰平		
2006	㱕	k	ʋᴀi	22	陰平		
2010	魚	ȵ	y	55	陽平		
2011	𩺰	ȵ	y	55	陽平		
2020	初	tsʰ	ᴀu	22	陰平	初一年級	
2020	初	tsʰ	ɔi	22	陰平	年級一。	
2022	書	ɕ	y	22	陰平		
2025	舒	ɕ	y	22	陰平		
2029	居	k	ɔi	22	陰平		
2036	車	k	ɔi	22	陰平	車馬炮。	
2043	渠	kʰ	ɔi	55	陽平	水渠。	
2073	餘	∅	y	55	陽平		
2125	鉏	tsʰ	ɔi	55	陽平		
2126	鋤	tsʰ	ɔi	55	陽平		
2136	梳	s	ɔi	22	陰平		
2138	蔬	s	ɔi	22	陰平		
2146	虛	h	ɔi	22	陰平		
2152	徐	tɕʰ	y	55	陽平		
2161	豬	t	ɔi	22	陰平		
2162	䐗	t	ɔi	22	陰平		
2163	猪	t	ɔi	22	陰平		
2184	諸	tɕ	y	22	陰平		
2191	除	tɕʰ	y	55	陽平		
2193	儲	tɕʰ	y	55	陽平	儲蓄。	
2204	如	∅	y	55	陽平		
2244	愚	∅	y	55	陽平		
2245	娛	∅	y	55	陽平		
2264	無	∅	ʋ	55	陽平		
2362	儒	∅	y	55	陽平		
2379	鬚	s	ɔi	22	陰平	鬍鬚。	
2386	需	s	ɔi	22	陰平		
2392	株	tɕ	y	22	陰平		
2405	殊	ɕ	y	55	陽平		
2430	愉	∅	y	11	陰去	不符合該方言古今對應規律。	
2462	區	kʰ	ɔi	22	陰平		
2470	朱	tɕ	y	22	陰平		
2471	珠	tɕ	y	22	陰平		
2500	扶	f	ʋ	55	陽平		
2501	𢻳	f	ʋ	55	陽平		
2503	符	f	ʋ	55	陽平		
2577	膚	f	ʋ	22	陰平		
2578	肤	f	ʋ	22	陰平		
2608	輸	ɕ	y	22	陰平		
2616	廚	tɕʰ	y	55	陽平		
2621	拘	kʰ	ɔi	22	陰平	不符合該方言古今對應規律。	
2640	模	m	ᴀu	55	陽平	模子。	
2641	橅	m	ᴀu	55	陽平	模子。	
2657	菩	p	ᴀu	55	陽平	菩薩。	
2662	胡	∅	ʋ	55	陽平	《廣韻》「胡」同「鬍」。姓胡，鬍子讀音亦同。	
2665	壺	∅	ʋ	55	陽平		
2666	狐	∅	ʋ	55	陽平		
2670	湖	∅	ʋ	55	陽平		
2692	孤	k	ʋ	22	陰平		
2697	姑	k	ʋ	22	陰平		
2717	箍	kʰ	ʋ	22	陰平	不符合該方言古今對應規律。	
2721	徒	t	ᴀu	55	陽平		
2723	屠	t	ᴀu	55	陽平		
2725	塗	t	ᴀu	55	陽平		
2726	途	t	ᴀu	55	陽平		
2735	圖	t	ᴀu	55	陽平		
2752	奴	n	ᴀu	55	陽平		
2759	呼	f	ʋ	22	陰平		
2780	吳	∅	m	55	陽平		
2797	租	ts	ᴀu	22	陰平		
2799	盧	l	ᴀu	55	陽平		
2817	爐	l	ᴀu	55	陽平		
2833	蘇	s	ᴀu	22	陰平		
2842	烏	∅	ʋ	22	陰平		
2876	枯	k	ʋ	22	陰平	不符合該方言古今對應規律。	
2888	麁	tsʰ	ᴀu	22	陰平		
2893	粗	tsʰ	ᴀu	22	陰平		
2906	都	t	ᴀu	22	陰平	首都。	
2914	鋪	pʰ	ᴀu	22	陰平	鋪設。	
2925	齊	tsʰ	ᴀ	55	陽平		
2926	臍	tsʰ	ᴀi	55	陽平		
2935	犂	l	ᴀ	55	陽平		
2936	𤛿	l	ᴀ	55	陽平		
2955	妻	tsʰ	ᴀi	22	陰平		
2965	低	t	ᴀ	22	陰平		
2974	堤	t	ᴀi	55	陽平	不符合該方言古今對應規律。	
2989	嗁	t	ᴀi	55	陽平		
2990	啼	t	ᴀi	55	陽平		
2991	㖒	t	ᴀi	55	陽平		
2992	蹏	t	ᴀi	55	陽平		
2993	蹄	t	ᴀi	55	陽平		
2995	提	t	ᴀi	55	陽平		
3000	題	t	ᴀi	55	陽平		
3066	雞	k	ᴀ	22	陰平		
3067	鷄	k	ᴀ	22	陰平		
3130	西	s	ᴀ	22	陰平		
3131	卤	s	ᴀ	22	陰平		
3132	卥	s	ᴀ	22	陰平		
3146	梯	tʰ	ou	22	陰平	不符合該方言古今對應規律。	
3167	批	pʰ	i	22	陰平		
3185	迷	m	ᴀi	55	陽平		
3191	泥	n	ᴀ	55	陽平		
3192	埿	n	ᴀ	55	陽平		
3263	佳	k	ou	22	陰平		
3264	街	k	ou	22	陰平		
3268	鞵	h	ou	55	陽平		
3269	鞋	h	ou	55	陽平		
3273	牌	p	ou	55	陽平		
3295	柴	s	ou	55	陽平		
3310	差	tsʰ	ou	22	陰平	出差。	
3312	竵	∅	ʋou	22	陰平		
3346	階	k	ou	22	陰平		
3351	堦	k	ou	22	陰平		
3355	街	k	ou	22	陰平		
3368	鞋	h	ou	55	陽平		
3370	排	p	ou	55	陽平		
3373	牌	p	ou	55	陽平		
3376	乖	k	ʋou	22	陰平		
3377	𦮃	k	ʋou	22	陰平		
3380	懷	∅	ʋᴀi	55	陽平		
3383	槐	∅	ʋᴀi	55	陽平		
3388	淮	∅	ʋᴀi	55	陽平		
3395	豺	s	ou	55	陽平		
3404	埋	m	ou	55	陽平		
3408	齋	ts	ou	22	陰平		
3432	灰	f	ᴀi	22	陰平		
3438	恢	f	ᴀi	22	陰平		
3457	回	∅	ʋᴀi	55	陽平		
3471	梅	m	ᴀi	55	陽平		
3474	煤	m	ᴀi	55	陽平		
3495	雷	l	ɔi	55	陽平		
3496	𩂩	l	ɔi	55	陽平		
3522	催	tsʰ	ɔi	22	陰平		
3531	堆	t	ɔi	22	陰平		
3555	培	p	ᴀi	55	陽平		
3556	陪	p	ᴀi	55	陽平		
3565	桮	p	ᴀi	22	陰平		
3566	杯	p	ᴀi	22	陰平		
3567	盃	p	ᴀi	22	陰平		
3585	推	tʰ	ɔi	22	陰平		
3598	開	h	ʋ	22	陰平		
3603	哀	∅	ɔi	22	陰平		
3609	臺	t	ʋ	55	陽平		
3610	擡	t	ʋ	55	陽平		
3611	菭	t	ʋ	55	陽平	舌苔、青苔。	
3612	苔	t	ʋ	55	陽平	舌苔、青苔。	
3624	該	k	ʋ	22	陰平		
3645	裁	tsʰ	ʋ	55	陽平		
3647	財	tsʰ	ʋ	55	陽平		
3648	才	tsʰ	ʋ	55	陽平		
3654	來	l	ʋ	55	陽平	不符合該方言古今對應規律。	
3679	烖	ts	ʋ	22	陰平		
3680	灾	ts	ʋ	22	陰平		
3681	災	ts	ʋ	22	陰平		
3682	𤆎	ts	ʋ	22	陰平		
3683	栽	ts	ʋ	22	陰平		
3697	胎	tʰ	ʋ	22	陰平		
3698	孡	tʰ	ʋ	22	陰平		
3704	孩	h	ou	55	陽平		
3733	真	ts	ᴀn	22	陰平		
3753	因	∅	ᴀn	22	陰平		
3776	新	s	ᴀn	22	陰平		
3777	辛	s	ᴀn	22	陰平		
3780	晨	s	ᴀn	55	陽平		
3781	䢅	s	ᴀn	55	陽平		
3789	臣	tsʰ	ᴀn	55	陽平		
3789	臣	s	ᴀn	55	陽平		
3792	仁	ȵ	iᴀn	55	陽平		
3794	人	ȵ	iᴀn	55	陽平		
3795	神	s	ᴀn	55	陽平		
3797	親	tsʰ	ᴀn	22	陰平	親戚。	
3798	寴	tsʰ	ᴀn	22	陰平	親戚。	
3799	𡪔	tsʰ	ᴀn	22	陰平	親戚。	
3803	申	s	ᴀn	22	陰平		
3804	伸	s	ᴀn	22	陰平		
3815	身	s	ᴀn	22	陰平		
3819	賓	p	ᴀn	22	陰平		
3820	𧶉	p	ᴀn	22	陰平		
3831	鄰	l	ᴀn	55	陽平		
3839	鱗	l	ᴀn	55	陽平		
3857	珍	ts	ᴀn	22	陰平		
3860	陳	tsʰ	ᴀn	55	陽平		
3861	敶	tsʰ	ᴀn	55	陽平		
3864	塵	tsʰ	ᴀn	55	陽平		
3865	津	ts	ᴀn	22	陰平		
3866	𦪉	ts	ᴀn	22	陰平		
3876	秦	tsʰ	ᴀn	55	陽平		
3891	頻	p	ᴀn	55	陽平		
3905	銀	ŋ	ᴀn	55	陽平		
3921	巾	k	ᴀn	22	陰平		
3958	貧	p	ᴀn	55	陽平		
3959	𡧋	p	ᴀn	55	陽平		
3980	民	m	ᴀn	55	陽平		
3990	椿	tsʰ	ᴀn	22	陰平		
4014	純	s	ᴀn	55	陽平		
4031	脣	s	ᴀn	55	陽平		
4037	倫	l	ᴀn	55	陽平		
4040	輪	l	ᴀn	55	陽平		
4065	遵	ts	øn	22	陰平		
4070	春	tsʰ	ᴀn	22	陰平		
4072	勻	∅	ʋᴀn	55	陽平		
4074	旬	s	ᴀn	55	陽平		
4075	𠣙	s	ᴀn	55	陽平		
4076	巡	s	ᴀn	55	陽平		
4078	循	s	ᴀn	55	陽平		
4092	均	k	ʋᴀn	22	陰平		
4134	文	m	ᴀn	55	陽平		
4135	聞	m	ᴀn	55	陽平		
4141	蟁	m	ᴀn	55	陽平		
4142	蚊	m	ᴀn	55	陽平		
4143	䘇	m	ᴀn	55	陽平		
4150	雲	∅	ʋᴀn	55	陽平	烏雲。	
4183	墳	f	ᴀn	55	陽平		
4190	焚	f	ᴀn	55	陽平		
4191	燌	f	ᴀn	55	陽平		
4219	分	f	ᴀn	22	陰平		
4225	羣	kʰ	ʋᴀn	55	陽平		
4226	帬	kʰ	ʋᴀn	55	陽平		
4227	裠	kʰ	ʋᴀn	55	陽平		
4232	勳	f	ᴀn	22	陰平		
4233	勛	f	ᴀn	22	陰平		
4234	熏	f	ᴀn	22	陰平		
4235	燻	f	ᴀn	22	陰平		
4242	君	k	ʋᴀn	22	陰平		
4243	軍	k	ʋᴀn	22	陰平		
4251	紛	f	ᴀn	22	陰平		
4263	欣	∅	ᴀn	22	陰平	不符合該方言古今對應規律。	
4264	忻	∅	ᴀn	22	陰平	不符合該方言古今對應規律。	
4269	殷	∅	ᴀn	22	陰平		
4273	勤	kʰ	ᴀn	55	陽平		
4274	芹	kʰ	ᴀn	55	陽平		
4282	斤	k	ᴀn	22	陰平		
4283	筋	k	ᴀn	22	陰平		
4284	䈥	k	ᴀn	22	陰平		
4298	元	ŋ	øn	55	陽平		
4299	原	ŋ	øn	55	陽平		
4320	袁	∅	iøn	55	陽平		
4324	園	∅	ʋeŋ	55	陽平		
4336	煩	f	ɔŋ	55	陽平		
4340	繁	f	ɔŋ	55	陽平		
4355	礬	f	ɔŋ	55	陽平		
4374	飜	f	ɔŋ	22	陰平		
4375	翻	f	ɔŋ	22	陰平		
4405	冤	∅	ʋeŋ	22	陰平		
4422	言	∅	ieŋ	55	陽平		
4430	掀	h	eŋ	22	陰平		
4458	䰟	∅	ʋᴀn	55	陽平		
4467	渾	∅	ʋᴀn	55	陽平		
4482	昆	kʰ	ʋᴀn	22	陰平	不符合該方言古今對應規律。	
4503	溫	∅	ʋᴀn	22	陰平		
4515	門	m	ᴀn	55	陽平		
4528	孫	s	ᴀn	22	陰平		
4534	尊	ts	øn	22	陰平		
4535	罇	ts	øn	22	陰平		
4536	樽	ts	øn	22	陰平		
4539	存	tsʰ	ᴀn	55	陽平		
4549	墩	t	ᴀn	22	陰平		
4559	豚	t	ᴀn	55	陽平		
4560	㹠	t	ᴀn	55	陽平		
4561	豘	t	ᴀn	55	陽平		
4580	村	tsʰ	ᴀn	22	陰平		
4585	盆	p	ᴀn	55	陽平		
4589	奔	p	ᴀn	22	陰平		
4593	論	l	ᴀn	33	陽去		
4597	坤	kʰ	ʋᴀn	22	陰平		
4598	𡿦	kʰ	ʋᴀn	22	陰平		
4604	昏	f	ᴀn	22	陰平		
4606	婚	kʰ	ʋᴀn	22	陰平	不符合該方言古今對應規律。	
4615	痕	h	ᴀn	55	陽平		
4619	根	k	ᴀn	22	陰平		
4620	跟	k	ᴀn	22	陰平		
4621	𣥦	k	ᴀn	22	陰平		
4623	恩	∅	ᴀn	22	陰平		
4626	吞	tʰ	ᴀn	22	陰平		
4630	寒	h	ɔŋ	55	陽平		
4631	𩏑	h	ɔŋ	55	陽平		
4645	單	t	ɔŋ	22	陰平	單獨。	
4655	安	∅	ɔŋ	22	陰平		
4660	難	n	ɔŋ	55	陽平	難易。	
4661	𪅀	n	ɔŋ	55	陽平	難易。	
4662	𩁢	n	ɔŋ	55	陽平	難易。	
4663	𩁚	n	ɔŋ	55	陽平	難易。	
4664	餐	tsʰ	ɔŋ	22	陰平		
4665	湌	tsʰ	ɔŋ	22	陰平		
4667	灘	tʰ	ɔŋ	22	陰平		
4673	攤	tʰ	ɔŋ	22	陰平		
4682	壇	t	ɔŋ	55	陽平		
4683	檀	t	ɔŋ	55	陽平		
4687	彈	t	ɔŋ	55	陽平	彈琴。	
4697	殘	tsʰ	ɔŋ	55	陽平		
4705	乾	k	ɔŋ	22	陰平	乾濕。	
4706	漧	k	ɔŋ	22	陰平	乾濕。	
4708	肝	k	ɔŋ	22	陰平		
4720	蘭	l	ɔŋ	55	陽平		
4728	欄	l	ɔŋ	55	陽平		
4738	刊	h	ɔŋ	53	陰上	不符合該方言古今對應規律。	
4743	完	∅	ʋeŋ	55	陽平		
4746	丸	∅	ʋeŋ	55	陽平		
4783	端	t	ɔŋ	22	陰平		
4808	酸	s	ɔŋ	22	陰平		
4813	團	t	ɔŋ	55	陽平		
4834	官	k	ʋɔŋ	22	陰平		
4838	觀	k	ʋɔŋ	22	陰平	參觀。	
4858	歡	f	ɔŋ	22	陰平		
4859	懽	f	ɔŋ	22	陰平		
4871	寬	kʰ	ʋɔŋ	22	陰平		
4873	鑽	ts	ɔŋ	11	陰去	鑽洞。不符合該方言古今對應規律。	
4879	槃	p	ɔŋ	55	陽平		
4880	盤	p	ɔŋ	55	陽平		
4881	鎜	p	ɔŋ	55	陽平		
4882	柈	p	ɔŋ	55	陽平		
4906	䊡	m	ɔŋ	33	陽去	不符合該方言古今對應規律。	
4907	饅	m	ɔŋ	33	陽去	不符合該方言古今對應規律。	
4926	潘	pʰ	ɔŋ	22	陰平		
4933	般	p	ɔŋ	22	陰平	般、搬讀音亦同。	
4936	刪	s	ɔŋ	22	陰平		
4941	關	k	ʋɔŋ	22	陰平		
4942	関	k	ʋɔŋ	22	陰平		
4947	彎	∅	ʋɔŋ	22	陰平		
4953	還	∅	ʋɔŋ	55	陽平	還原。	
4954	環	∅	ʋɔŋ	55	陽平		
4973	班	p	ɔŋ	22	陰平		
4984	扳	p	ɔŋ	22	陰平		
4986	蠻	m	ɔŋ	55	陽平		
4993	顏	ŋ	ɔŋ	55	陽平		
4995	姦	k	ɔŋ	22	陰平		
4999	攀	pʰ	ɔŋ	22	陰平		
5004	頑	∅	ʋɔŋ	55	陽平		
5009	山	s	ɔŋ	22	陰平		
5015	閒	k	ɔŋ	22	陰平	中間。	
5016	艱	k	ɔŋ	22	陰平		
5017	囏	k	ɔŋ	22	陰平		
5021	閑	h	ɔŋ	55	陽平		
5074	先	s	eŋ	22	陰平		
5078	前	tsʰ	eŋ	55	陽平		
5079	歬	tsʰ	eŋ	55	陽平		
5084	千	tsʰ	eŋ	22	陰平		
5108	天	tʰ	eŋ	22	陰平		
5109	𠀘	tʰ	eŋ	22	陰平		
5110	䒶	tʰ	eŋ	22	陰平		
5114	堅	k	eŋ	22	陰平		
5119	肩	k	eŋ	22	陰平		
5131	賢	h	eŋ	55	陽平		
5132	臤	h	eŋ	55	陽平		
5133	弦	h	eŋ	55	陽平		
5134	絃	h	eŋ	55	陽平		
5149	煙	∅	eŋ	22	陰平		
5150	烟	∅	eŋ	22	陰平		
5151	𡨾	∅	eŋ	22	陰平		
5152	𤎟	∅	eŋ	22	陰平		
5161	蓮	l	eŋ	55	陽平		
5162	憐	l	eŋ	55	陽平		
5163	怜	l	eŋ	55	陽平		
5169	田	t	eŋ	55	陽平		
5173	填	t	eŋ	55	陽平		
5174	窴	t	eŋ	55	陽平		
5189	秊	n	eŋ	55	陽平		
5190	年	n	eŋ	55	陽平		
5192	顛	t	eŋ	22	陰平		
5193	㒹	t	eŋ	22	陰平		
5207	牽	h	eŋ	22	陰平		
5219	研	ŋ	ɔŋ	55	陽平		
5220	𥓋	ŋ	ɔŋ	55	陽平		
5225	眠	m	eŋ	55	陽平		
5244	淵	∅	eŋ	22	陰平		
5245	𠝃	∅	eŋ	22	陰平		
5246	囦	∅	eŋ	22	陰平		
5267	邊	p	eŋ	22	陰平		
5281	玄	h	eŋ	55	陽平		
5282	縣	h	eŋ	55	陽平		
5283	懸	h	eŋ	55	陽平		
5297	仙	s	eŋ	22	陰平		
5298	僊	s	eŋ	22	陰平		
5299	㒨	s	eŋ	22	陰平		
5305	鮮	s	eŋ	22	陰平	新鮮。	
5306	硟	s	eŋ	22	陰平	新鮮。	
5309	錢	tsʰ	eŋ	55	陽平		
5311	遷	tsʰ	eŋ	22	陰平		
5312	𨙙	tsʰ	eŋ	22	陰平		
5313	𠨧	tsʰ	eŋ	22	陰平		
5319	煎	ts	eŋ	22	陰平		
5323	然	∅	ieŋ	55	陽平		
5332	延	∅	ieŋ	55	陽平		
5381	蟬	s	eŋ	55	陽平		
5385	禪	s	eŋ	55	陽平	禪宗。	
5388	纏	tsʰ	eŋ	55	陽平		
5389	緾	tsʰ	eŋ	55	陽平		
5403	連	l	eŋ	55	陽平		
5404	聮	l	ɔŋ	55	陽平	不符合該方言古今對應規律。	
5416	篇	pʰ	eŋ	22	陰平		
5417	偏	pʰ	eŋ	22	陰平		
5434	棉	m	eŋ	55	陽平		
5449	全	tsʰ	øn	55	陽平		
5450	仝	tsʰ	øn	55	陽平		
5451	泉	tsʰ	øn	55	陽平		
5456	宣	s	øn	22	陰平		
5485	穿	tsʰ	øn	22	陰平		
5488	沿	∅	iøn	55	陽平		
5489	㳂	∅	iøn	55	陽平		
