單字	粵拼	聲母_定	韻母_定	聲調_定	IPA	聲母_定	韻母_定	聲調_定	備註
碑		b	ei	1		p	ei	23	
庇		b	ei	1		p	ei	23	比較
悲		b	ei	1		p	ei	23	
泌		b	ei	1		p	ei	23	
祕		b	ei	1		p	ei	23	
痺		b	ei	1		p	ei	23	
秘		b	ei	1		p	ei	23	
彼		b	ei	2		p	ei	35	
比		b	ei	2		p	ei	35	被動
妣		b	ei	2		p	ei	35	
畀		b	ei	2		p	ei	35	
陂		b	ei	5		p	ei	21	
避		b	ei	6		p	ei	31	
被		b	ei	6		p	ei	31	
鼻		b	ei	6		p	ei	31	
備		b	ei	6		p	ei	31	
憊		b	ei	6		p	ei	31	
八		b	et	7A		p	ɛt	35	八卦
八		b	et	7B		p	ɛt	23	數字八
捌		b	et	7B		p	ɛt	23	
叭		b	et	7B		p	ɛt	23	
卑		b	i	1		p	i	23	又音
臂		b	i	1		p	i	23	又音
碑		b	i	1		p	i	23	又音
庇		b	i	1		p	i	23	比較，又音
悲		b	i	1		p	i	23	又音
泌		b	i	1		p	i	23	又音
祕		b	i	1		p	i	23	又音
痺		b	i	1		p	i	23	又音
秘		b	i	1		p	i	23	又音
彼		b	i	2		p	i	35	又音
比		b	i	2		p	i	35	被動，又音
妣		b	i	2		p	i	35	又音
畀		b	i	2		p	i	35	又音
陂		b	i	5		p	i	21	又音
避		b	i	6		p	i	31	又音
被		b	i	6		p	i	31	又音
鼻		b	i	6		p	i	31	又音
備		b	i	6		p	i	31	又音
憊		b	i	6		p	i	31	又音
啤		b	iaa	1		p	ia	23	
柄		b	iaang	1		p	iaŋ	23	
餅		b	iaang	2		p	iaŋ	35	
病		b	iaang	6		p	iaŋ	31	
包		b	iaau	1		p	iau	23	
苞		b	iaau	1		p	iau	23	
胞		b	iaau	1		p	iau	23	
爆		b	iaau	1		p	iau	23	
孢		b	iaau	1		p	iau	23	
標		b	iaau	1		p	iau	23	
飆		b	iaau	1		p	iau	23	
鑣		b	iaau	1		p	iau	23	
彪		b	iaau	1		p	iau	23	
錶		b	iaau	1		p	iau	23	
飽		b	iaau	2		p	iau	35	
鮑		b	iaau	2		p	iau	35	鮑魚
表		b	iaau	2		p	iau	35	
錶		b	iaau	2		p	iau	35	
鮑		b	iaau	6		p	iau	31	鮑魚之肆
卑		b	ie	1		p	iɛ	23	又音
臂		b	ie	1		p	iɛ	23	又音
碑		b	ie	1		p	iɛ	23	又音
庇		b	ie	1		p	iɛ	23	比較，又音
悲		b	ie	1		p	iɛ	23	又音
泌		b	ie	1		p	iɛ	23	又音
祕		b	ie	1		p	iɛ	23	又音
痺		b	ie	1		p	iɛ	23	又音
秘		b	ie	1		p	iɛ	23	又音
彼		b	ie	2		p	iɛ	35	又音
比		b	ie	2		p	iɛ	35	被動，又音
妣		b	ie	2		p	iɛ	35	又音
畀		b	ie	2		p	iɛ	35	又音
陂		b	ie	5		p	iɛ	21	又音
避		b	ie	6		p	iɛ	31	又音
被		b	ie	6		p	iɛ	31	又音
鼻		b	ie	6		p	iɛ	31	又音
備		b	ie	6		p	iɛ	31	又音
憊		b	ie	6		p	iɛ	31	又音
壁		b	ik	7B		p	ɪk	23	
璧		b	ik	7B		p	ɪk	23	
碧		b	ik	7B		p	ɪk	23	
逼		b	ik	7B		p	ɪk	23	
迫		b	ik	7B		p	ɪk	23	
邊		b	in	1		p	in	23	
辮		b	in	1		p	in	23	
鞭		b	in	1		p	in	23	
變		b	in	1		p	in	23	
扁		b	in	2		p	in	35	扁平
匾		b	in	2		p	in	35	
貶		b	in	2		p	in	35	
邊		b	in	4		p	in	22	邊址
便		b	in	6		p	in	31	便利
汴		b	in	6		p	in	31	
辨		b	in	6		p	in	31	
辯		b	in	6		p	in	31	
兵		b	ing	1		p	ɪŋ	23	
冰		b	ing	1		p	ɪŋ	23	
乒		b	ing	1		p	ɪŋ	23	
柄		b	ing	2		p	ɪŋ	35	
丙		b	ing	2		p	ɪŋ	35	
秉		b	ing	2		p	ɪŋ	35	
炳		b	ing	2		p	ɪŋ	35	
摒		b	ing	2		p	ɪŋ	35	
屏		b	ing	2		p	ɪŋ	35	屏除
並		b	ing	6		p	ɪŋ	31	
并		b	ing	6		p	ɪŋ	31	
迸		b	ing	6		p	ɪŋ	31	
癟		b	it	8		p	it	31	
別		b	it	8		p	it	31	
必		b	it	7A		p	it	35	
彆		b	it	7B		p	it	23	
波		b	o	1		p	ɔ	23	
播		b	o	1		p	ɔ	23	
簸		b	o	1		p	ɔ	23	
玻		b	o	1		p	ɔ	23	
坡		b	o	1		p	ɔ	23	
菠		b	o	1		p	ɔ	23	
菠		b	o	2		p	ɔ	35	
閉		b	oi	1		p	ɔi	23	
陛		b	oi	1		p	ɔi	23	
蔽		b	oi	1		p	ɔi	23	
跛		b	oi	2		p	ɔi	35	跛腳
敝		b	oi	6		p	ɔi	31	
弊		b	oi	6		p	ɔi	31	
幣		b	oi	6		p	ɔi	31	
斃		b	oi	6		p	ɔi	31	
雹		b	ok	8		p	ɔk	31	
薄		b	ok	8		p	ɔk	31	
箔		b	ok	8		p	ɔk	31	
礴		b	ok	8		p	ɔk	31	
泊		b	ok	8		p	ɔk	31	
魄		b	ok	8		p	ɔk	31	旁魄
博		b	ok	7A		p	ɔk	35	
卜		b	ok	7A		p	ɔk	35	
搏		b	ok	7B		p	ɔk	23	
駁		b	ok	7B		p	ɔk	23	
博		b	ok	7B		p	ɔk	23	
膊		b	ok	7B		p	ɔk	23	
縛		b	ok	7B		p	ɔk	23	
邦		b	ong	1		p	ɔŋ	23	
幫		b	ong	1		p	ɔŋ	23	
榜		b	ong	2		p	ɔŋ	35	
綁		b	ong	2		p	ɔŋ	35	
膀		b	ong	2		p	ɔŋ	35	肩膀
傍		b	ong	6		p	ɔŋ	31	依山傍水
傍		b	ong	6		p	ɔŋ	31	傍晚
磅		b	ong	6		p	ɔŋ	31	一磅
布		b	ou	1		p	ou	23	
佈		b	ou	1		p	ou	23	
怖		b	ou	1		p	ou	23	
埔		b	ou	1		p	ou	23	
補		b	ou	2		p	ou	35	
捕		b	ou	6		p	ou	31	
哺		b	ou	6		p	ou	31	
步		b	ou	6		p	ou	31	
部		b	ou	6		p	ou	31	
簿		b	ou	6		p	ou	31	
埠		b	ou	6		p	ou	31	埠頭
布		b	u	1		p	u	23	又音
佈		b	u	1		p	u	23	又音
怖		b	u	1		p	u	23	又音
埔		b	u	1		p	u	23	又音
補		b	u	2		p	u	35	又音
捕		b	u	6		p	u	31	又音
哺		b	u	6		p	u	31	又音
步		b	u	6		p	u	31	又音
部		b	u	6		p	u	31	又音
簿		b	u	6		p	u	31	又音
焙		b	ui	6		p	ui	31	
蹼		b	uk	8		p	ʊk	31	
暴		b	uk	8		p	ʊk	31	一暴十寒
僕		b	uk	8		p	ʊk	31	
瀑		b	uk	8		p	ʊk	31	
曝		b	uk	8		p	ʊk	31	
仆		b	uk	8		p	ʊk	31	
卜		b	uk	7A		p	ʊk	35	
布		b	uo	1		p	uɔ	23	又音
佈		b	uo	1		p	uɔ	23	又音
怖		b	uo	1		p	uɔ	23	又音
埔		b	uo	1		p	uɔ	23	又音
補		b	uo	2		p	uɔ	35	又音
捕		b	uo	6		p	uɔ	31	又音
哺		b	uo	6		p	uɔ	31	又音
步		b	uo	6		p	uɔ	31	又音
部		b	uo	6		p	uɔ	31	又音
簿		b	uo	6		p	uɔ	31	又音
貝		b	waai	1		p	uai	23	
狽		b	waai	1		p	uai	23	
杯		b	waai	1		p	uai	23	
盃		b	waai	1		p	uai	23	
背		b	waai	1		p	uai	23	背後
輩		b	waai	1		p	uai	23	
悖		b	waai	1		p	uai	23	
背		b	waai	6		p	uai	31	背書
悖		b	waai	6		p	uai	31	
般		b	waan	1		p	uan	23	
半		b	waan	1		p	uan	23	
搬		b	waan	1		p	uan	23	
本		b	waan	2		p	uan	35	
畚		b	waan	2		p	uan	35	
絆		b	waan	6		p	uan	31	
叛		b	waan	6		p	uan	31	
畔		b	waan	6		p	uan	31	
伴		b	waan	6		p	uan	31	
拌		b	waan	6		p	uan	31	
胖		b	waan	6		p	uan	31	肥胖
肨		b	waan	6		p	uan	31	
撥		b	waat	8		p	uat	31	
勃		b	waat	8		p	uat	31	
脖		b	waat	8		p	uat	31	
渤		b	waat	8		p	uat	31	
缽		b	waat	8		p	uat	31	
砵		b	waat	8		p	uat	31	
鉢		b	waat	8		p	uat	31	
缽		b	waat	8		p	uat	31	
詫		c	aa	1		ʦʰ	a	23	
奼		c	aa	1		ʦʰ	a	23	
差		c	aa	1		ʦʰ	a	23	差別
叉		c	aa	1		ʦʰ	a	23	
岔		c	aa	1		ʦʰ	a	23	
茶		c	aa	4		ʦʰ	a	22	
查		c	aa	4		ʦʰ	a	22	檢查
槎		c	aa	4		ʦʰ	a	22	
差		c	aai	1		ʦʰ	ai	23	出差
踩		c	aai	2		ʦʰ	ai	35	
柴		c	aai	4		ʦʰ	ai	22	
吒		c	aak	7A		ʦʰ	ak	35	叱吒
柵		c	aak	7B		ʦʰ	ak	23	木柵
測		c	aak	7B		ʦʰ	ak	23	
惻		c	aak	7B		ʦʰ	ak	23	
坼		c	aak	7B		ʦʰ	ak	23	
冊		c	aak	7B		ʦʰ	ak	23	
策		c	aak	7B		ʦʰ	ak	23	
拆		c	aak	7B		ʦʰ	ak	23	
攙		c	aam	1		ʦʰ	am	23	參加
摻		c	aam	1		ʦʰ	am	23	
杉		c	aam	1		ʦʰ	am	23	
饞		c	aam	4		ʦʰ	am	22	
巉		c	aam	4		ʦʰ	am	22	
鏟		c	aan	2		ʦʰ	an	35	
產		c	aan	2		ʦʰ	an	35	
剷		c	aan	2		ʦʰ	an	35	
瞠		c	aang	1		ʦʰ	aŋ	23	
鐺		c	aang	1		ʦʰ	aŋ	23	瓦鐺
撐		c	aang	1		ʦʰ	aŋ	23	
鎗		c	aang	1		ʦʰ	aŋ	23	
鋥		c	aang	1		ʦʰ	aŋ	23	
牚		c	aang	1		ʦʰ	aŋ	23	
鐺		c	aang	4		ʦʰ	aŋ	22	
橙		c	aang	4		ʦʰ	aŋ	22	
插		c	aap	7B		ʦʰ	ap	23	
刷		c	aat	9		ʦʰ	at	21	
察		c	aat	7B		ʦʰ	at	23	
刷		c	aat	7B		ʦʰ	at	23	
獺		c	aat	7B		ʦʰ	at	23	
擦		c	aat	7B		ʦʰ	at	23	
抄		c	aau	1		ʦʰ	au	23	
吵		c	aau	2		ʦʰ	au	35	
抄		c	aau	2		ʦʰ	au	35	
鈔		c	aau	2		ʦʰ	au	35	
炒		c	aau	2		ʦʰ	au	35	
巢		c	aau	4		ʦʰ	au	22	
參		c	am	1		ʦʰ	ɐm	23	參差
沉		c	am	4		ʦʰ	ɐm	22	
春		c	an	1		ʦʰ	ɐn	23	
鶉		c	an	1		ʦʰ	ɐn	23	鵪鶉
瞋		c	an	1		ʦʰ	ɐn	23	
趁		c	an	1		ʦʰ	ɐn	23	
襯		c	an	1		ʦʰ	ɐn	23	
蠢		c	an	2		ʦʰ	ɐn	35	
疹		c	an	2		ʦʰ	ɐn	35	
診		c	an	2		ʦʰ	ɐn	35	
陳		c	an	4		ʦʰ	ɐn	22	
塵		c	an	4		ʦʰ	ɐn	22	
出		c	at	7A		ʦʰ	ɐt	35	
齣		c	at	7A		ʦʰ	ɐt	35	
糗		c	au	1		ʦʰ	ɐu	23	
抽		c	au	1		ʦʰ	ɐu	23	
臭		c	au	1		ʦʰ	ɐu	23	
嗅		c	au	1		ʦʰ	ɐu	23	
丑		c	au	2		ʦʰ	ɐu	35	
醜		c	au	2		ʦʰ	ɐu	35	
稠		c	au	4		ʦʰ	ɐu	22	
疇		c	au	4		ʦʰ	ɐu	22	
籌		c	au	4		ʦʰ	ɐu	22	
躊		c	au	4		ʦʰ	ɐu	22	
惆		c	au	4		ʦʰ	ɐu	22	
酬		c	au	4		ʦʰ	ɐu	22	
綢		c	au	4		ʦʰ	ɐu	22	
痴		c	i	1		ʦʰ	i	23	
嗤		c	i	1		ʦʰ	i	23	
熾		c	i	1		ʦʰ	i	23	
恃		c	i	1		ʦʰ	i	23	
幟		c	i	1		ʦʰ	i	23	
廁		c	i	1		ʦʰ	i	23	
翅		c	i	1		ʦʰ	i	23	
差		c	i	1		ʦʰ	i	23	參差
儲		c	i	1		ʦʰ	i	23	
佇		c	i	1		ʦʰ	i	23	
杼		c	i	1		ʦʰ	i	23	
貯		c	i	1		ʦʰ	i	23	
處		c	i	1		ʦʰ	i	23	
杵		c	i	1		ʦʰ	i	23	
柱		c	i	1		ʦʰ	i	23	
恥		c	i	2		ʦʰ	i	35	
齒		c	i	2		ʦʰ	i	35	
始		c	i	2		ʦʰ	i	35	
侈		c	i	2		ʦʰ	i	35	
矢		c	i	2		ʦʰ	i	35	
扯		c	i	2		ʦʰ	i	35	
柿		c	i	2		ʦʰ	i	35	
持		c	i	4		ʦʰ	i	22	
弛		c	i	4		ʦʰ	i	22	
池		c	i	4		ʦʰ	i	22	
馳		c	i	4		ʦʰ	i	22	
遲		c	i	4		ʦʰ	i	22	
躇		c	i	4		ʦʰ	i	22	
廚		c	i	4		ʦʰ	i	22	
磁		c	i	4		ʦʰ	i	22	
茲		c	i	4		ʦʰ	i	22	龜茲，國名
匙		c	i	4		ʦʰ	i	22	茶匙，湯匙，一本作“瓷”
署		c	i	5		ʦʰ	i	21	
櫥		c	i	5		ʦʰ	i	21	
車		c	iaa	1		ʦʰ	ia	23	汽車
奢		c	iaa	1		ʦʰ	ia	23	
扯		c	iaa	2		ʦʰ	ia	35	
斜		c	iaa	4		ʦʰ	ia	22	
赤		c	iaak	7A		ʦʰ	iak	35	又音
尺		c	iaak	7B		ʦʰ	iak	23	
赤		c	iaak	7B		ʦʰ	iak	23	
綽		c	iaak	7B		ʦʰ	iak	23	
桌		c	iaak	7B		ʦʰ	iak	23	
卓		c	iaak	7B		ʦʰ	iak	23	
諂		c	iaam	2		ʦʰ	iam	35	
悵		c	iaang	1		ʦʰ	iaŋ	23	
暢		c	iaang	1		ʦʰ	iaŋ	23	
昌		c	iaang	1		ʦʰ	iaŋ	23	
菖		c	iaang	1		ʦʰ	iaŋ	23	
猖		c	iaang	1		ʦʰ	iaŋ	23	
倡		c	iaang	1		ʦʰ	iaŋ	23	
唱		c	iaang	1		ʦʰ	iaŋ	23	
鎗		c	iaang	1		ʦʰ	iaŋ	23	
嗆		c	iaang	1		ʦʰ	iaŋ	23	
搶		c	iaang	2		ʦʰ	iaŋ	35	
長		c	iaang	4		ʦʰ	iaŋ	22	長久
場		c	iaang	4		ʦʰ	iaŋ	22	
腸		c	iaang	4		ʦʰ	iaŋ	22	
戕		c	iaang	4		ʦʰ	iaŋ	22	
超		c	iaau	1		ʦʰ	iau	23	
昭		c	iaau	1		ʦʰ	iau	23	
鞘		c	iaau	1		ʦʰ	iau	23	
晁		c	iaau	4		ʦʰ	iau	22	
朝		c	iaau	4		ʦʰ	iau	22	朝廷
潮		c	iaau	4		ʦʰ	iau	22	
瞧		c	iaau	4		ʦʰ	iau	22	
赤		c	ik	7A		ʦʰ	ɪk	35	赤小豆
斥		c	ik	7A		ʦʰ	ɪk	35	
敕		c	ik	7A		ʦʰ	ɪk	35	
叱		c	ik	7A		ʦʰ	ɪk	35	叱石，地名
串		c	in	1		ʦʰ	in	23	
揣		c	in	2		ʦʰ	in	35	
纏		c	in	4		ʦʰ	in	22	
稱		c	ing	1		ʦʰ	ɪŋ	23	稱呼
秤		c	ing	1		ʦʰ	ɪŋ	23	地秤
逞		c	ing	2		ʦʰ	ɪŋ	35	
騁		c	ing	2		ʦʰ	ɪŋ	35	
拯		c	ing	2		ʦʰ	ɪŋ	35	
呈		c	ing	4		ʦʰ	ɪŋ	22	
程		c	ing	4		ʦʰ	ɪŋ	22	
懲		c	ing	4		ʦʰ	ɪŋ	22	
澄		c	ing	4		ʦʰ	ɪŋ	22	
埕		c	ing	4		ʦʰ	ɪŋ	22	
秤		c	ing	5		ʦʰ	ɪŋ	21	
設		c	it	7B		ʦʰ	it	23	
撤		c	it	7B		ʦʰ	it	23	
徹		c	it	7B		ʦʰ	it	23	
澈		c	it	7B		ʦʰ	it	23	
轍		c	it	7B		ʦʰ	it	23	
初		c	o	1		ʦʰ	ɔ	23	
雛		c	o	1		ʦʰ	ɔ	23	
楚		c	o	2		ʦʰ	ɔ	35	
礎		c	o	2		ʦʰ	ɔ	35	
鋤		c	o	4		ʦʰ	ɔ	22	
睬		c	oi	2		ʦʰ	ɔi	35	
綽		c	ok	7B		ʦʰ	ɔk	23	
戳		c	ok	7B		ʦʰ	ɔk	23	
瘡		c	ong	1		ʦʰ	ɔŋ	23	
創		c	ong	1		ʦʰ	ɔŋ	23	
愴		c	ong	1		ʦʰ	ɔŋ	23	
艙		c	ong	1		ʦʰ	ɔŋ	23	
窗		c	ong	1		ʦʰ	ɔŋ	23	
闖		c	ong	2		ʦʰ	ɔŋ	35	
敞		c	ong	2		ʦʰ	ɔŋ	35	
廠		c	ong	2		ʦʰ	ɔŋ	35	
床		c	ong	4		ʦʰ	ɔŋ	22	
詳		c	ong	4		ʦʰ	ɔŋ	22	
幢		c	ong	4		ʦʰ	ɔŋ	22	幡幢
吹		c	ui	1		ʦʰ	ui	23	
炊		c	ui	1		ʦʰ	ui	23	
衰		c	ui	1		ʦʰ	ui	23	齊衰
覷		c	ui	1		ʦʰ	ui	23	
處		c	ui	2		ʦʰ	ui	35	處理
錘		c	ui	4		ʦʰ	ui	22	鐵錘
槌		c	ui	4		ʦʰ	ui	22	
鎚		c	ui	4		ʦʰ	ui	22	
椎		c	ui	4		ʦʰ	ui	22	鐵椎
除		c	ui	4		ʦʰ	ui	22	
蜍		c	ui	4		ʦʰ	ui	22	
廚		c	ui	4		ʦʰ	ui	22	
搥		c	ui	4		ʦʰ	ui	22	
櫥		c	ui	4		ʦʰ	ui	22	
處		c	ui	5		ʦʰ	ui	21	四處
矗		c	uk	7A		ʦʰ	ʊk	35	
束		c	uk	7A		ʦʰ	ʊk	35	
畜		c	uk	7A		ʦʰ	ʊk	35	
齪		c	uk	7A		ʦʰ	ʊk	35	
沖		c	ung	1		ʦʰ	ʊŋ	23	
衷		c	ung	1		ʦʰ	ʊŋ	23	
忡		c	ung	1		ʦʰ	ʊŋ	23	
充		c	ung	1		ʦʰ	ʊŋ	23	
銃		c	ung	1		ʦʰ	ʊŋ	23	
重		c	ung	1		ʦʰ	ʊŋ	23	重量重
匆		c	ung	1		ʦʰ	ʊŋ	23	
冢		c	ung	2		ʦʰ	ʊŋ	35	
塚		c	ung	2		ʦʰ	ʊŋ	35	
寵		c	ung	2		ʦʰ	ʊŋ	35	
衝		c	ung	2		ʦʰ	ʊŋ	35	
憧		c	ung	2		ʦʰ	ʊŋ	35	
蟲		c	ung	4		ʦʰ	ʊŋ	22	
重		c	ung	4		ʦʰ	ʊŋ	22	重新
川		c	waan	1		ʦʰ	uan	23	
穿		c	waan	1		ʦʰ	uan	23	
舛		c	waan	2		ʦʰ	uan	35	
喘		c	waan	2		ʦʰ	uan	35	
湍		c	waan	2		ʦʰ	uan	35	
傳		c	waan	4		ʦʰ	uan	22	傳播
仔		d	aai	2		t	ai	35	豬仔
則		d	aak	7A		t	ak	35	
暫		d	aam	6		t	am	31	
贊		d	aan	1		t	an	23	
讚		d	aan	1		t	an	23	
曾		d	aang	1		t	aŋ	23	曾孫
增		d	aang	1		t	aŋ	23	
憎		d	aang	1		t	aŋ	23	
習		d	aap	8		t	ap	31	
襲		d	aap	8		t	ap	31	
集		d	aap	8		t	ap	31	
雜		d	aap	8		t	ap	31	
遭		d	aau	1		t	au	23	
糟		d	aau	1		t	au	23	
灶		d	aau	1		t	au	23	
早		d	aau	2		t	au	35	
蚤		d	aau	2		t	au	35	
棗		d	aau	2		t	au	35	
藻		d	aau	2		t	au	35	
造		d	aau	6		t	au	31	製造
皂		d	aau	6		t	au	31	
浸		d	am	1		t	ɐm	23	
俊		d	an	1		t	ɐn	23	
駿		d	an	1		t	ɐn	23	
津		d	an	1		t	ɐn	23	
晉		d	an	1		t	ɐn	23	
進		d	an	1		t	ɐn	23	
竣		d	an	1		t	ɐn	23	
峻		d	an	1		t	ɐn	23	
尊		d	an	1		t	ɐn	23	
鱒		d	an	1		t	ɐn	23	
盡		d	an	6		t	ɐn	31	
什		d	ap	8		d	ap	31	什錦
嫉		d	at	8		t	ɐt	31	
疾		d	at	8		t	ɐt	31	
卒		d	at	7A		t	ɐt	35	士卒
猝		d	at	7A		t	ɐt	35	
啾		d	au	1		t	ɐu	23	
酒		d	au	2		t	ɐu	35	
袖		d	au	6		t	ɐu	31	
就		d	au	6		t	ɐu	31	
鷲		d	au	6		t	ɐu	31	
姊		d	ei	2		t	ei	35	姐姐，白讀
孜		d	i	1		t	i	23	
滋		d	i	1		t	i	23	
姿		d	i	1		t	i	23	
資		d	i	1		t	i	23	
諮		d	i	1		t	i	23	
恣		d	i	1		t	i	23	恣意
漬		d	i	1		t	i	23	
茲		d	i	1		t	i	23	在茲
仔		d	i	2		t	i	35	仔細
子		d	i	2		t	i	35	
梓		d	i	2		t	i	35	
紫		d	i	2		t	i	35	
姊		d	i	2		t	i	35	
籽		d	i	2		t	i	35	
寺		d	i	6		t	i	31	
嗣		d	i	6		t	i	31	
飼		d	i	6		t	i	31	
巳		d	i	6		t	i	31	
祀		d	i	6		t	i	31	
耜		d	i	6		t	i	31	
伺		d	i	6		t	i	31	窺伺
字		d	i	6		t	i	31	
自		d	i	6		t	i	31	
借		d	iaa	1		t	ia	23	
姐		d	iaa	2		t	ia	35	
榭		d	iaa	6		t	ia	31	
謝		d	iaa	6		t	ia	31	
蓆		d	iaak	8		t	iak	31	涼蓆
席		d	iaak	8		t	iak	31	涼席
蓆		d	iaak	9		t	iak	21	又音
席		d	iaak	9		t	iak	21	又音
雀		d	iaak	9		t	iak	21	
爵		d	iaak	7A		t	iak	35	
雀		d	iaak	7A		t	iak	35	
脊		d	iaak	7B		t	iak	23	
瘠		d	iaak	7B		t	iak	23	
雀		d	iaak	7B		t	iak	23	
鵲		d	iaak	7B		t	iak	23	
嚼		d	iaak	7B		t	iak	23	
尖		d	iaam	1		t	iam	23	
漸		d	iaam	1		t	iam	23	漸車帷裳
漸		d	iaam	6		t	iam	31	逐漸
精		d	iaang	1		t	iaŋ	23	好精，白讀
將		d	iaang	1		t	iaŋ	23	將來
漿		d	iaang	1		t	iaŋ	23	
醬		d	iaang	1		t	iaŋ	23	
井		d	iaang	2		t	iaŋ	35	
蔣		d	iaang	2		t	iaŋ	35	
槳		d	iaang	2		t	iaŋ	35	
獎		d	iaang	2		t	iaŋ	35	
淨		d	iaang	6		t	iaŋ	31	乾淨，白讀
阱		d	iaang	6		t	iaŋ	31	陷阱，白讀
象		d	iaang	6		t	iaŋ	31	
像		d	iaang	6		t	iaŋ	31	
橡		d	iaang	6		t	iaŋ	31	
匠		d	iaang	6		t	iaŋ	31	
浹		d	iaap	7B		t	iap	23	
褶		d	iaap	7B		t	iap	23	皺褶
接		d	iaap	7B		t	iap	23	
椒		d	iaau	1		t	iau	23	
焦		d	iaau	1		t	iau	23	
蕉		d	iaau	1		t	iau	23	
席		d	ik	8		t	ɪk	31	席位
夕		d	ik	8		t	ɪk	31	
汐		d	ik	8		t	ɪk	31	
蓆		d	ik	8		t	ɪk	31	
寂		d	ik	8		t	ɪk	31	
藉		d	ik	8		t	ɪk	31	
籍		d	ik	8		t	ɪk	31	
績		d	ik	7A		t	ɪk	35	
跡		d	ik	7A		t	ɪk	35	
蹟		d	ik	7A		t	ɪk	35	
積		d	ik	7A		t	ɪk	35	
唧		d	ik	7A		t	ɪk	35	
即		d	ik	7A		t	ɪk	35	
即		d	ik	7B		t	ɪk	23	又音
墊		d	in	1		t	in	23	白讀
箋		d	in	1		t	in	23	
濺		d	in	1		t	in	23	濺濺
薦		d	in	1		t	in	23	
煎		d	in	1		t	in	23	
箭		d	in	1		t	in	23	
遵		d	in	1		t	in	23	
荐		d	in	1		t	in	23	
餞		d	in	1		t	in	23	
剪		d	in	2		t	in	35	
翦		d	in	2		t	in	35	
濺		d	in	6		t	in	31	飛濺
賤		d	in	6		t	in	31	
菁		d	ing	1		t	ɪŋ	23	
晶		d	ing	1		t	ɪŋ	23	
睛		d	ing	1		t	ɪŋ	23	
精		d	ing	1		t	ɪŋ	23	
淨		d	ing	6		t	ɪŋ	31	
阱		d	ing	6		t	ɪŋ	31	
靖		d	ing	6		t	ɪŋ	31	
靜		d	ing	6		t	ɪŋ	31	
絕		d	it	8		t	it	31	
睫		d	it	8		t	it	31	
截		d	it	8		t	it	31	
捷		d	it	8		t	it	31	
節		d	it	7A		t	it	35	
