例字	中古音	電白龍山	羅定	雷州	吳川蘭石	說明：蘭石東話 陰平 33 家多初開 陽平 22 牙河圖魚 陰上 31 左把假女 陽上 42 午謝異硬 陰去 44 化廢放布 陰入 5 發括得績 陽入 2 活越賊局 升降調 453 之爸血百				
布	遇合一去暮幫	pɛu44	pou31	pɛu21	ɓɛu44/ɓu44					
菩	遇合一平模並	pɔ22	pʰu24	pʰu22	pʰɔ22					
鋪	遇合一平模滂	pɛu33	pʰou45	pʰɛu24/pʰɛu21（店~)	pʰy33					
部	遇合一上姥並	pu42	pou443	pɛu453/pu453（文）	pʰɛu42/ɓu42					
簿賬～	遇合一上姥並	pɛu42	pou443	pʰɛu33/pu453（文）	pʰɛu42					
步	遇合一去暮並	pu42	pou443	pɛu24/pu453（文）	ɓɛu33/ɓu42					
墓	遇合一去暮明	mɛu33	ɓou443	mɛu24	mɛu33					
都	遇合一平模端	tɛu33	tu45	tɛu24/tu24（文）	ɗɛ u33/ɗu33					
賭	遇合一上姥端	tu31	tou451	tu41	du31					
肚豬～	遇合一上姥端	tɛu31	tou443	tɛu41	ɗɛ u31					
土	遇合一上姥透	tʰɛu22（訓“塗”）	tʰou451	tʰɛu22（訓“塗”）/tʰu41	tʰɛu31					
兔	遇合一去暮透	tʰɛu44	tʰu451	tʰɛu21	tʰɛu44					
塗	遇合一平模定	tʰɛu22／tʰu22	tʰou24	tʰɛu22/tʰu22	tʰu22					
圖	遇合一平模定	tʰu22	——	tʰu22	tʰu22					
杜	遇合一上姥定	tu42	tou443	tʰu453	ɗu42					
肚腸～	遇合一上姥定	tɛu31	tou443	teu41	ɗɛu42					
度	遇合一去暮定	tɔk2	kue31	tu33/tok22	ɗu42					
爐	遇合一平模平	lɛu22	lou24	lɛu22	lɛu22					
奴	遇合一平模泥	nɛu22	nou24	nɛu22	——					
鹵	遇合一上姥來	——	iap5（訓）	lɛu33	——					
路	遇合一去暮來	lɛu33	lou443	lɛu24/lu453（文）	lɛu33					
露	遇合一去暮來	lɛu44	lou443	lɛu24	lɛu22					
租	遇合一平模精	tsɛu33	tsou45	tsɛu24/tsu453（文）	tsɛu33					
祖	遇合一上姥精	tsɛu31	tsu451	tsɛu41	tsɛu31					
做	遇合一去暮清	tsɔ53	tso31	tso453/tsok5（又）	tɔ453					
粗	遇合一平模清	tsʰɛu33	tsʰou45	tsʰɛu24	sɛu33/su33					
醋	遇合一去暮清	tsʰɛu44	tsʰu31	tsʰɛu21/tsʰu453（文）	sɛu44					
錯	遇合一去暮清	tsʰɔ44	tsʰo31	tsʰo21/tsʰu453（文）	sɔ44					
厝	遇開一去暮清	tsʰu44	tsʰu31	tsu21	sy44					
蘇	遇合一平模心	ɬu33	sou45	sɛu24/su24（文）	ɬu33					
姑	遇合一平模見	ku33（文）/kɛu33	kou45	kɛu24	kɛu33/ku453					
箍	遇合一平模見	kʰɛu33	kʰou45	kʰɛu24/ku24（文）	kʰu33					
鼓	遇合一上姥見	ku31	kou451	kɛu41	kɛu31					
枯	遇合一平模溪	ɬem53（訓）	ɓau451（訓）	kʰu24	kʰu453					
苦	遇合一上姥溪	kʰɛu31	kou451	kʰɛu41	kʰɛu31/fu31					
褲	遇合一去墓溪	kʰɛu44	kʰou31	kʰɛu21	kʰɛu44					
吳	遇合一平模疑	kɛu22	ŋou24	ŋɛu22	kʰɛu22					
五	遇合一上姥疑	ŋɛu42	ŋou443	ŋɛu41/ŋɛu33	ŋɛu42					
虎	遇合一上姥曉	hɛu31	hou451	hɛu41	hɛu31					
胡	遇合一平模匣	hu22	ou24	heu22/hu22（文）	fu22					
戶	遇合一上姥匣	hɛu42	ou24	hɛu33	hɛu42					
烏	遇開一平模影	ɛu33/u33	ou45	ɛu24	ɛu33					
汝	遇合三上語日	lu31		lu41						
女	遇合三上語泥	ni31	ly451	ni41	ni31					
廬	遇合三平魚來	lɛu22	lou24	lɛu22	lu22					
呂	遇合三上語來	li31	ly451	lu41	ly31/loi31					
慮	遇合三去禦來	li42	ly443	li41/li453	ly42					
徐	遇合三平魚邪	tsʰu22	ti24	tsʰi22/ tsʰa22	sy22					
豬	遇合三平魚知	tu33	ti45	tu24	ɗy33					
除	遇合三平魚澄	tsʰu22	ti24	tu22/tsʰi22（文）	sy22					
阻	遇合三去語莊	tsɔ31	tso451	tso41	tɔ31					
箸	遇合三去禦澄	tu33	ti443	tu24	ɗy33					
初	遇合三平魚初	tsʰɔ33	tsʰei45	tsʰo24	sɔ33/sɛi33					
鋤	遇合三平魚崇	——	tsʰo31	tʰu22	tʰu22					
助	遇合三去禦崇	tsɔ42	tso443	tsu33	tɔ42					
梳	遇合三平魚生	ɬɔi33	sɐi45	soi24	ɬɛi33					
煮	遇合三上語章	tsu31	tsi451	tsu41	tsy31					
書	遇合三平魚書	tsu33	tsie451	tsu24/si24（文）	tsy33					
鼠	遇合三上語書	tsʰu31	tsʰi451	tsʰu41/si41（文）	sy31					
薯	遇合三去禦禪	——	sy451	tsu22/si22	tsy22					
車～馬炮	遇合三平魚見	ku33	ky45	ku24	ky33					
鋸	遇合三去禦見	ku44	ku31	ku21	ky44					
去	遇合三去禦溪	kʰu44	kʰi31	kʰu21	kʰy44/kʰu44					
魚	遇合三平魚疑	hu22	hi24	hu22（白）/ji22（文）	hy22					
語	遇合三上語疑	ji31	ny451	ŋi41	ȵy31					
墟	遇合三平魚溪	hu33	hi45	hi24/tsʰi33（訓“市”）	hy33					
虛	遇合三平魚曉	hi33	hy45	hi24	hy33					
許	遇合三上語曉	hi31	kʰi451	kʰɛu41（白）/hi41（文）/hu41（又，“那”）	hy31					
餘	遇合三平魚以	ji22	——	ji22	jy22					
無	遇合三平虞明	ɓɔ22	ɓo24	bo22	ɓɔ22					
夫	遇合三平虞非	hu33	hou45	hu24	fu33/hu33					
斧	遇合三上虞非	pɛu31	pʰu451	pɛu41	ɓɛu31					
符	遇合三平虞奉	hu22	hu22	peu22/hu22（文）	ɓɛu22/fu22					
扶	遇合三平虞奉	hu31	hua443	kʰaŋ24（訓“牽”）/hu22	fu22					
輔	遇合三上虞奉	hu42	hu443	hu41	fu31					
舞	遇合三上虞微	mu31	ɓu451	mɛu41/bu41（文）	mɛu42/mu31					
霧	遇合三去遇微	ɓɛu22	ɓu443	bɛu21/mɛu21	mɛu33					
娶	遇合三上虞清	tɔ31	lo451	hɛ24（訓）/tsʰi41	——					
須胡～	遇合三平虞心	tsʰiu33	tsʰiu45	tsʰiu24	siu33					
蛛	遇合三平虞知	——	——	tsu24	——					
廚	遇合三平虞澄	tu22	tou22	tu22	ɗy22					
柱	遇合三上麌澄	tʰiau42	kʰiau443	tʰiau33/tsʰi24（文）	kʰiau42					
住	遇合三去遇澄	tiu33	he451	kʰia33（訓“徛”）/tʰiu24/tsi41（文）	ɗiu33					
企				kʰia33						
數	遇合三去遇生	ɬiau44	siau31	siau21/su453（文）	ɬiau44					
朱	遇合三平虞章	tsu33	ti45	tsu24	tsy33					
主	遇合三上麌章	tsu31	tsou451	tsu41/tsi41	tsy31					
注	遇合三去遇章	tsu44	tsy31	tsu21	tsy44					
輸	遇合三平虞書	ɬu33	su45	si24/su24	ɬy33					
豎	遇合三上麌禪	tik2（訓“直”）	toŋ443（訓）	su33	kia42（訓）					
戍	遇合三去遇書	——	——	su33	ɬy44					
樹	遇合三去遇禪	tsʰiu33	tsʰiu443	tsʰiu24/si453（文）	siu33					
句	遇合三去遇見	ku44	ky31	ku21	jy44					
區	遇合三平虞溪	kʰi33	kʰy45	kʰi24/au24（姓）	kʰy33					
具	遇合三去遇群	ki42	ky443	ki33	ky42					
雨	遇合三去遇雲	hɛu42	hou443	hɛu33/ji453（文）	hɛu42					
芋	遇合三去遇雲	ɛu33	ou443	ɛu24	ɛu33					
戴	蟹開一去代端	ti44	tua31（訓“帶”）	tai21/ti21	ɗi44/ɗai44					
臺	蟹開一平咍定	tʰai22	to31	tʰai22	tʰɔi22					
待	蟹開一上海定	tai42	tai443	tai33	ɗai42					
代	蟹開一去代定	tai42	te443	tai33/tai21	ɗɛ 42					
袋	蟹開一去代定	tia33	te443	tɛ24	ɗɛ 33					
來	蟹開一平咍來	lai22	lai24	lai22	lai22					
災	蟹開一平咍精	tsai33	tsai45	tsai24	tɔi33					
再	蟹開一去代精	tsai44	tsai31	tsai453	tai44					
在	蟹開一上海從	tsai42	ti443	tsai33	ɗy42/ɗau31					
鰓	蟹開一平咍心	tsʰi33	soi45	tsʰi24	ɬɔi453					
菜	蟹開一去代清	tsʰai44	tsʰai31	tsʰai21	sai44					
財	蟹開一平咍從	tsai22	tsai24	tsʰai22	tai22					
該	蟹開一平咍見	kai33	kai45	koi24	kɔi33					
改	蟹開一上海見	kɔi31	kai451	koi41	kɔi31					
開	蟹開一平咍溪	kʰui33	kʰui45	kʰui24/ kʰai24（文）	kʰui33					
礙	蟹開一去代疑	ai42	ŋai443	ŋai24	——					
海	蟹開一上海曉	hai31	hai451	hai41	hai31					
哀	蟹開一平臺影	ai33	ai45	ai24	ɛi453					
愛	蟹開一去代影	ai44	kye451	ai21	ai44					
貝	蟹開一去泰幫	pui44	pye31	puɛ21/pui453	ɓoi44					
帶	蟹開一去泰端	tua44	tua31	tua21/tai21	ɗu44					
太	蟹開一去泰透	tʰai44	tʰai31	tʰai21	tsai44					
蔡	蟹開一去泰清	tsʰua44	tsʰai31	tsʰua21/tsʰai21（文）	sai44					
亥	蟹開一平咍見	hai42	——	hai33	hai42					
蓋	蟹開一去泰見	kua44	kua31	ka453/kai453（文）	ku44/ kʰɔi44					
害	蟹開一去泰匣	hai42	hai31	hai453	hai42					
拜	蟹開二去怪幫	pai44	pai31	pai21	ɓai44					
排	蟹開二平皆並	pai22	pai24	pai22	pʰai22					
埋	蟹開二平皆明	mai22	ɐm45	mai22	mai22					
階	蟹開二平皆見	kai33	kai45	kai24	kai33					
界	蟹開二去怪見	kai44	kai31	kai21	kai44					
械	蟹開二去怪匣	hai22	ai24	hai453	hai33					
挨～著	蟹開二平皆影	pɔk2	na45	ŋai21	ɛi33					
捱		——	ŋai443	——	——					
擺	蟹開二上蟹幫	pai31	pai451	pai41	ɓai31					
派	蟹開二去怪滂	pʰai44	pʰai31	pʰai41	pʰai44					
牌	蟹開二平佳並	pai22	pai24	pai22	pʰɛ453					
稗	蟹開二去卦並	——	pɐi31	pʰoi24	ɓɛi44					
買	蟹開二上蟹明	ɓɔi31	ɓei451	boi41	ɓɛi33/pʰɛi33					
賣	蟹開二去卦明	ɓɔi42	ɓei443	boi24	ɓɛi33/pʰɛi33					
奶	蟹開二上蟹泥	ma31	nai451	nai41	nɛn33					
債	蟹開二去卦莊	tsia44	tsai31	tsɛ21	tsɛ44					
篩	蟹開二平佳生	ɬɔi33	tʰai45	tʰai24	tʰai33					
曬	蟹開二去卦生	pʰak2（訓“曝”）	pʰak2（訓“曝”）	pak2（訓“曝”）	pʰak2（訓“曝”）					
街	蟹開二平佳見	kɔi33	kɐi45	koi24	kɛi33					
鞋	蟹開二平佳匣	ɔi22	ai24	oi22	ai22					
蟹	蟹開二上蟹匣	hɔi42	he443	hoi33	hɛi42					
解	蟹開二上蟹匣	ɔi42	ɐi443	oi453						
矮	蟹開二上蟹影	ɔi31	ke31	oi41	ɛi31					
敗	蟹開二去夬並	pai42	pai443	pai21	ɓai42					
斃	蟹開三去祭並	pi42	——	pi453	ɓi42					
例	蟹開三去祭來	lɔi33	——	loi24	lɛi33					
祭	蟹開三去祭精	tsi44	——	tsoi21/tsi453	tɛi44					
滯	蟹開三去祭澄	——	——	niŋ33（訓）	——					
制	蟹開三去祭章	tsɔ i44	tsai31	tsi21	tɛi44					
世	蟹開三去祭書	ɬi44	sai31	si21	ɬi44/ɬɛi44					
藝	蟹開三去祭疑	kai42	ŋɐi443	ŋi453	ŋɛi42					
閉	蟹開四去霽幫	pi44	tsua31	pik5	ɓɛi44					
批	蟹開四平齊滂	pʰɔi33	pʰɐi45	pʰoi24	pʰɛi33					
米	蟹開四上齊明	wi31	ɓi451	bi41/mai453	ɓi31/pʰi31					
低	蟹開四上薺端	tɔi33	ke443（訓“下”）	toi24	ɗɛ i33					
堤	蟹開四平齊端	ti33	——	tʰi22	tʰɛi22					
梯	蟹開四平齊透	tʰui33	tʰui45	tʰoi24	tʰɛi33					
體	蟹開四上薺透	tʰi31	tʰɐi451	tʰi41	tʰɛi31					
替	蟹開四去霽透	tʰɔi44	tʰɐi443	tʰoi21/tiɛk5	tʰɛi44					
題	蟹開四平齊定	tɔi22	tʰɐi24	toi22/tʰi22（文）	ɗɛ i22/tʰɛi22					
提	蟹開四平齊定	tʰi22	tʰɐi22	tʰi22	tʰɛi22					
弟	蟹開四上薺定	ti53	ti443	ti33	ɗi42/ɗi453					
第	蟹開四去霽定	tɔi33	——	toi33	ɗɛ i33					
泥	蟹開四平齊泥	tʰɛu22	tʰou24	ni22	tʰɛu22					
犁	蟹開四平齊來	lɔi22	lai24	loi22/li22（文）	lɛi22					
禮	蟹開四上薺來	lɔi31	lɐi451	loi41/li41（文）	li31/lɛi31					
妻	蟹開四平齊清	mai31	wou451	tsʰi24	——					
齊	蟹開四平齊從	tsɔ i22	tsʰɐi24	tsoi22	tɛi22					
西	蟹開四平齊心	ɬai33	sɐi45	sai24	ɬai33					
洗	蟹開四上薺心	ɬɔi31	sɐi451	soi41	ɬɛi31					
細	蟹開四去霽心	ɬɔi44	sɐi31	si453	ɬɛi44					
系聯～	蟹開四去霽匣	hi44	hai31	hi453	hai42					
雞	蟹開四平齊見	kɔi33	kɐi45	koi24	kɛi33					
杯	蟹合一平灰幫	pui53	pye45	tsiaŋ24	ɓui453					
輩	蟹合一去隊幫	pɔi44	pye31	puɛ21	ɓoi44					
背～脊	蟹合一去隊幫	pɔi44	pye31	pui453	ɓoi44					
配	蟹合一去隊滂	pʰɔi44	pʰye31	pʰuɛ21/pʰui21（文）	pʰoi44					
賠	蟹合一平灰並	pɔi22	pye24	pʰui22	pʰoi22					
倍	蟹合一上隊並	pɔi42	pye24	puɛ33/pui453（文）	pʰoi31					
梅	蟹合一平灰明	wɔi22	——	buɛ22	moi22					
妹	蟹合一去隊明	mui53	ɓoi443	muɛ24/mui453（文）	moi33/moi453（文）					
堆	蟹合一平灰端	tui53	tui45	tui24	ɗui453					
隊	蟹合一去隊端	tui42	tui443	toi33	ɗui42					
推	蟹合一平灰透	tʰui33	tʰui45	tʰui24	tʰui33					
腿	蟹合一上賄透	tʰui31	tui451	tʰui41	tʰui31					
退	蟹合一去隊透	tʰui44	tʰui31	tʰui21	tʰui44					
雷	蟹合一平灰來	lui22	lui24	lui22	lui22					
催	蟹合一平灰清	tsʰui33	——	tsʰui24	sui33					
罪	蟹合一上賄從	tsɔ i42	tsui443	tsui33	tui42					
碎	蟹合一去隊心	tsʰui44	sui31	tsʰui21	ɬui44					
塊	蟹合一去隊溪	kau22	kʰuoi31	kʰuai21	kʰuai44					
灰	蟹合一平灰曉	hui33	hye45	huɛ24/hu24（白）	hy33/hoi33					
悔	蟹合一上賄曉	hui31	hye443	hui21	fui31/hui31					
回	蟹合一平灰匣	tui31（訓）	tui451（訓）	hui22/tui41（訓）	ɗui31（訓）					
匯	蟹合一上賄匣	hui42	——	hui453	wi42					
最	蟹合一去泰精	tsui44	tsui31	tsui21	tui44					
外	蟹合一去泰疑	hua33	ŋai443	wa24/ŋuai453（文）	hu33/ŋɔi42					
會開～	蟹合一去泰匣	hui42	hye443	hui453	wi42					
會～不～	蟹合一去泰匣	ɔi42（訓“解”）	ɐi443（訓“解”）	oi453（訓“解”）	wi42					
乖	蟹合二平皆見	ɔ53（訓）	kuai24	o453（訓）/kuai453	kuai33					
怪	蟹合二去怪見	kuai44	kuoi31	kuai21	kuai44					
懷	蟹合二平皆匣	huai22	——	huai22	wai22					
壞	蟹合二去怪匣	uai33	wai443	huai24	hai33/huai33					
拐	蟹合二上蟹見	kuai31	kuoi451	kuai41	kuai31					
掛	蟹合二去卦見	kua44	kʰau31	kʰua21	kuɛ44					
蛙	蟹合二平佳影	kap5	kap5	wa24	kap5					
畫	蟹合二去卦匣	ɔi42	——	hua453	wɛ42					
快	蟹合二去夬溪	kʰuai44	kʰuoi31	kʰuɛ21	kʰuɛ44					
話	蟹合二去夬匣	ɔi33	hye443	wɛ24	wɛ33					
歲	蟹合三去祭心	hɔi44	hye31	huɛ21/sui21（文）	hoi44					
稅	蟹合二去祭書	ɬui44	se31	suɛ21/sui453（文）	ɬui44					
衛	蟹合二去祭雲	ui42	ui443	ui453	wɐi42					
銳	蟹合三去祭以	jiui42	li443	zui453	——					
肺	蟹合三去廢敷	hui44	hui31	hui21	pʰoi44					
吠	蟹合三去廢奉	pui33	pui31	pui24	ɓoi44					
桂	蟹合四去霽見	kui44	kui31	kui21	kui44					
慧	蟹合四去霽匣	jui42	——	hui453	wi22					
碑	止開三平支幫	pui33	pi24	pui24	ɓɛi453					
披	止開三平支滂	pʰɔi33	pʰi45	mua24	pʰoi453					
皮	止開三平支並	pɔi22	pʰye24	pʰuɛ22	pʰoi22/pʰɛi22					
被～子	止開三上紙並	pʰɔi42	pʰye443	pʰuɛk5	pʰoi42					
被～迫	止開三去置並	pi42	——	pi33	pi42					
紫	止開三上紙精	tsi31	tsi451	tsʰu21	tsi31					
此	止開三上紙清	tsʰi31	——	su41/jiɛ21	tsʰi31					
知	止開三平支知	tsai33	tsai45	tsai24	tai33					
池	止開三平支澄	tsʰi22	tsʰi24	to22	tsʰi22					
支	止開三平支章	tsi33	tsi45	tsi24	tsi33					
紙	止開三上紙章	tsua31	tsua451	tsua41	tu31/tsi31					
是	止開三上紙禪	ɬi42	si443	si453/su453（文）	ɬi42					
兒	止開三平支日	lu22	kia451	ji22/lu22（文）						
奇	止開三平支群	kʰi22	kʰi24	kʰi22	kʰi22					
寄	止開三去置見	kia44	ki31	kia21	kia44					
騎	止開三平支群	kʰia22	kʰia24	kʰia22	kʰia22					
宜	止開三平支疑	ji22	——	ŋi22/ji22	ki22					
蟻	止開三上紙疑	hia42	hia443	hia33/ŋi453（文）	hia42					
議	止開三去置疑	ji42	ŋi451	ŋi33	ȵi42					
