繁体字	简体字	国际音标	吴语拼音	备注		调类	调值							
詐	诈	tsu423	tsu5			5	423	ts	u	ts	u		tsu5	tsu423
炸	炸	tsu423	tsu5	爆~；~弹。		5	423	ts	u	ts	u		tsu5	tsu423
叉	叉	tsʰu53	tshu1			1	53	tsh	u	tsʰ	u		tshu1	tsʰu53
差	差	tsʰu53	tshu1			1	53	tsh	u	tsʰ	u		tshu1	tsʰu53
差	差	tsʰɿ53	tshy1	参~。		1	53	tsh	y	tsʰ	ɿ		tshy1	tsʰɿ53
岔	岔	tsʰu423	tshu5			5	423	tsh	u	tsʰ	u		tshu5	tsʰu423
查	查	dzu24	dzu2			2	24	dz	u	dz	u		dzu2	dzu24
沙	沙	su53	su1			1	53	s	u	s	u		su1	su53
紗	纱	su53	su1			1	53	s	u	s	u		su1	su53
灑	洒	sɑ44	sa3			3	44	s	a	s	ɑ		sa3	sɑ44
釃	酾	sɑ53	sa1	倒：~酒。		1	53	s	a	s	ɑ		sa1	sɑ53
釃	酾	sɿ53	sy1			1	53	s	y	s	ɿ		sy1	sɿ53
加	加	kɑ53	ka1			1	53	k	a	k	ɑ		ka1	kɑ53
嘉	嘉	kɑ53	ka1	【白读】~定（上海地名，北宋年号）；~兴，~善，永~（浙江地名）。		1	53	k	a	k	ɑ		ka1	kɑ53
嘉	嘉	tɕiɑ53	cia1	【文读】~奖；~庆（清朝年号）。		1	53	c	ia	tɕ	iɑ		cia1	tɕiɑ53
家	家	kɑ53	ka1	【白读】一~人；大~；人~。		1	53	k	a	k	ɑ		ka1	kɑ53
家	家	tɕiɑ53	cia1	【文读】国~；~庭；~教。		1	53	c	ia	tɕ	iɑ		cia1	tɕiɑ53
傢	家	kɑ53	ka1	【白读】		1	53	k	a	k	ɑ		ka1	kɑ53
傢	家	tɕiɑ53	cia1	【文读】		1	53	c	ia	tɕ	iɑ		cia1	tɕiɑ53
假	假	kɑ44	ka3	【白读】与“真”相对。		3	44	k	a	k	ɑ		ka3	kɑ44
假	假	kɑ423	ka5	【白读】放~。		5	423	k	a	k	ɑ		ka5	kɑ423
賈	贾	kɑ44	ka3	【白读】姓。		3	44	k	a	k	ɑ		ka3	kɑ44
賈	贾	tɕiɑ44	cia3	【文读】姓。		3	44	c	ia	tɕ	iɑ		cia3	tɕiɑ44
賈	贾	ku44	ku3	商~。		3	44	k	u	k	u		ku3	ku44
稼	稼	kɑ423	ka5	【白读】庄~；召~楼（上海闵行地名）。		5	423	k	a	k	ɑ		ka5	kɑ423
稼	稼	tɕiɑ423	cia5	【文读】庄~。		5	423	c	ia	tɕ	iɑ		cia5	tɕiɑ423
嫁	嫁	kɑ423	ka5	【白读】出~。		5	423	k	a	k	ɑ		ka5	kɑ423
嫁	嫁	tɕiɑ423	cia5	【文读】~接。		5	423	c	ia	tɕ	iɑ		cia5	tɕiɑ423
架	架	kɑ423	ka5			5	423	k	a	k	ɑ		ka5	kɑ423
駕	驾	kɑ423	ka5	【白读】接~；接~桥（江苏苏州地名）；腾~桥（上海浦东地名）。		5	423	k	a	k	ɑ		ka5	kɑ423
駕	驾	tɕiɑ423	cia5	【文读】~驶。		5	423	c	ia	tɕ	iɑ		cia5	tɕiɑ423
價	价	kɑ423	ka5	【白读】~钱（俗写作“~钿”）。		5	423	k	a	k	ɑ		ka5	kɑ423
價	价	tɕiɑ423	cia5	【文读】~格；~值。		5	423	c	ia	tɕ	iɑ		cia5	tɕiɑ423
牙	牙	ŋɑ24	nga2			2	24	ng	a	ŋ	ɑ		nga2	ŋɑ24
芽	芽	ŋɑ24	nga2			2	24	ng	a	ŋ	ɑ		nga2	ŋɑ24
衙	衙	ŋɑ24	nga2			2	24	ng	a	ŋ	ɑ		nga2	ŋɑ24
雅	雅	io44	io3	【文读】		3	44		io		io		io3	io44
霞	霞	io53	io1	【文读】		1	53		io		io		io1	io53
下	下	ɦu31	wu4	【白读】		4	31	w	u	ɦ	u		wu4	ɦu31
下	下	ɦio31	yo4	【文读】陛~。		4	31	y	o	ɦ	io		yo4	ɦio31
夏	夏	ɦu31	wu4	姓；朝代名。		4	31	w	u	ɦ	u		wu4	ɦu31
夏	夏	ɦu213	wu6	季节。		6	213	w	u	ɦ	u		wu6	ɦu213
鴉	鸦	u53	u1	【白读】老~；水老~；~鹊。		1	53		u		u		u1	u53
鴉	鸦	iɑ53	ia1	【文读】~片；涂~。		1	53		ia		iɑ		ia1	iɑ53
丫	丫	u53	u1			1	53		u		u		u1	u53
啞	哑	u44	u3	【白读】~巴。		3	44		u		u		u3	u44
啞	哑	iɑ44	ia3	【文读】沙~。		3	44		ia		iɑ		ia3	iɑ44
亞	亚	u53	u1	【白读】~细~；东~饭店。		1	53		u		u		u1	u53
亞	亚	io53	io1	【文读】~洲。		1	53		io		io		io1	io53
姐	姐	tsiɑ44	tsia3	【白读】		3	44	ts	ia	ts	iɑ		tsia3	tsiɑ44
姐	姐	tsi44	tsi3	【文读】		3	44	ts	i	ts	i		tsi3	tsi44
借	借	tsiɑ423	tsia5			5	423	ts	ia	ts	iɑ		tsia5	tsiɑ423
且	且	tsʰiɑ44	tshia3	【白读】		3	44	tsh	ia	tsʰ	iɑ		tshia3	tsʰiɑ44
且	且	tsʰi44	tshi3	【文读】而~。		3	44	tsh	i	tsʰ	i		tshi3	tsʰi44
笡	笡	tsʰiɑ423	tshia5	斜。		5	423	tsh	ia	tsʰ	iɑ		tshia5	tsʰiɑ423
寫	写	siɑ44	sia3			3	44	s	ia	s	iɑ		sia3	siɑ44
瀉	泻	siɑ423	sia5			5	423	s	ia	s	iɑ		sia5	siɑ423
卸	卸	siɑ423	sia5			5	423	s	ia	s	iɑ		sia5	siɑ423
邪	邪	ziɑ24	zia2			2	24	z	ia	z	iɑ		zia2	ziɑ24
邪	邪	ɦiɑ24	ya2	莫~。		2	24	y	a	ɦ	iɑ		ya2	ɦiɑ24
斜	斜	ziɑ24	zia2			2	24	z	ia	z	iɑ		zia2	ziɑ24
謝	谢	ziɑ213	zia6			6	213	z	ia	z	iɑ		zia6	ziɑ213
爹	爹	tiɑ53	tia1			1	53	t	ia	t	iɑ		tia1	tiɑ53
遮	遮	tsu53	tsu1			1	53	ts	u	ts	u		tsu1	tsu53
遮	遮	tʂɑ53	ca1	奢~（聪明）。		1	53	c	a	tʂ	ɑ		ca1	tʂɑ53
者	者	tʂᴇ44	cei3	【文读】作~；知乎~也；或~。		3	44	c	ei	tʂ	ᴇ		cei3	tʂᴇ44
蔗	蔗	tsu423	tsu5			5	423	ts	u	ts	u		tsu5	tsu423
車	车	tsʰu53	tshu1			1	53	tsh	u	tsʰ	u		tshu1	tsʰu53
車	车	tɕi53	ci1	象棋棋子。		1	53	c	i	tɕ	i		ci1	tɕi53
扯	扯	tʂʰɑ44	cha3			3	44	ch	a	tʂʰ	ɑ		cha3	tʂʰɑ44
蛇	蛇	dzu24	dzu2			2	24	dz	u	dz	u		dzu2	dzu24
射	射	dzu213	dzu6	【白读】~击。		6	213	dz	u	dz	u		dzu6	dzu213
射	射	ʐᴇ213	zhei6	【文读】高~炮；~阳（江苏地名）。		6	213	zh	ei	ʐ	ᴇ		zhei6	ʐᴇ213
射	射	zɔʔ23	zaoq8	~箭。		8	23	z	aoq	z	ɔʔ		zaoq8	zɔʔ23
射	射	dzɑ213	dza6	排泄。		6	213	dz	a	dz	ɑ		dza6	dzɑ213
賒	赊	su53	su1			1	53	s	u	s	u		su1	su53
舍	舍	su423	su5	【白读】		5	423	s	u	s	u		su5	su423
舍	舍	ʂᴇ423	shei5	【文读】宿~。		5	423	sh	ei	ʂ	ᴇ		shei5	ʂᴇ423
舍	舍	ʂᴇ423	shei5	杨~（亦作“杨扇”，上海青浦地名）。可能是“舍”的儿化音。		5	423	sh	ei	ʂ	ᴇ		shei5	ʂᴇ423
捨	舍	su44	su3	~勿得。		3	44	s	u	s	u		su3	su44
厙	厍	su423	su5			5	423	s	u	s	u		su5	su423
赦	赦	su423	su5			5	423	s	u	s	u		su5	su423
社	社	zu213	zu6			6	213	z	u	z	u		zu6	zu213
喏	喏	dzu31	dzu4	唱~（拜祖宗）。		4	31	dz	u	dz	u		dzu4	dzu31
惹	惹	dʐɑ31	ja4			4	31	j	a	dʐ	ɑ		ja4	dʐɑ31
爺	爷	ɦiɑ24	ya2			2	24	y	a	ɦ	iɑ		ya2	ɦiɑ24
耶	耶	ɦiɑ24	ya2			2	24	y	a	ɦ	iɑ		ya2	ɦiɑ24
椰	椰	ɦiɑ24	ya2			2	24	y	a	ɦ	iɑ		ya2	ɦiɑ24
揶	揶	ɦiɑ24	ya2			2	24	y	a	ɦ	iɑ		ya2	ɦiɑ24
也	也	ɦiɑ31	ya4			4	31	y	a	ɦ	iɑ		ya4	ɦiɑ31
野	野	ɦiɑ31	ya4			4	31	y	a	ɦ	iɑ		ya4	ɦiɑ31
冶	冶	ɦiɑ31	ya4	【白读】		4	31	y	a	ɦ	iɑ		ya4	ɦiɑ31
冶	冶	ɦie31	ye4	【文读】		4	31	y	e	ɦ	ie		ye4	ɦie31
夜	夜	ɦiɑ213	ya6			6	213	y	a	ɦ	iɑ		ya6	ɦiɑ213
瓜	瓜	ku53	ku1			1	53	k	u	k	u		ku1	ku53
寡	寡	ku44	ku3			3	44	k	u	k	u		ku3	ku44
誇	夸	kʰu53	khu1			1	53	kh	u	kʰ	u		khu1	kʰu53
垮	垮	kʰu44	khu3			3	44	kh	u	kʰ	u		khu3	kʰu44
跨	跨	kʰu423	khu5			5	423	kh	u	kʰ	u		khu5	kʰu423
瓦	瓦	ŋu31	ngu4			4	31	ng	u	ŋ	u		ngu4	ŋu31
花	花	hu53	hu1			1	53	h	u	h	u		hu1	hu53
化	化	hu423	hu5			5	423	h	u	h	u		hu5	hu423
華	华	ɦu24	wu2			2	24	w	u	ɦ	u		wu2	ɦu24
華	华	hu53	hu1	龙~，法~（上海徐汇地名）；法~桥（上海奉贤地名）。		1	53	h	u	h	u		hu1	hu53
劃	划	ɦu24	wu2	~船。		2	24	w	u	ɦ	u		wu2	ɦu24
補	补	pu44	pu3			3	44	p	u	p	u		pu3	pu44
譜	谱	pu44	pu3			3	44	p	u	p	u		pu3	pu44
布	布	pu423	pu5			5	423	p	u	p	u		pu5	pu423
鋪	铺	pʰu53	phu1			1	53	ph	u	pʰ	u		phu1	pʰu53
普	普	pʰu44	phu3			3	44	ph	u	pʰ	u		phu3	pʰu44
浦	浦	pʰu44	phu3			3	44	ph	u	pʰ	u		phu3	pʰu44
蒲	蒲	bu24	bu2			2	24	b	u	b	u		bu2	bu24
菩	菩	bu24	bu2			2	24	b	u	b	u		bu2	bu24
部	部	bu31	bu4			4	31	b	u	b	u		bu4	bu31
簿	簿	bu31	bu4			4	31	b	u	b	u		bu4	bu31
捕	捕	bu213	bu6			6	213	b	u	b	u		bu6	bu213
步	步	bu213	bu6			6	213	b	u	b	u		bu6	bu213
模	模	mu24	mu2			2	24	m	u	m	u		mu2	mu24
暮	暮	mu213	mu6			6	213	m	u	m	u		mu6	mu213
慕	慕	mu213	mu6			6	213	m	u	m	u		mu6	mu213
墓	墓	mu213	mu6			6	213	m	u	m	u		mu6	mu213
墓	墓	m̩213	m6	陆~（江苏苏州地名）；严~（江苏吴江地名）；陈~（江苏昆山地名）。		6	213		m		m̩		m6	m̩213
募	募	mu213	mu6			6	213	m	u	m	u		mu6	mu213
都	都	tɯ53	tou1			1	53	t	ou	t	ɯ		tou1	tɯ53
賭	赌	tɯ44	tou3			3	44	t	ou	t	ɯ		tou3	tɯ44
堵	堵	tɯ44	tou3			3	44	t	ou	t	ɯ		tou3	tɯ44
肚	肚	tɯ44	tou3	胃：牛~；猪~。		3	44	t	ou	t	ɯ		tou3	tɯ44
妒	妒	tɯ423	tou5			5	423	t	ou	t	ɯ		tou5	tɯ423
土	土	tʰɯ44	thou3			3	44	th	ou	tʰ	ɯ		thou3	tʰɯ44
吐	吐	tʰɯ44	thou3			3	44	th	ou	tʰ	ɯ		thou3	tʰɯ44
兔	兔	tʰɯ423	thou5			5	423	th	ou	tʰ	ɯ		thou5	tʰɯ423
徒	徒	dɯ24	dou2			2	24	d	ou	d	ɯ		dou2	dɯ24
途	途	dɯ24	dou2			2	24	d	ou	d	ɯ		dou2	dɯ24
塗	涂	dɯ24	dou2			2	24	d	ou	d	ɯ		dou2	dɯ24
圖	图	dɯ24	dou2			2	24	d	ou	d	ɯ		dou2	dɯ24
屠	屠	dɯ24	dou2			2	24	d	ou	d	ɯ		dou2	dɯ24
杜	杜	dɯ31	dou4			4	31	d	ou	d	ɯ		dou4	dɯ31
肚	肚	dɯ31	dou4	腹部：~皮。		4	31	d	ou	d	ɯ		dou4	dɯ31
度	度	dɯ213	dou6			6	213	d	ou	d	ɯ		dou6	dɯ213
渡	渡	dɯ213	dou6			6	213	d	ou	d	ɯ		dou6	dɯ213
鍍	镀	dɯ213	dou6			6	213	d	ou	d	ɯ		dou6	dɯ213
奴	奴	nɯ24	nou2			2	24	n	ou	n	ɯ		nou2	nɯ24
努	努	nɯ31	nou4			4	31	n	ou	n	ɯ		nou4	nɯ31
怒	怒	nɯ213	nou6			6	213	n	ou	n	ɯ		nou6	nɯ213
盧	卢	lɯ24	lou2			2	24	l	ou	l	ɯ		lou2	lɯ24
爐	炉	lɯ24	lou2			2	24	l	ou	l	ɯ		lou2	lɯ24
蘆	芦	lɯ24	lou2			2	24	l	ou	l	ɯ		lou2	lɯ24
擼	撸	lɯ53	lou1			1	53	l	ou	l	ɯ		lou1	lɯ53
魯	鲁	lɯ31	lou4			4	31	l	ou	l	ɯ		lou4	lɯ31
櫓	橹	lɯ31	lou4			4	31	l	ou	l	ɯ		lou4	lɯ31
露	露	lɯ213	lou6			6	213	l	ou	l	ɯ		lou6	lɯ213
路	路	lɯ213	lou6			6	213	l	ou	l	ɯ		lou6	lɯ213
租	租	tsɯ53	tsou1			1	53	ts	ou	ts	ɯ		tsou1	tsɯ53
祖	祖	tsɯ44	tsou3			3	44	ts	ou	ts	ɯ		tsou3	tsɯ44
組	组	tsɯ44	tsou3			3	44	ts	ou	ts	ɯ		tsou3	tsɯ44
粗	粗	tsʰɯ53	tshou1			1	53	tsh	ou	tsʰ	ɯ		tshou1	tsʰɯ53
醋	醋	tsʰɯ423	tshou5			5	423	tsh	ou	tsʰ	ɯ		tshou5	tsʰɯ423
挫	挫	tsʰɯ423	tshou5			5	423	tsh	ou	tsʰ	ɯ		tshou5	tsʰɯ423
措	措	tsʰɯ423	tshou5			5	423	tsh	ou	tsʰ	ɯ		tshou5	tsʰɯ423
錯	错	tsʰɯ423	tshou5			5	423	tsh	ou	tsʰ	ɯ		tshou5	tsʰɯ423
錯	错	tsʰu53	tshu1	本字或为“差”。		1	53	tsh	u	tsʰ	u		tshu1	tsʰu53
蘇	苏	sɯ53	sou1			1	53	s	ou	s	ɯ		sou1	sɯ53
酥	酥	sɯ53	sou1			1	53	s	ou	s	ɯ		sou1	sɯ53
素	素	sɯ423	sou5			5	423	s	ou	s	ɯ		sou5	sɯ423
訴	诉	sɯ423	sou5			5	423	s	ou	s	ɯ		sou5	sɯ423
姑	姑	ku53	ku1			1	53	k	u	k	u		ku1	ku53
孤	孤	ku53	ku1			1	53	k	u	k	u		ku1	ku53
估	估	ku44	ku3			3	44	k	u	k	u		ku3	ku44
古	古	ku44	ku3			3	44	k	u	k	u		ku3	ku44
股	股	ku44	ku3			3	44	k	u	k	u		ku3	ku44
鼓	鼓	ku44	ku3			3	44	k	u	k	u		ku3	ku44
故	故	ku423	ku5			5	423	k	u	k	u		ku5	ku423
固	固	ku423	ku5			5	423	k	u	k	u		ku5	ku423
顧	顾	ku423	ku5			5	423	k	u	k	u		ku5	ku423
僱	雇	ku423	ku5			5	423	k	u	k	u		ku5	ku423
枯	枯	kʰu53	khu1			1	53	kh	u	kʰ	u		khu1	kʰu53
苦	苦	kʰu44	khu3			3	44	kh	u	kʰ	u		khu3	kʰu44
庫	库	kʰu423	khu5			5	423	kh	u	kʰ	u		khu5	kʰu423
褲	裤	kʰu44	khu3			3	44	kh	u	kʰ	u		khu3	kʰu44
吳	吴	ŋ̍24	ng2	【白读】姓；~县，~江（江苏地名）；~溇（江苏吴江地名）；~趋坊（江苏苏州地名）；~淞江。		2	24		ng		ŋ̍		ng2	ŋ̍24
吳	吴	ɦoŋ24	ghon2	【白读】~市（江苏常熟地名）；~山渡（浙江长兴地名）。		2	24	gh	on	ɦ	oŋ		ghon2	ɦoŋ24
吳	吴	ɦu24	wu2	【文读】~国；东~；~越；~语。		2	24	w	u	ɦ	u		wu2	ɦu24
梧	梧	ŋɯ24	ngou2			2	24	ng	ou	ŋ	ɯ		ngou2	ŋɯ24
吾	吾	ŋɯ24	ngou2			2	24	ng	ou	ŋ	ɯ		ngou2	ŋɯ24
午	午	ɦu31	wu4	【文读】		4	31	w	u	ɦ	u		wu4	ɦu31
午	午	ŋ̍31	ng4	【白读】端~。		4	31		ng		ŋ̍		ng4	ŋ̍31
忤	忤	ŋ̍31	ng4	【白读】~逆。		4	31		ng		ŋ̍		ng4	ŋ̍31
伍	伍	ɦu31	wu4	【文读】队~。		4	31	w	u	ɦ	u		wu4	ɦu31
伍	伍	u53	u1	【文读】~子胥；~胥庙（江苏太仓地名）。		1	53		u		u		u1	u53
伍	伍	ŋ̍31	ng4	【白读】“五”的大写。		4	31		ng		ŋ̍		ng4	ŋ̍31
五	五	ŋ̍31	ng4	【白读】数字。		4	31		ng		ŋ̍		ng4	ŋ̍31
五	五	u53	u1	【文读】~里桥（上海黄浦地名）；节日、纪念日及相关地名：~一；~四；~卅。		1	53		u		u		u1	u53
誤	误	ŋɯ213	ngou6			6	213	ng	ou	ŋ	ɯ		ngou6	ŋɯ213
悟	悟	ŋɯ213	ngou6			6	213	ng	ou	ŋ	ɯ		ngou6	ŋɯ213
蜈	蜈	ŋɯ24	ngou2			2	24	ng	ou	ŋ	ɯ		ngou2	ŋɯ24
呼	呼	hu53	hu1			1	53	h	u	h	u		hu1	hu53
虎	虎	hu44	hu3			3	44	h	u	h	u		hu3	hu44
胡	胡	ɦu24	wu2			2	24	w	u	ɦ	u		wu2	ɦu24
