tsʰ	①差｛參~不齊｝妻凄朞溪谿嵠欺梯｛文丨電~丨西鄉城關｝睇｛西鄉城關｝②期疵詞糍蹊瓷祠臍辭慈歧齊磁奇｛~怪｝騎｛~馬｝崎琦岐耆祁鰭旗琪麒騏祈題｛西鄉城關｝提｛西鄉城關｝堤｛西鄉城關｝蹄｛西鄉城關｝啼｛西鄉城關｝③祈起｛西鄉城關｝體此豈啓綺杞娶{白讀}取｛白讀｝⑤氣棄飼｛白讀｝汽｛新字｝憩企器去｛長臨六家畈音｝砌次契｛~約｝賜侍｛又音｝刺廁屜｛西鄉城關｝涕｛西鄉城關｝替｛西鄉城關｝剃｛西鄉城關｝						
s	①司絲撕思螄些｛又｝硒獅鬚｛鬍~｝師斯嬉犧羲曦熙息｛獨用于出~丨早期輕聲舒化｝熹奚樨希稀僖晞浠西犀②齊｛白讀｝③死使｛文丨大~｝屣洒｛古訛為[洗]｝洗｛[洒]之古俗字｝喜史｛文讀｝駛｛文丨駕~｝徙⑤四駟戲婿細伺泗嗣事飼｛文丨~料｝兕似祀姒汜士仕寺柿｛柹子又作𣐈｝肆廁｛又音｝侍｛~衛｝𣐈柹						
z	①衣依伊漪猗旖禕翳醫黟②眙泥｛文讀丨西鄉城關｝霓｛西鄉城關｝倪｛西鄉城關｝驪｛西鄉城關｝梨｛西鄉城關｝罹｛西鄉城關｝釐｛西鄉城關｝璃｛西鄉城關｝灕｛西鄉城關｝蠡｛西鄉城關｝籬｛西鄉城關｝離｛西鄉城關丨距~｝黎｛西鄉城關｝犁｛西鄉城關｝狸｛西鄉城關｝迻胰移迤蛇｛逶~｝宜誼｛又音｝儀姨彝貽怡疑沂頤③理｛西鄉城關｝椅鯉｛文丨西鄉城關｝裡｛西鄉城關｝里｛西鄉城關｝李｛西鄉城關｝禮｛西鄉城關｝醴｛西鄉城關｝澧｛西鄉城關｝裏｛西鄉城關｝俚｛西鄉城關｝娌｛西鄉城關｝擬｛西鄉城關｝劙｛西鄉城關｝旎｛西鄉城關｝倚蟻以已矣尾｛西北嚮音｝⑤義縊勚｛損也｝意曳毅羿肄懿螠易｛容~｝億憶｛舒化｝艾｛懲~｝异誼藝裔例｛西鄉城關｝利｛西鄉城關｝厲｛西鄉城關｝吏｛西鄉城關｝隸｛西鄉城關｝儷｛西鄉城關｝荔｛西鄉城關｝莉｛西鄉城關｝麗｛西鄉城關｝離｛西鄉城關丨~開｝痢｛西鄉城關｝隷｛西鄉城關｝蠣｛西鄉城關｝詈｛西鄉城關｝犡｛西鄉城關｝膩｛西鄉城關｝議						
#ʮ							
ȵd	②廬｛白讀丨~江~陽｝驢③女簍吕膂旅侣鋁屢縷褸⑤慮濾						
ts	①車｛~馬炮｝居琚跔駒拘俱具｛又音｝③舉莒矩鬼｛老~｝蒟櫸苣⑤句巨拒距劇｛文讀｝據鋸｛文讀｝踞懼颶聚具						
tsʰ	①區蛆驅趨疽軀②渠瞿衢徐｛姓｝③取｛文讀｝娶⑤去｛文讀｝趣覷						
s	①噓虚胥｛口語｝須蕦鬚需墟靴｛又｝②徐｛西鄉城關｝③許栩詡⑤煦敘酗緒絮序漱｛白讀｝						
z	①淤迂瘀②廬｛西鄉城關｝驢｛西鄉城關｝臾俞揄輿蜍余娛圩｛又音｝於魚漁予與｛介詞｝愚狳虞禺隅于餘盂腴覦瑜萸渝③羽女｛西鄉城關｝簍｛西鄉城關｝吕｛西鄉城關｝旅｛西鄉城關｝侣｛西鄉城關｝鋁｛西鄉城關｝縷｛西鄉城關｝褸｛西鄉城關｝禹雨宇語禦｛抵~｝圄庾預⑤與｛參~｝愈御馭癒愉喻預嫗玉｛舒化｝芋寓遇裕豫慮｛西鄉城關｝濾｛西鄉城關｝屢｛西鄉城關｝						
#ʅ							
tʃ	①知芝肢之支梔枝脂③指枳咫旨止沚紙趾址芷⑤治｛~理｝雉峙痔智至致痣翅置制製彘志識｛標~｝						
tʃʰ	①螭魑黐嗤蚩癡②治｛~魚｝匙豉馳池篪遲持③齒侈恥始持｛又丨俗｝⑤滞啻稚						
ʃ	①□｛不穩貌｝詩屍尸施②時鰣③屎矢⑤是示式氏舐視市恃嗜試逝誓噬世勢弒						
ʒ	①□｛離也行也｝						
#ɪ							
p	①背碑杯卑悲③㗗｛~斷｝比｛白｝⑤褙｛~褡丨同䋳｝䋳避｛白讀｝閉｛白讀｝被幣背匕｛白讀｝弊備貝狽蔽輩倍臂婢靶畀陛						
pʰ	①坯②陪賠培裴便｛~宜丨脫鼻｝⑤配佩沛						
mᵇ	②梅嵋楣霉｛黴俗字｝枚黴｛俗字霉｝煤䤍媒微｛白丨輕~｝莓䤂玫迷｛~眼｝酶③美每⑤妹未｛白讀｝魅媚昧寐袂						
f	①非飛菲蜚啡扉妃霏②肥淝③悱匪誹翡⑤沸肺費廢吠疿						
t	①堆③抵⑤碓隊對懟兌第｛白｝弟｛白｝娣遞｛白｝						
tʰ	②梯｛白丨~子｝推②頹③腿⑤退蛻剃｛白｝替｛白｝						
l	①㔣｛又音｝②㔣｛~撞｝纍｛~贅｝雷羸儡｛~同｝嫘擂｛動詞｝捼③累｛~計｝磊儡｛傀~｝絫壘誄蕊｛又音｝耒餒里｛雪~紅｝蕾鯉⑤累｛疲~｝淚擂｛~檯｝類內例｛白丨~外｝						
k	③給｛文讀｝						
ts	②賊｛舒化｝③嘴⑤最罪醉蕞						
tsʰ	①催崔摧熣炊｛水壺丨有疑｝②隨隋③璀⑤脆翠粹淬瘁						
s	①尿雖睢荽綏簁｛俗字篩｝③篩｛白丨~酒｝使｛白丨~錢｝駛｛白讀｝史｛白讀丨~村，小~港｝髓釃｛~酒丨或篩｝⑤歲碎遂隧邃穗祟						
tʃ	①蜘｛~蟟：蟬也丨~蛛｝⑤雉｛俗名野雞｝						
tʃʰ	③逞｛有疑丨~能｝褫｛~職｝						
#uɪ							
k	①龜規歸圭閨皈③鬼詭晷宄｛內~｝癸⑤鱖貴桂櫃｛西鄉南鄉城關｝						
kʰ	①虧睽盔蝰奎魁窺②葵傀馗夔逵⑤跪䙡愧聵潰｛文丨~瘍｝櫃餽						
x	①灰麾揮輝恢豗｛豬食貌｝徽②回蛔迴廻囘詯潰｛~膿｝䛛③虺毀悔虫｛俗為「蟲」非也｝潰｛又丨~膿｝⑤賄匯卉繪惠慧喙晦誨穢會｛~晤｝諱						
tʃ	①追椎錐騅⑤綴贅墜𨒉｛不行貌丨犟也｝惴						
tʃʰ	①吹炊②錘鎚垂陲棰搥						
ʃ	②誰③水⑤稅說｛~服｝瑞睡						
ʒ	③蕊⑤睿叡芮銳						
	①煨威隈②為危微桅唯惟維薇圩峞嵬巍韋闈違圍帷③委尾緯｛~度｝苇偉猥萎⑤外｛除南鄉東鄉東北鄉白讀｝餵畏位慰熨尉魏彙｛刺~｝謂胃緯｛象~｝味偽惠｛又丨賢~｝						
#i							
pʰ	②便｛~宜丨脫鼻丨又｝						
t	①爹｛呼祖父｝⑦適｛都歷切丨此也丨~箇｝的｛領屬丨我~｝						
ȵ	①爾｛中指丨~箇｝尔｛中指丨~箇丨「爾」俗字｝③爾｛第二人稱俗字你「儞」｝						
k	①旡｛氣逆也丨有疑，或見梗二開入聲字｝膈｛~氣；打~｝嗝						
kʰ	①□｛問物｝⑤去｛白讀｝						
tɕ	①皆｛又音｝階｛又音｝③姐⑤借｛又音｝介｛又音｝						
tɕʰ	③且						
ɕ	①些｛又音｝②斜邪鞋｛又音｝諧｛又音｝③璽閃｛~腰丨脫鼻｝⑤謝洩瀉卸｛文丨~載｝						
j	②椰邪｛莫~｝爺姨｛文丨阿~｝③也{又}野冶⑤夜液｛又音｝預｛~備｝						
ts	⑤借						
s	②錢｛贏~丨或「sĩ」｝③寫						
tʃ	①遮佔｛又音丨古城｝蔗｛甘~丨又｝③蔗｛甘~｝赭⑤柘蔗｛~糖｝鷓樜｛同「柘」｝						
tʃʰ	①車③撦｛俗字「扯」｝扯｛「撦」俗字｝						
ʃ	①奢畬賒②蛇佘｛姓｝③捨⑤射赦社舍						
ʒ	③惹若｛文丨般~｝						
#yi							
tɕʰ	②茄瘸						
tɕ	⑤贅｛東鄉｝						
ɕ	①靴						
#a							
p	①巴粑{餅也}疤芭③把㞎｛俗字丨人穢｝比｛白讀丨~你大｝⑤霸壩垻叭罷杷｛田具丨俗寫「䎱」｝爸						
pʰ	①葩琶｛又音｝②爬杷｛農具丨俗寫耙｝琶杷⑤怕怖						
mᵇ	①媽幕{動詞}摸｛閉眼~｝蟆②麻痲③螞碼馬瑪⑤罵						
t	①爹｛父背稱｝③打⑤大						
tʰ	①他它拖｛拖~慢也｝						
l	①拉垃②拏｛俗字「拿」｝③哪⑤娜｛文讀｝䏧落｛灑~｝						
s	③灑						
tʃ	①渣查｛姓｝楂碴奓｛一~丨手開之長也｝挓｛開也｝③鲊｛~肉｝奓｛又音｝厏｛庌~｝⑤醡榨咤奓｛~開｝乍詐灹｛爆~丨俗寫「炸」｝炸｛「灹」俗字｝占｛又音丨西鄉城關｝						
tʃʰ	①差｛~錢｝叉杈□｛行難貌｝蹅｛借字丨踐也｝②茶塗｛又音｝茬查｛檢~｝③撦｛俗字扯丨~皮｝扯｛撦俗字丨~皮｝⑤䟕｛俗字「岔」｝岔｛「䟕」俗字｝衩						
ʃ	①挱｛又音｝挲｛又音｝莎｛師加切為蟲名，不為名用也｝紗沙㸺砂鯊裟痧賒｛白讀｝③傻｛文讀｝⑤廈｛新音：大~｝舍｛雞~｝						
k	①家｛白讀｝□｛~人：欺諞｝③尕｛俗字丨小也｝腉｛肉也丨《集韻》居佳切丨有疑｝⑤架｛白丨~勢｝尬｛文丨尲~｝介｛南鄉白丨~意丨或外源音｝界｛搭~丨或外源音｝						
kʰ	③卡冚｛覆也丨俗字丨本字不詳｝□｛~人：妄言｝⑤髂｛跨也｝跨｛訓｝						
x	①颬｛~氣｝𨉣｛躬身也｝㰤｛氣出也｝罅{縫出也丨有疑}㰤｛氣出也｝呵｛同「㰤」丨氣出也｝②何｛白讀丨問人問物問地之所在｝蝦｛~蟆｝還｛~有｝③下｛劣也｝何｛問人問物問地之所在丨同[許]二者取一也｝許｛問人問物問地之所在丨同[何]二者取一也｝傻｛訓字丨~人｝⑤下｛白丨地~｝						
ŋ	①丫｛北鄉｝③啞｛~巴｝						
ʔ	①阿｛~爺：父也｝丫｛~頭｝鴉｛又音丨~片｝②兒而③餌邇耳尔｛爾俗字｝尒爾乳｛白讀｝汝｛白讀｝惹｛白讀｝啞｛~巴｝⑤二						
#ia							
tɕ	①家葭加痂｛文讀｝迦佳茄｛雪~｝嘉枷｛~鎖｝袈③假賈｛姓｝⑤稼嫁架駕介｛外源音丨~意｝價借｛又音｝駕						
tɕʰ	①掐｛舒化｝②斜③□｛陷阱也｝卡｛髮~｝⑤髂｛西鄉音丨跨也｝跨｛訓丨西鄉｝						
ɕ	①蝦｛~子｝罅{又音丨縫出也丨有疑}②俠｛舒化｝霞遐瑕斜｛又音｝③下｛又音丨~勁｝寫｛~意｝傻｛訓字丨瘋瘋~~丨西鄉音｝⑤夏下卸廈丅						
j	①氬椏掗鴉丫②琊揶｛~揄｝爺｛王~｝牙孲｛俗字「伢」｝伢衙岈（~痄）耶｛~蘇｝蚜涯椰｛~子丨又｝邪｛琅邪丨地名今滁州｝③啞雅⑤砑｛碾~｝亞訝						
#ua							
tʃ	①摣｛俗字「抓」｝抯｛通「摣」｝						
ʃ	③傻｛白讀｝耍｛「傻」分化字丨動詞｝						
k	①瓜蝸媧③剮寡⑤掛罣卦褂						
kʰ	①誇③侉｛俗字丨呼北人｝垮骻⑤胯跨						
x	①花②華划｛~船｝樺驊⑤華｛姓｝畫化話樺｛又音｝						
	①挖｛舒化丨「穵」俗字｝蛙穵｛舒化丨俗字「挖」｝鴉｛老~｝②娃｛口語不用｝③瓦｛~片｝搲佤⑤漥瓦｛~匠｝洼						
#o							
p	①包苞玻胞③保孢葆褓鴇飽寶褒⑤抱暴爆豹菢鉋｛俗刨｝鮑曝						
pʰ	①脬拋泡｛燈~｝②跑齙｛~牙｝咆袍狍⑤泡｛~飯｝炮礮皰						
mᵇ	①貓②毛茅楙矛髦錨犛牦③卯茆留｛有疑｝鉚⑤貌冒帽瑁貿｛文讀｝茂｛文讀｝戊｛有疑｝						
t	①刀叨③島搗倒到｛望~｝道｛言也｝朵（耳~）⑤禱倒蹈｛文丨舞~｝悼稻鑄導｛領~｝到盜道｛文丨~路｝						
tʰ	①導｛地名丨響~鄉｝道｛一~｝掏弢韜饕絛滔②濤陶逃桃淘萄③討⑤蹈｛白丨踐也｝套導｛八斗｝道稻｛~籮｝						
l	①撈□｛俗寫「孬」｝玀｛喚豬丨俗字｝②牢癆勞嶗③老佬惱腦瑙姥｛借字丨淮西人呼父之姊妹｝⑤淖澇鬧腝｛同「臑」｝寥｛木~~｝						
k	①高膏皋睾羔交｛東鄉｝糕茭②嚎｛~喪丨調不明｝③攪｛白讀｝稿藳絞｛白讀丨~邊｝鎬⑤告郜叫｛南鄉音丨~花｝教｛白讀｝						
kʰ	①敲尻撬｛白讀｝③考｛「攷」俗字｝攷｛俗字「考」｝烤拷⑤靠銬｛梏俗字｝犒梏						
x	①蒿薅②毫嗥｛~叫｝嚎壕濠蚝豪③好｛~處｝許｛問數問遠近大小諸等｝⑤好｛愛~｝號晧暭耗						
ŋ	②熬｛北鄉｝敖｛北鄉｝鰲｛北鄉｝③襖｛北鄉｝齩｛白讀丨北鄉｝⑤傲｛北鄉｝懊｛北鄉｝						
ʔ	②兒｛又音｝翱遨③媼啞｛有疑｝⑤澳奧二｛東鄉又音｝						
ts	①糟遭③早棗澡蚤藻⑤造｛創~｝灶皂躁燥□｛踐也｝						
tsʰ	①糙｛又音｝操②漕槽疛｛腹不適曰~心｝嘈③草⑤造｛~事｝慥｛急言也｝糙㿷｛同「糙」｝						
s	①騷臊搔艘𢔳｛~𢔇丨逸遊也丨有貶義｝③掃｛動詞｝嫂⑤瘙掃｛名詞｝潲𢜶｛快也｝						
tʃ	①招朝｛今~｝釗昭抓｛動詞丨手~｝召｛號~｝③找｛「抓」俗字｝抓｛同「找」字｝爪沼菬⑤笊肇兆趙照詔罩著｛舒化丨應答語也｝召｛~喚｝						
tʃʰ	①超鈔抄䜈｛~話｝②潮巢嘲槎｛浮~山｝朝｛~向｝晁③訬｛俗字「吵」｝吵｛「訬」俗字｝炒煼｛同「炒」｝⑤䜈｛又音｝抄｛又音｝鈔｛又音｝						
ʃ	①燒稍梢②紹｛介~｝韶③少｛多~｝⑤紹｛~興｝少｛年~｝邵哨						
ʒ	①繞咬｛淫聲非口嚼物｝②熬敖鰲饒③襖咬｛白讀丨齩之訛字｝繞｛又音｝擾⑤傲繞｛又音｝懊						
#io							
p	①瀌膘贆飆驃標彪③表婊裱⑤摽䞄｛~喫｝□{竊視也}						
pʰ	①鰾漂｛~浮｝飄殍螵瞟嘌②嫖螵瓢③縹瞟｛又音｝醥⑤票漂｛~亮｝剽						
mᵇ	①貓｛北鄉｝②描苗瞄③藐淼眇渺秒⑤謬妙廟繆						
t	①叼刁雕貂鵰凋鯛③鳥｛詈語丨俗字「屌」｝⑤調掉釣弔銚｛燒水~｝吊						
tʰ	①挑｛~選｝②調｛~頭｝條迢苕笤髫③窕挑｛~釁｝⑤跳眺糶｛~米丨售也｝粜｛「糶」俗字｝						
ȵ	②瞭遼燎聊寮寥鷯③鳥䩍｛面白曰~｝裊了潦⑤鐐溺｛俗字「尿」｝撂｛俗字｝廖料箬｛西鄉｝						
tɕ	①交澆｛~水｝膠焦嬌驕鷮椒鮫蕉郊教｛~書｝跤蛟佼昭｛展~｝③絞｛文丨~絲旁｝剿僥餃繳皎狡攪｛~動｝矯嬌｛又音｝漅｛謂巢湖也｝⑤叫教｛宗~｝㹾酵校｛學~｝窖轎覺｛睡~｝較噍｛咀嚼也｝						
tɕʰ	①鍫｛俗字「鍬」｝蹺｛~腿｝②瞧橋喬蕎譙轎｛~車丨小車也｝僑樵巢｛~湖，又去声｝③巧悄⑤翹俏鞘峭撬｛文讀｝						
ɕ	①澆｛「枵」本字丨薄也｝枵｛薄也丨本字「澆」｝消銷逍蕭簫囂瀟硝霄宵肖｛姓丨出自「蕭」｝②淆③小曉筱⑤肖笑孝校｛少~｝哮效嘯						
j	①幺吆妖腰要｛~求｝邀夭繞｛石塘包公鎮馬湖｝②姚堯遙徭瑤繇窯謠陶｛皋~｝搖肴窑｛「窯」俗字｝③窈杳齩｛文讀丨訛作咬｝舀⑤要｛索~｝鷂耀曜躍｛又音丨大~進｝						
#u							
p	①波菠播｛文丨~放｝③跛簸｛動詞｝⑤簸｛~箕｝播｛~籽｝						
pʰ	①坡②婆鄱③剖叵頗⑤破剖｛又音｝						
mᵇ	①摸｛~秋｝②無｛白讀丨單用｝魔磨｛~刀｝摩膜｛又｝模饃蘑摹③畝｛文讀｝母｛文讀｝某｛又音｝拇⑤磨｛石~｝墓慕募暮						
t	①多③朵｛又｝垛｛堆~｝躲⑤剁舵惰跺墮垛｛一~｝						
tʰ	①拖②駝馱坨沱庹｛姓｝③妥橢⑤唾						
l	②羅儸懦｛弱也｝騾哪｛~吒｝儸鑼那螺儺挪蘿邏腡③摞娜裸⑤糯｛又音｝懦｛愞之今字｝愞｛~弱｝						
k	①歌哥戈鍋渦｛地名丨~陽｝過｛單用丨逾越也｝③果粿猓夥｛西鄉音｝裹哿舸⑤個箇過幹{能~}						
kʰ	①顆科窠棵珂柯蝌稞軻③可坷⑤課嗑｛又音丨~瓜子｝						
x	①呵②禾何河和荷｛~花｝龢③火伙夥戽｛潑灑｝⑤荷｛負~｝和｛附~｝禍賀貨						
ŋ	③我｛文讀｝⑤外｛部分鄉鎮｝						
ts	③佐左⑤坐做座柞						
tsʰ	①飵｛相謁而食也｝蹉搓初②鋤昨痤③楚｛~國｝礎｛西鄉中三鎮｝⑤錯措厝銼祚挫						
s	①梳挱｛~開丨同挲｝挲｛~開丨同挱｝𥆝｛略視也丨又𥇇｝梭蓑｛~衣｝莎娑唆③數｛動詞｝楚｛清~丨又音｝鎖瑣所⑤數｛動詞｝						
	①屙阿｛~膠｝妸渦｛旋~｝莴窩倭②俄鵝訛｛差也，誤也｝娥蛾峨③我⑤臥餓外｛~頭；~爹｝						
#ʋ̍							
p	①□｛詈語丨童稚語｝③補哺捕⑤步布佈怖簿埠｛訛音｝部						
pʰ	①鋪孵｛白丨~小雞｝豧｛~氣｝②浮｛~泅｝葡蒲匍荸｛~薺｝菩③甫普訃｛又音｝埔浦譜哺｛又音｝溥莆蹼脯⑤鋪埠訃｛城關西鄉音｝						
mᵇ	③姥⑤墓慕募暮						
f	①夫麩孵｛文丨~化｝膚｛訛音｝敷俘②扶芙浮俘｛《安徽肥東古城方言同音字彙》載｝符③府輔斧撫腐釜阜膚⑤負富副父傅付附赴婦訃｛北鄉音｝						
#əʋ̍ᵝ							
t	①都｛~市｝嘟③睹賭堵肚暏⑤杜肚｛又音｝渡妒度						
tʰ	②圖屠途徒涂荼③吐土杜｛~狗｝⑤吐｛病~｝兔						
l	②廬｛文讀｝盧爐蘆奴鱸艫嚧③擼弩滷魯櫓擄虜乳｛又音｝鹵努⑤怒路露潞璐賂						
k	①沽辜姑菇咕酤孤箍｛看~丨今通語稱劉海｝③估牯古鼓賈｛商~｝蠱股⑤固故雇顧錮棝崮僱						
kʰ	①枯骷箍｛白丨打~｝③苦⑤絝庫褲						
x	①呼烀｛俗字｝②胡鬍蝴湖糊乎｛在~｝壺瑚猢壷醐弧葫狐③虎戽｛又音｝琥許｛聲也｝滸⑤護滬互瓠戶扈謼｛敷衍｝						
ʔ	①污烏鎢鄔誣洿巫塢②吳無｛文讀｝梧吾蜈③五伍武捂午焐舞侮鵡仵忤｛~逆｝⑤戊｛文讀｝誤焐霧毋務惡｛厭~｝悟汙晤痦寤						
ts	①租③組俎詛祖阻⑤助						
tsʰ	①粗③楚｛~國丨南鄉東鄉｝礎⑤醋悇｛憂也｝						
s	①疏｛「踈」俗字｝踈｛俗字「疏」｝蔬｛菜~｝蘇須{白}鬚{「須」}甦酥③楚｛清~丨南鄉東鄉｝⑤粟｛蘆~丨舒化｝素訴塑遡｛俗字「溯」｝溯嗉愫漱｛訛讀｝數｛數目｝						
tʃ	①諸豬株誅朱蛛珠③煮渚嘱主⑤著｛~書｝柱蛀住注駐註箸鑄｛文讀丨~鐵｝						
tʃʰ	①攄｛抒也丨予也丨通「捈」｝捈｛通「攄」｝姝②殊儲除蜍廚躕躇③杵薯鼠暑處｛相~｝褚黍⑤處｛~理｝悇｛又音｝						
ʃ	①書輸舒樞抒③曙署｛又音｝⑤樹竪庶恕戍墅署						
ʒ	②如濡茹儒蠕孺③乳｛文讀｝汝｛文讀｝						
#ᴇ							
p	③擺捭排⑤拜敗別｛有疑｝稗備｛~備｝罷｛有疑丨使不為｝						
pʰ	②牌排｛又音｝徘簰⑤派湃						
mᵇ	①□｛擬牛呼｝②埋霾③買⑤賣邁						
f	⑤□｛呼痛｝						
t	①懛｛俗字「呆」｝呆｛「懛」俗字丨又以為「嬯」｝③逮傣歹⑤呔｛俗字丨語氣詞丨呼人｝帶代大｛~王｝汏｛淘洗｝待戴貸袋黛殆岱怠						
tʰ	①台胎邰｛姓｝②臺檯颱抬苔⑤太｛「大」早期分化字｝態泰汰｛淘~丨「汏」分化字｝						
l	②來萊崍③乃廼嬭｛俗字「奶」｝扔｛引擢也：~草丨有疑｝奶｛「嬭」俗字｝⑤耐癩奈賴籟瀨藾睞						
k	①該街｛白讀丨~上｝賅枷｛南鄉東北鄉丨連~｝③改解｛白讀｝⑤蓋丐鈣戒｛白讀｝界｛白丨哪~｝鋸｛白讀｝疥痂｛白讀丨~渣｝箇｛《肥东古城方言共时音变研究》｝						
kʰ	①揩開③鎧凱楷⑤愾慨概溉						
x	②孩骸③蟹海亥｛辛~｝⑤害亥｛又音｝						
ŋ	①挨｛北鄉丨觸也｝哀｛北鄉｝埃｛北鄉｝②捱｛北鄉｝癌｛北鄉｝獃｛北鄉｝呆｛北鄉音丨「獃」俗字｝崖｛北鄉丨白讀｝岩｛北鄉丨白讀｝③矮｛北鄉｝挨｛北鄉丨~打｝⑤愛｛北鄉｝艾｛北鄉｝礙｛北鄉｝曖｛北鄉｝						
ʔ	①唉欸⑤哎嗳						
ts	①哉栽災③載宰⑤在再						
tsʰ	①猜②才纔財裁材③采採彩睬⑤菜蔡拆｛又音丨「𡍩」俗字｝						
s	①腮揌｛予也｝⑤賽塞｛~外｝						
tʃ	①齋遮｛東鄉｝蜘｛東鄉｝③者赭｛東鄉｝⑤債寨砦側｛除北鄉丨眼~｝柘蔗｛東鄉丨~糖｝鷓｛東鄉｝樜｛東鄉丨同「柘」｝						
tʃʰ	①車｛東鄉｝差｛出~｝釵②柴豺③撦扯｛東鄉音丨「撦」俗字｝跐｛俗字「踩」｝踩｛「跐」俗字｝⑤虿						
ʃ	①篩奢｛東鄉｝賒｛東鄉｝畬｛東鄉｝②蛇｛東鄉｝佘｛東鄉丨姓｝③捨｛東鄉音丨~不得｝⑤射｛東鄉｝曬赦｛東鄉｝社｛東鄉｝舍｛東鄉｝麝｛東鄉丨又音｝						
ʒ	①挨｛觸也｝哀埃②捱癌獃｛「俗」字呆｝呆｛「獃」俗字｝崖｛白讀｝岩｛白讀｝③矮惹｛東鄉｝挨｛~打｝若｛文丨般~丨東鄉音｝⑤愛艾礙						
#uᴇ							
k	①乖③拐踝｛骨~｝⑤劊｛又｝怪						
kʰ	②攜③蒯澮⑤膾塊快會｛~計｝筷劊						
x	②淮懷徊茴槐⑤壞						
tʃ	①□｛手足僵也｝③轉｛傲也丨字有疑｝⑤□｛拉也｝						
tʃʰ	①搋③跐｛又音｝踩｛又音｝揣⑤膪｛胖而行動不便｝踹						
ʃ	①衰③甩｛本字不詳｝傻｛又音丨石塘鎮｝⑤率｛俗｝帥｛將~｝						
	①竵｛俗字歪丨曉蟹合二平訛為烏乖切｝偎②□｛身壓也｝③踝｛傾倒不起丨有疑｝⑤喂｛呼人｝外｛~國｝						
ʒ	①□｛老人食貌｝⑤□｛老人食貌唇齒相摩貌丨古城｝						
#iᴇ							
tɕ	①皆稭街枷｛西鄉城關丨連~｝階③解｛~開｝⑤介｛又音｝械戒誡屆界解｛押~｝鋸｛白讀｝						
ɕ	②鞋諧⑤懈						
j	③也｛文讀｝冶｛文讀｝						
#ɯ							
mᵇ	①冇｛西鄉城關丨或「沒有」合音｝②謀｛文讀｝眸｛文讀｝③某｛文讀｝						
f	③否缶						
t	①都兜②團｛歡~丨不明本調｝糰｛歡~｝頭｛頭缀｝③抖斗蚪陡⑤鬥逗豆痘竇鬭｛聚也合也｝						
tʰ	①偷②頭投骰⑤透						
l	①摟②樓劉｛姓氏｝婁髅③僂｛佝~｝⑤漏鏤陋瘻						
