字目	读音	注释	声母	韵母	声调	(声母)	(声母序)	(韵母序)	(调序)	最后一个同音字?1为是	同音字汇(连字音beta!)	声韵组合	最后一个同音异调?1为是	同音字汇(同音异调!)	同音字汇连声韵
秘	pi21		p	i	21	p	1	1	5	0	秘	pi	0	[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比畀[4]被幣備憊婢[5]背{提重物}臂秘	pi[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比畀[4]被幣備憊婢[5]背{提重物}臂秘
泌	pi21		p	i	21	p	1	1	5	0	泌	pi	0	[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比畀[4]被幣備憊婢[5]背{提重物}臂秘泌	pi[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比畀[4]被幣備憊婢[5]背{提重物}臂秘泌
庇	pi21		p	i	21	p	1	1	5	0	庇	pi	0	[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比畀[4]被幣備憊婢[5]背{提重物}臂秘泌庇	pi[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比畀[4]被幣備憊婢[5]背{提重物}臂秘泌庇
痹	pi21		p	i	21	p	1	1	5	0	痹	pi	0	[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比畀[4]被幣備憊婢[5]背{提重物}臂秘泌庇痹	pi[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比畀[4]被幣備憊婢[5]背{提重物}臂秘泌庇痹
蔽	pi21		p	i	21	p	1	1	5	0	蔽	pi	0	[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比畀[4]被幣備憊婢[5]背{提重物}臂秘泌庇痹蔽	pi[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比畀[4]被幣備憊婢[5]背{提重物}臂秘泌庇痹蔽
費	pi21	白，姓	p	i	21	p	1	1	5	0	費{白，姓}	pi	0	[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比畀[4]被幣備憊婢[5]背{提重物}臂秘泌庇痹蔽費{白，姓}	pi[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比畀[4]被幣備憊婢[5]背{提重物}臂秘泌庇痹蔽費{白，姓}
仳	pi21		p	i	21	p	1	1	5	0	仳	pi	0	[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比畀[4]被幣備憊婢[5]背{提重物}臂秘泌庇痹蔽費{白，姓}仳	pi[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比畀[4]被幣備憊婢[5]背{提重物}臂秘泌庇痹蔽費{白，姓}仳
匕	pi21		p	i	21	p	1	1	5	0	匕	pi	0	[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比畀[4]被幣備憊婢[5]背{提重物}臂秘泌庇痹蔽費{白，姓}仳匕	pi[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比畀[4]被幣備憊婢[5]背{提重物}臂秘泌庇痹蔽費{白，姓}仳匕
閉	pi21	～塞	p	i	21	p	1	1	5	1	閉{～塞}	pi	0	[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比畀[4]被幣備憊婢[5]背{提重物}臂秘泌庇痹蔽費{白，姓}仳匕閉{～塞}	pi[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比畀[4]被幣備憊婢[5]背{提重物}臂秘泌庇痹蔽費{白，姓}仳匕閉{～塞}
弊	pi311		p	i	311	p	1	1	6	0	弊	pi	0	[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比畀[4]被幣備憊婢[5]背{提重物}臂秘泌庇痹蔽費{白，姓}仳匕閉{～塞}[6]弊	pi[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比畀[4]被幣備憊婢[5]背{提重物}臂秘泌庇痹蔽費{白，姓}仳匕閉{～塞}[6]弊
避	pi311		p	i	311	p	1	1	6	0	避	pi	0	[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比畀[4]被幣備憊婢[5]背{提重物}臂秘泌庇痹蔽費{白，姓}仳匕閉{～塞}[6]弊避	pi[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比畀[4]被幣備憊婢[5]背{提重物}臂秘泌庇痹蔽費{白，姓}仳匕閉{～塞}[6]弊避
斃	pi311		p	i	311	p	1	1	6	1	斃	pi	1	[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比畀[4]被幣備憊婢[5]背{提重物}臂秘泌庇痹蔽費{白，姓}仳匕閉{～塞}[6]弊避斃	pi[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比畀[4]被幣備憊婢[5]背{提重物}臂秘泌庇痹蔽費{白，姓}仳匕閉{～塞}[6]弊避斃
披	pʰi22		pʰ	i	22	pʰ	2	1	1	0	披	pʰi	0	[1]披	pʰi[1]披
丕	pʰi22		pʰ	i	22	pʰ	2	1	1	1	丕	pʰi	0	[1]披丕	pʰi[1]披丕
皮	pʰi44		pʰ	i	44	pʰ	2	1	2	0	皮	pʰi	0	[1]披丕[2]皮	pʰi[1]披丕[2]皮
脾	pʰi44	文，～气	pʰ	i	44	pʰ	2	1	2	0	脾{文，～气}	pʰi	0	[1]披丕[2]皮脾{文，～气}	pʰi[1]披丕[2]皮脾{文，～气}
疲	pʰi44		pʰ	i	44	pʰ	2	1	2	1	疲	pʰi	0	[1]披丕[2]皮脾{文，～气}疲	pʰi[1]披丕[2]皮脾{文，～气}疲
鄙	pʰi53		pʰ	i	53	pʰ	2	1	3	0	鄙	pʰi	0	[1]披丕[2]皮脾{文，～气}疲[3]鄙	pʰi[1]披丕[2]皮脾{文，～气}疲[3]鄙
痞	pʰi53		pʰ	i	53	pʰ	2	1	3	1	痞	pʰi	1	[1]披丕[2]皮脾{文，～气}疲[3]鄙痞	pʰi[1]披丕[2]皮脾{文，～气}疲[3]鄙痞
微	bi44		b	i	44	b	3	1	2	1	微	bi	0	[2]微	bi[2]微
米	bi53		b	i	53	b	3	1	3	1	米	bi	0	[2]微[3]米	bi[2]微[3]米
未	bi311		b	i	311	b	3	1	6	0	未	bi	0	[2]微[3]米[6]未	bi[2]微[3]米[6]未
味	bi311		b	i	311	b	3	1	6	1	味	bi	1	[2]微[3]米[6]未味	bi[2]微[3]米[6]未味
咪	mi22		m	i	22	m	4	1	1	1	咪	mi	0	[1]咪	mi[1]咪
迷	mi44		m	i	44	m	4	1	2	0	迷	mi	0	[1]咪[2]迷	mi[1]咪[2]迷
糜	mi44		m	i	44	m	4	1	2	0	糜	mi	0	[1]咪[2]迷糜	mi[1]咪[2]迷糜
棉	mi44		m	i	44	m	4	1	2	1	棉	mi	0	[1]咪[2]迷糜棉	mi[1]咪[2]迷糜棉
靡	mi53		m	i	53	m	4	1	3	1	靡	mi	0	[1]咪[2]迷糜棉[3]靡	mi[1]咪[2]迷糜棉[3]靡
謎	mi13		m	i	13	m	4	1	4	1	謎	mi	0	[1]咪[2]迷糜棉[3]靡[4]謎	mi[1]咪[2]迷糜棉[3]靡[4]謎
麵	mi311		m	i	311	m	4	1	6	0	麵	mi	0	[1]咪[2]迷糜棉[3]靡[4]謎[6]麵	mi[1]咪[2]迷糜棉[3]靡[4]謎[6]麵
麪	mi311	～条	m	i	311	m	4	1	6	1	麪{～条}	mi	1	[1]咪[2]迷糜棉[3]靡[4]謎[6]麵麪{～条}	mi[1]咪[2]迷糜棉[3]靡[4]謎[6]麵麪{～条}
低	ti22		t	i	22	t	9	1	1	0	低	ti	0	[1]低	ti[1]低
猪	ti22	白：～胆，形容物品极苦	t	i	22	t	9	1	1	0	猪{白：～胆，形容物品极苦}	ti	0	[1]低猪{白：～胆，形容物品极苦}	ti[1]低猪{白：～胆，形容物品极苦}
知	ti22		t	i	22	t	9	1	1	0	知	ti	0	[1]低猪{白：～胆，形容物品极苦}知	ti[1]低猪{白：～胆，形容物品极苦}知
蜘	ti22		t	i	22	t	9	1	1	1	蜘	ti	0	[1]低猪{白：～胆，形容物品极苦}知蜘	ti[1]低猪{白：～胆，形容物品极苦}知蜘
弟	ti44		t	i	44	t	9	1	2	0	弟	ti	0	[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟	ti[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟
池	ti44		t	i	44	t	9	1	2	0	池	ti	0	[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟池	ti[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟池
遞	ti44		t	i	44	t	9	1	2	1	遞	ti	0	[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟池遞	ti[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟池遞
底	ti53		t	i	53	t	9	1	3	0	底	ti	0	[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟池遞[3]底	ti[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟池遞[3]底
抵	ti53		t	i	53	t	9	1	3	0	抵	ti	0	[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟池遞[3]底抵	ti[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟池遞[3]底抵
徵	ti53	～羽	t	i	53	t	9	1	3	0	徵{～羽}	ti	0	[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟池遞[3]底抵徵{～羽}	ti[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟池遞[3]底抵徵{～羽}
詆	ti53		t	i	53	t	9	1	3	1	詆	ti	0	[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟池遞[3]底抵徵{～羽}詆	ti[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟池遞[3]底抵徵{～羽}詆
弟	ti13		t	i	13	t	9	1	4	0	弟	ti	0	[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟池遞[3]底抵徵{～羽}詆[4]弟	ti[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟池遞[3]底抵徵{～羽}詆[4]弟
遞	ti13		t	i	13	t	9	1	4	0	遞	ti	0	[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟池遞[3]底抵徵{～羽}詆[4]弟遞	ti[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟池遞[3]底抵徵{～羽}詆[4]弟遞
隸	ti13		t	i	13	t	9	1	4	0	隸	ti	0	[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟池遞[3]底抵徵{～羽}詆[4]弟遞隸	ti[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟池遞[3]底抵徵{～羽}詆[4]弟遞隸
娣	ti13		t	i	13	t	9	1	4	1	娣	ti	0	[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟池遞[3]底抵徵{～羽}詆[4]弟遞隸娣	ti[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟池遞[3]底抵徵{～羽}詆[4]弟遞隸娣
戴	ti21	白，戴帽子的动词。注意：戴，专指把东西放在头上，戴手套、戴口罩、戴表等都不用此音	t	i	21	t	9	1	5	0	戴{白，戴帽子的动词。注意：戴，专指把东西放在头上，戴手套、戴口罩、戴表等都不用此音}	ti	0	[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟池遞[3]底抵徵{～羽}詆[4]弟遞隸娣[5]戴{白，戴帽子的动词。注意：戴，专指把东西放在头上，戴手套、戴口罩、戴表等都不用此音}	ti[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟池遞[3]底抵徵{～羽}詆[4]弟遞隸娣[5]戴{白，戴帽子的动词。注意：戴，专指把东西放在头上，戴手套、戴口罩、戴表等都不用此音}
帝	ti21		t	i	21	t	9	1	5	0	帝	ti	0	[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟池遞[3]底抵徵{～羽}詆[4]弟遞隸娣[5]戴{白，戴帽子的动词。注意：戴，专指把东西放在头上，戴手套、戴口罩、戴表等都不用此音}帝	ti[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟池遞[3]底抵徵{～羽}詆[4]弟遞隸娣[5]戴{白，戴帽子的动词。注意：戴，专指把东西放在头上，戴手套、戴口罩、戴表等都不用此音}帝
致	ti21		t	i	21	t	9	1	5	0	致	ti	0	[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟池遞[3]底抵徵{～羽}詆[4]弟遞隸娣[5]戴{白，戴帽子的动词。注意：戴，专指把东西放在头上，戴手套、戴口罩、戴表等都不用此音}帝致	ti[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟池遞[3]底抵徵{～羽}詆[4]弟遞隸娣[5]戴{白，戴帽子的动词。注意：戴，专指把东西放在头上，戴手套、戴口罩、戴表等都不用此音}帝致
置	ti21		t	i	21	t	9	1	5	0	置	ti	0	[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟池遞[3]底抵徵{～羽}詆[4]弟遞隸娣[5]戴{白，戴帽子的动词。注意：戴，专指把东西放在头上，戴手套、戴口罩、戴表等都不用此音}帝致置	ti[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟池遞[3]底抵徵{～羽}詆[4]弟遞隸娣[5]戴{白，戴帽子的动词。注意：戴，专指把东西放在头上，戴手套、戴口罩、戴表等都不用此音}帝致置
寘	ti21		t	i	21	t	9	1	5	0	寘	ti	0	[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟池遞[3]底抵徵{～羽}詆[4]弟遞隸娣[5]戴{白，戴帽子的动词。注意：戴，专指把东西放在头上，戴手套、戴口罩、戴表等都不用此音}帝致置寘	ti[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟池遞[3]底抵徵{～羽}詆[4]弟遞隸娣[5]戴{白，戴帽子的动词。注意：戴，专指把东西放在头上，戴手套、戴口罩、戴表等都不用此音}帝致置寘
智	ti21		t	i	21	t	9	1	5	0	智	ti	0	[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟池遞[3]底抵徵{～羽}詆[4]弟遞隸娣[5]戴{白，戴帽子的动词。注意：戴，专指把东西放在头上，戴手套、戴口罩、戴表等都不用此音}帝致置寘智	ti[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟池遞[3]底抵徵{～羽}詆[4]弟遞隸娣[5]戴{白，戴帽子的动词。注意：戴，专指把东西放在头上，戴手套、戴口罩、戴表等都不用此音}帝致置寘智
締	ti21		t	i	21	t	9	1	5	1	締	ti	0	[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟池遞[3]底抵徵{～羽}詆[4]弟遞隸娣[5]戴{白，戴帽子的动词。注意：戴，专指把东西放在头上，戴手套、戴口罩、戴表等都不用此音}帝致置寘智締	ti[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟池遞[3]底抵徵{～羽}詆[4]弟遞隸娣[5]戴{白，戴帽子的动词。注意：戴，专指把东西放在头上，戴手套、戴口罩、戴表等都不用此音}帝致置寘智締
地	ti311		t	i	311	t	9	1	6	0	地	ti	0	[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟池遞[3]底抵徵{～羽}詆[4]弟遞隸娣[5]戴{白，戴帽子的动词。注意：戴，专指把东西放在头上，戴手套、戴口罩、戴表等都不用此音}帝致置寘智締[6]地	ti[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟池遞[3]底抵徵{～羽}詆[4]弟遞隸娣[5]戴{白，戴帽子的动词。注意：戴，专指把东西放在头上，戴手套、戴口罩、戴表等都不用此音}帝致置寘智締[6]地
自	ti311	训：家～（自己）	t	i	311	t	9	1	6	0	自{训：家～（自己）}	ti	0	[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟池遞[3]底抵徵{～羽}詆[4]弟遞隸娣[5]戴{白，戴帽子的动词。注意：戴，专指把东西放在头上，戴手套、戴口罩、戴表等都不用此音}帝致置寘智締[6]地自{训：家～（自己）}	ti[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟池遞[3]底抵徵{～羽}詆[4]弟遞隸娣[5]戴{白，戴帽子的动词。注意：戴，专指把东西放在头上，戴手套、戴口罩、戴表等都不用此音}帝致置寘智締[6]地自{训：家～（自己）}
治	ti311		t	i	311	t	9	1	6	1	治	ti	1	[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟池遞[3]底抵徵{～羽}詆[4]弟遞隸娣[5]戴{白，戴帽子的动词。注意：戴，专指把东西放在头上，戴手套、戴口罩、戴表等都不用此音}帝致置寘智締[6]地自{训：家～（自己）}治	ti[1]低猪{白：～胆，形容物品极苦}知蜘[2]弟池遞[3]底抵徵{～羽}詆[4]弟遞隸娣[5]戴{白，戴帽子的动词。注意：戴，专指把东西放在头上，戴手套、戴口罩、戴表等都不用此音}帝致置寘智締[6]地自{训：家～（自己）}治
黐	tʰi22	浓稠	tʰ	i	22	tʰ	10	1	1	1	黐{浓稠}	tʰi	0	[1]黐{浓稠}	tʰi[1]黐{浓稠}
苔	tʰi44		tʰ	i	44	tʰ	10	1	2	0	苔	tʰi	0	[1]黐{浓稠}[2]苔	tʰi[1]黐{浓稠}[2]苔
馳	tʰi44	又	tʰ	i	44	tʰ	10	1	2	0	馳{又}	tʰi	0	[1]黐{浓稠}[2]苔馳{又}	tʰi[1]黐{浓稠}[2]苔馳{又}
提	tʰi44		tʰ	i	44	tʰ	10	1	2	0	提	tʰi	0	[1]黐{浓稠}[2]苔馳{又}提	tʰi[1]黐{浓稠}[2]苔馳{又}提
啼	tʰi44		tʰ	i	44	tʰ	10	1	2	0	啼	tʰi	0	[1]黐{浓稠}[2]苔馳{又}提啼	tʰi[1]黐{浓稠}[2]苔馳{又}提啼
持	tʰi44		tʰ	i	44	tʰ	10	1	2	1	持	tʰi	0	[1]黐{浓稠}[2]苔馳{又}提啼持	tʰi[1]黐{浓稠}[2]苔馳{又}提啼持
體	tʰi53		tʰ	i	53	tʰ	10	1	3	1	體	tʰi	0	[1]黐{浓稠}[2]苔馳{又}提啼持[3]體	tʰi[1]黐{浓稠}[2]苔馳{又}提啼持[3]體
痔	tʰi13		tʰ	i	13	tʰ	10	1	4	1	痔	tʰi	0	[1]黐{浓稠}[2]苔馳{又}提啼持[3]體[4]痔	tʰi[1]黐{浓稠}[2]苔馳{又}提啼持[3]體[4]痔
□	tʰi21	撕	tʰ	i	21	tʰ	10	1	5	0	□{撕}	tʰi	0	[1]黐{浓稠}[2]苔馳{又}提啼持[3]體[4]痔[5]□{撕}	tʰi[1]黐{浓稠}[2]苔馳{又}提啼持[3]體[4]痔[5]□{撕}
替	tʰi21	仅用于代（tʰoi阴去）～，前字本字为“替”	tʰ	i	21	tʰ	10	1	5	0	替{仅用于代（tʰoi阴去）～，前字本字为“替”}	tʰi	0	[1]黐{浓稠}[2]苔馳{又}提啼持[3]體[4]痔[5]□{撕}替{仅用于代（tʰoi阴去）～，前字本字为“替”}	tʰi[1]黐{浓稠}[2]苔馳{又}提啼持[3]體[4]痔[5]□{撕}替{仅用于代（tʰoi阴去）～，前字本字为“替”}
剃	tʰi21		tʰ	i	21	tʰ	10	1	5	0	剃	tʰi	0	[1]黐{浓稠}[2]苔馳{又}提啼持[3]體[4]痔[5]□{撕}替{仅用于代（tʰoi阴去）～，前字本字为“替”}剃	tʰi[1]黐{浓稠}[2]苔馳{又}提啼持[3]體[4]痔[5]□{撕}替{仅用于代（tʰoi阴去）～，前字本字为“替”}剃
滯	tʰi21		tʰ	i	21	tʰ	10	1	5	0	滯	tʰi	0	[1]黐{浓稠}[2]苔馳{又}提啼持[3]體[4]痔[5]□{撕}替{仅用于代（tʰoi阴去）～，前字本字为“替”}剃滯	tʰi[1]黐{浓稠}[2]苔馳{又}提啼持[3]體[4]痔[5]□{撕}替{仅用于代（tʰoi阴去）～，前字本字为“替”}剃滯
屜	tʰi21		tʰ	i	21	tʰ	10	1	5	0	屜	tʰi	0	[1]黐{浓稠}[2]苔馳{又}提啼持[3]體[4]痔[5]□{撕}替{仅用于代（tʰoi阴去）～，前字本字为“替”}剃滯屜	tʰi[1]黐{浓稠}[2]苔馳{又}提啼持[3]體[4]痔[5]□{撕}替{仅用于代（tʰoi阴去）～，前字本字为“替”}剃滯屜
啻	tʰi21		tʰ	i	21	tʰ	10	1	5	0	啻	tʰi	0	[1]黐{浓稠}[2]苔馳{又}提啼持[3]體[4]痔[5]□{撕}替{仅用于代（tʰoi阴去）～，前字本字为“替”}剃滯屜啻	tʰi[1]黐{浓稠}[2]苔馳{又}提啼持[3]體[4]痔[5]□{撕}替{仅用于代（tʰoi阴去）～，前字本字为“替”}剃滯屜啻
涕	tʰi21		tʰ	i	21	tʰ	10	1	5	0	涕	tʰi	0	[1]黐{浓稠}[2]苔馳{又}提啼持[3]體[4]痔[5]□{撕}替{仅用于代（tʰoi阴去）～，前字本字为“替”}剃滯屜啻涕	tʰi[1]黐{浓稠}[2]苔馳{又}提啼持[3]體[4]痔[5]□{撕}替{仅用于代（tʰoi阴去）～，前字本字为“替”}剃滯屜啻涕
翅	tʰi21	鸡～木	tʰ	i	21	tʰ	10	1	5	1	翅{鸡～木}	tʰi	1	[1]黐{浓稠}[2]苔馳{又}提啼持[3]體[4]痔[5]□{撕}替{仅用于代（tʰoi阴去）～，前字本字为“替”}剃滯屜啻涕翅{鸡～木}	tʰi[1]黐{浓稠}[2]苔馳{又}提啼持[3]體[4]痔[5]□{撕}替{仅用于代（tʰoi阴去）～，前字本字为“替”}剃滯屜啻涕翅{鸡～木}
哩	li22		l	i	22	l	11	1	1	1	哩	li	0	[1]哩	li[1]哩
黎	li44		l	i	44	l	11	1	2	0	黎	li	0	[1]哩[2]黎	li[1]哩[2]黎
璃	li44		l	i	44	l	11	1	2	0	璃	li	0	[1]哩[2]黎璃	li[1]哩[2]黎璃
厘	li44		l	i	44	l	11	1	2	0	厘	li	0	[1]哩[2]黎璃厘	li[1]哩[2]黎璃厘
狸	li44		l	i	44	l	11	1	2	0	狸	li	0	[1]哩[2]黎璃厘狸	li[1]哩[2]黎璃厘狸
麗	li44	高～：人参	l	i	44	l	11	1	2	0	麗{高～：人参}	li	0	[1]哩[2]黎璃厘狸麗{高～：人参}	li[1]哩[2]黎璃厘狸麗{高～：人参}
離	li44		l	i	44	l	11	1	2	0	離	li	0	[1]哩[2]黎璃厘狸麗{高～：人参}離	li[1]哩[2]黎璃厘狸麗{高～：人参}離
籬	li44		l	i	44	l	11	1	2	0	籬	li	0	[1]哩[2]黎璃厘狸麗{高～：人参}離籬	li[1]哩[2]黎璃厘狸麗{高～：人参}離籬
喱	li44		l	i	44	l	11	1	2	0	喱	li	0	[1]哩[2]黎璃厘狸麗{高～：人参}離籬喱	li[1]哩[2]黎璃厘狸麗{高～：人参}離籬喱
儷	li44		l	i	44	l	11	1	2	0	儷	li	0	[1]哩[2]黎璃厘狸麗{高～：人参}離籬喱儷	li[1]哩[2]黎璃厘狸麗{高～：人参}離籬喱儷
漓	li44		l	i	44	l	11	1	2	1	漓	li	0	[1]哩[2]黎璃厘狸麗{高～：人参}離籬喱儷漓	li[1]哩[2]黎璃厘狸麗{高～：人参}離籬喱儷漓
旅	li53	文，仅用于“～游”，该读音也说lu3	l	i	53	l	11	1	3	0	旅{文，仅用于“～游”，该读音也说lu3}	li	0	[1]哩[2]黎璃厘狸麗{高～：人参}離籬喱儷漓[3]旅{文，仅用于“～游”，该读音也说lu3}	li[1]哩[2]黎璃厘狸麗{高～：人参}離籬喱儷漓[3]旅{文，仅用于“～游”，该读音也说lu3}
履	li53		l	i	53	l	11	1	3	0	履	li	0	[1]哩[2]黎璃厘狸麗{高～：人参}離籬喱儷漓[3]旅{文，仅用于“～游”，该读音也说lu3}履	li[1]哩[2]黎璃厘狸麗{高～：人参}離籬喱儷漓[3]旅{文，仅用于“～游”，该读音也说lu3}履
里	li53		l	i	53	l	11	1	3	0	里	li	0	[1]哩[2]黎璃厘狸麗{高～：人参}離籬喱儷漓[3]旅{文，仅用于“～游”，该读音也说lu3}履里	li[1]哩[2]黎璃厘狸麗{高～：人参}離籬喱儷漓[3]旅{文，仅用于“～游”，该读音也说lu3}履里
理	li53		l	i	53	l	11	1	3	0	理	li	0	[1]哩[2]黎璃厘狸麗{高～：人参}離籬喱儷漓[3]旅{文，仅用于“～游”，该读音也说lu3}履里理	li[1]哩[2]黎璃厘狸麗{高～：人参}離籬喱儷漓[3]旅{文，仅用于“～游”，该读音也说lu3}履里理
