1890會城			IPA		註釋			translit.	San-wúí		Cantone Sound			
昌	Ch'	öng	tʃʰ	œŋ			60	choeng	(Ch'öng)	昌	ch′öng		18	倡 and 娼 have the same pronunciation, while 窗 is pronounced ts‘ong.
倡	Ch'	öng	tʃʰ	œŋ										
娼	Ch'	öng	tʃʰ	œŋ										
窗	Ts'	ong	tsʰ	ɔŋ										
追	Ch	úí	tʃ	ui			61	zhui	(Chúí)	追	chui			
廚	Ch'	uí	tʃʰ	ʊi			62	cheoi	(Ch'uí)	廚	ch′ü		19	In pronouncing the word 處 the lips seem to be more closed as chúí.
處	Ch'	úí	tʃʰ	ui										
吹	Ch'	úí	tʃʰ	ui			63	chui	(Ch'úí)	吹	ch′uí			
竹	Ch	uk	tʃ	ʊk			64	zhuk	(Chuk)	竹	chuk		20	捉 is pronounced chok.
捉	Ch	ok	tʃ	ɔk										
畜	Ch'	uk	tʃʰ	ʊk			65	chuk	(Ch'uk)	畜	ch′uk			
準	Ch	ún	tʃ	un	會城音		66	zhun	(Chún)	準	chun		21	21,22, and 23. These three classes are also pronounced in San-wúí city and N.E as chen (lst and 3rd), and ch‘en (2nd) respectlvely.
準	Ch	en	tʃ	ɜn	會城音，又音									
準	Ch	ún	tʃ	un	會西南音									
準	Ch	en	tʃ	ɜn	會西南音，又音									
春	Ch'	ún	tʃʰ	un	會城音		67	chun	(Ch'ún)	春	ch′un		22	21,22, and 23. These three classes are also pronounced in San-wúí city and N.E as chen (lst and 3rd), and ch‘en (2nd) respectlvely.
春	Ch'	en	tʃʰ	ɜn	會城音，又音									
春	Ch'	ún	tʃʰ	un	會西南音									
春	Ch'	en	tʃʰ	ɜn	會西南音，又音									
串	Ch'	ún	tʃʰ	un	會城音		67	chun	(Ch'ún)	串	ch′ün		23	21,22, and 23. These three classes are also pronounced in San-wúí city and N.E as chen (lst and 3rd), and ch‘en (2nd) respectlvely.
串	Ch'	en	tʃʰ	ɜn	會城音，又音									
串	Ch'	ún	tʃʰ	un	會西南音									
串	Ch'	en	tʃʰ	ɜn	會西南音，又音									
中	Ch	ung	tʃ	ʊŋ			68	zhung	(Chung)	中	chung			
蟲	Ch'	ung	tʃʰ	ʊŋ			69	chung	(Ch'ung)	蟲	ch′ung			
出	Ch'	út	tʃʰ	ut			70	chut	(Ch'út)	出	ch′ut		24	In the city it is also pronounced as ch‘et.
出	Ch'	et	tʃʰ	ɜt	又音									
	F													
花	F	á	f	a			71	faa	(Fá)	花	fá		25	火 is pronounced fá in Kong-mún, as well as fe.
塊	F	áí	f	ai			72	faai	(Fáí)	塊	fáí			
拂	F	ák	f	ak			73	faak	(Fák)	拂	fák			
凡	F	án	f	an			74	faan	(Fán)	凡	fán			
捹	F	áng	f	aŋ			75	faang	(Fáng)	捹	fáng			
宏	F	áng	f	aŋ			75	faang	(Fáng)	宏	wang			
法	F	át	f	at			76	faat	(Fát)	法	fát			
浮	F	áu	f	aʊ			77	faau	(Fáu)	浮	faú			
非	F	éí	f	ei	會城音		78	fei	(Féí)	非	féí		26	In S.W. pronounced fúí.
非	F	úí	f	ui	會西南音									
闊	F	et	f	ɛt			79	fet	(Fet)	闊	fút			
火	F	o	f	ɔ	會城音		80	fo	(Fo)	火	fo		27	ln Kong-mún pronounced fá, or fe. See also ko.
火	F	á	f	a	江門音									
火	F	e	f	ɛ	江門音									
矍	F	ok	f	ɔk			81	fok	(Fok)	矍	fok			
方	F	ong	f	ɔŋ			82	fong	(Fong)	方	fong			
父	F	ú	f	u			83	fu	(Fú)	父	fú			
費	F	úí	f	ui	會城音		84	fui	(Fúí)	費	faí			
費	F	aí	f	ɐi	會城音，又音									
費	F	úí	f	ui	會東北音									
費	F	aí	f	ɐi	會東北音，又音									
吠	F	úí	f	ui	書面語									
吠	P	uí	f	ʊi	口語									
灰	F	úí	f	ui			84	fui	(Fúí)	灰	fuí		28	The first class in the city and N.E. are pronounced faí, as well as fúí. Also note that 吠 though pronounced fúí in the book language is púí in the colloquial. In the 2nd class 賄 is pronounced hoí.
賄	H	oí	h	ɔi										
福	F	uk	f	ʊk			85	fuk	(Fuk)	福	fuk			
分	F	ún	f	un			86	fun	(Fún)	分	fan			
寬	F	ún	f	un	會城音		86	fun	(Fún)	寬	fún		29	The second class is pronounced fen in the S. W. See also Wan.
寬	F	en	f	ɛn	會西南音									
風	F	úng	f	uŋ	上去聲		87	fung	(Fúng)	風	fung			
風	F	úng	f	uŋ	下去聲									
𩗴	F	úng	f	uŋ			87	fung	(Fúng)	𩗴	pung		30	In speaking of the south wind they say nám fung꜄, and of the north, pak fung꜅ sometimes, though more often pak fung꜄.
	H													
下	H	á	h	a			88	haa	(Há)	下	há			
他	H	á	h	a			88	haa	(Há)	他	t′á		31	In speaking of salt shrimps, they say hám má instead of hám há, but this does not obtain in San-wúí city. See also Ts‘ui, and Ts‘ui.
蝦	H	á	h	a										
係	H	aí	h	ɐi			89	hai	(Haí)	係	haí			
鞋	H	áí	h	ai			90	haai	(Háí)	鞋	háí			
啼	H	áí	h	ai			90	haai	(Háí)	啼	t′aí			
太	H	áí	h	ai			90	haai	(Háí)	太	t′áí			
黑	H	ak	h	ɐk			91	hak	(Hak)	黑	hak			
客	H	ák	h	ak			92	haak	(Hák)	客	hák			
咸	H	ám	h	am			93	haam	(Hám)	咸	ham			
氹	H	ám	h	am			93	haam	(Hám)	氹	t′am			
貪	H	ám	h	am			93	haam	(Hám)	貪	t′ám			
恨	H	an	h	ɐn			94	han	(Han)	恨	han		32	痕 is, however, haí in the S.W., and háí in the city.
痕	H	aí	h	ɐi	會西南音									
痕	H	áí	h	ai	會城音									
閒	H	án	h	an			95	haan	(Hán)	閒	hán			
莧	H	án	h	an			95	haan	(Hán)	莧	yín or ín			
炭	H	án	h	an			95	haan	(Hán)	炭	t′án			
亨	H	áng	h	aŋ			96	haang	(Háng)	亨	hang			
坑	H	áng	h	aŋ			96	haang	(Háng)	坑	háng			
藤	H	áng	h	aŋ			96	haang	(Háng)	藤	t′ang			
恰	H	ap	h	ɐp			97	hap	(Hap)	恰	hap			
峽	H	áp	h	ap			98	haap	(Háp)	峽	háp			
合	H	áp	h	ap			98	haap	(Háp)	合	hòp			
搭	H	áp	h	ap			98	haap	(Háp)	搭	t′áp			
乞	H	at	h	ɐt			99	hat	(Hat)	乞	hat			
核	H	át	h	at			100	haat	(Hát)	核	hat		33	In the S W. pronounced also hat : meaning a seed, it is pronounced wút
核	W	út	w	ut	種子									
撻	H	át	h	at			100	haat	(Hát)	撻	t′át			
口	H	áu	h	aʊ			101	haau	(Háu)	口	haú			
考	H	áu	h	aʊ			101	haau	(Háu)	考	háú			
偷	H	áu	h	aʊ			101	haau	(Háu)	偷	t′aú		34	This is t′aú as well, but generally as above.
逃	H	áu	h	aʊ			101	haau	(Háu)	逃	t′ò			
偷	T'	áu	tʰ	aʊ	又音tʰaʊ，但通常讀haʊ									
逃	T'	áu	tʰ	aʊ	又音tʰaʊ，但通常讀haʊ									
靴	H	e	h	ɛ	會城音		102	he	(He)	靴	hö		35	Pronounced like hai in the English word hair. In the S.W. this is Heá. The sound is as if the English word hair were pronounced very slowly. In San-wúí city and N.E. it is hö. At Kong-mún it is hö.
靴	H	eá	h	ɛa	會西南音									
靴	H	ö	h	œ	會城音，又音									
靴	H	ö	h	œ	會東北音									
靴	H	ö	h	œ	江門音									
㕔	H	eng	h	ɛŋ			103	heng	(Heng)	㕔	heng			
香	H	öng	h	œŋ			104	hoeng	(Höng)	香	höng			
喜	H	éí	h	ei			105	hei	(Héí)	喜	héí			
喫	H	iak	h	ɪɐk			106	hiak	(Hiak)	喫	yák			
欠	H	ím	h	im			107	him	(Hím)	欠	hím			
添	H	ím	h	im			107	him	(Hím)	添	t′ím			
顯	H	ín	h	in			108	hin	(Hín)	顯	hín			
天	H	ín	h	in			108	hin	(Hín)	天	t′ín			
兄	H	ing	h	ɪŋ			109	hing	(Hing)	兄	hing			
協	H	íp	h	ip			110	hip	(Híp)	協	híp			
帖	H	íp	h	ip			110	hip	(Híp)	帖	t′íp		36	Sometimes this is t'íp in this district of the country as well as at Canton. See Ying.
帖	T'	íp	tʰ	ip	又音，有時音同廣州									
*	H'	íp	hʰ	ip			111							
歇	H	ít	h	it			112	hit	(Hít)	歇	hít			
鐵	H	ít	h	it			112	hit	(Hít)	鐵	t′ít			
曉	H	íú	h	iu			113	hiu	(Híú)	曉	híú			
條	H	íú	h	iu			113	hiu	(Híú)	條	t′íú			
何	H	o	h	ɔ			114	ho	(Ho)	何	ho			
拕	H	o	h	ɔ			114	ho	(Ho)	拕	t′o			
好	H	ò	h	o			115	hou	(Hò)	好	hò			
圖	H	ò	h	o			115	hou	(Hò)	圖	t′ò			
*	H	ö	h	œ			116							
開	H	oí	h	ɔi			117	hoi	(Hoí)	開	hoí			
胎	H	oí	h	ɔi			117	hoi	(Hoí)	胎	t′oí		37	This is pronounced t′oí, but seldom.
胎	T'	oi	tʰ	ɔɪ	又音，甚少									
學	H	ok	h	ɔk			118	hok	(Hok)	學	hok			
托	H	ok	h	ɔk			118	hok	(Hok)	托	t′ok		38	This is also pronounced t‘ok sometimes.
托	T'	ok	tʰ	ɔk	又音，有時									
含	H	òm	h	om			119	hoom	(Hòm)	含	hòm			
看	H	on	h	ɔn			120	hon	(Hon)	看	hòn			
團	H	on	h	ɔn			120	hon	(Hon)	團	t′ün			
行	H	ong	h	ɔŋ			121	hong	(Hong)	行	hong			
湯	H	ong	h	ɔŋ			121	hong	(Hong)	湯	t′ong			
脫	H	òt	h	ot			122	hoot	(Hòt)	喝	hot			
喝	H	òt	h	ot			122	hoot	(Hòt)	脫	t′üt			
墟	H	uí	h	ʊi			123	heoi	(Huí)	墟	huí			
哭	H	uk	h	ʊk			124	huk	(Huk)	哭	huk			
禿	H	uk	h	ʊk			124	huk	(Huk)	禿	t′uk			
犬	H	ún	h	un			125	hun	(Hún)	犬	hün			
吞	H	ún	h	un			125	hun	(Hún)	吞	t′an			
𣎀	H	ún	h	un			125	hun	(Hún)	𣎀	t′ün			
兇	H	ung	h	ʊŋ			126	hung	(Hung)	兇	hung			
血	H	üt	h	yt			127	hyut	(Hüt)	血	hüt			
	I													
*		Í	ʔ	i										
*		Íp	ʔ	ip										
*		Íu	ʔ	iʊ										
	K													
加	K	á	k	a			131	gaa	(Ká)	加	ká		39	See Kwé.
誇	K'	á	kʰ	a			132	kaa	(K'á)	誇	kwá		40	The better educated pronounce it as in Cantonese.
誇	K'w	á	kʰʷ	a	受過更好教育的人音同廣州									
個	K	aí	k	ɐi	祇有會東北音如此讀作		133	gai	(Kaí)	個	ko		41	This is the sound of the first class of words in No. 175 in the N.E. district only. See Koi.
啟	K'	aí	kʰ	ɐi			134	kai	(K'aí)	啟	k′áí			
鷄	K	áí	k	ai			135	gaai	(Káí)	鷄	kaí			
皆	K	áí	k	ai			135	gaai	(Káí)	皆	káí			
𢬿	K'	áí	kʰ	ai			136	kaai	(K'áí)	𢬿	k′áí			
喀	K'	ak	kʰ	ɐk			137	kak	(K'ak)	喀	k′ak			
革	K	ák	k	ak			138	gaak	(Kák)	革	kák			
摑	K	ák	k	ak			138	gaak	(Kák)	摑	kwák		42	The better educated pronounce this as in Canton.
摑	Kw	ák	kʷ	ak	受過更好教育的人音同廣州									
𠹸	K'	am	kʰ	ɐm			139	kam	(K'am)	𠹸	k′am		43	妗 becomes K‘em.
妗	K'	em	kʰ	ɛm										
監	K	ám	k	am			140	gaam	(Kám)	監	kám			
*	K	an	k	ɐn										
奸	K	án	k	an			142	gaan	(Kán)	奸	kán			
更	K	áng	k	aŋ			143	gaang	(Káng)	更	kang			
耕	K	áng	k	aŋ			143	gaang	(Káng)	耕	káng			
掯	K'	áng	kʰ	aŋ			144	kaang	(K'áng)	掯	kang			
逛	K'	áng	kʰ	aŋ			144	kaang	(K'áng)	逛	kwáng		44	The 2nd class is pronounced as K‘wang, or K‘wáng as well.
逛	K'w	ang	kʰʷ	ɐŋ	又音									
逛	K'w	áng	kʰʷ	aŋ	又音									
夾	K	áp	k	ap			145	gaap	(Káp)	夾	káp			
合	K	áp	k	ap			145	gaap	(Káp)	合	kòp			
*	K'	áp	kʰ	ap										
甴	K	át	k	at			147	gaat	(Kát)	甴	kát		45	See also Kwat.
溝	K	áu	k	aʊ			148	gaau	(Káu)	溝	kaú		46	Some of the words which come under the first class in Canton are, however, pronounced keu in the San-wúí Dialect, 九, and 狗 are keu, the latter is however pronounced kau in the S.W. part of the district.
溝	K	eu	k	ɛʊ	仿廣州音									
九	K	eu	k	ɛʊ										
狗	K	eu	k	ɛʊ										
交	K	áu	k	aʊ	會城音		148	gaau	(Káu)	交	káú			
交	K	au	k	ɐʊ	會西南音									
摳	K'	áu	kʰ	aʊ			149	kaau	(K'áu)	摳	k′aú		47	求 is K‘eu in the S.W. In the city k‘íú generally.
求	K'	eu	kʰ	ɛʊ	會西南音									
求	K'	íú	kʰ	iu	會城音，通常									
基	K	éí	k	ei			150	gei	(Kéí)	基	kéí		48	See also Kwúí, and K‘wúí.
其	K'	éí	kʰ	ei			151	kei	(K'éí)	其	k′éí			
金	K	em	k	ɛm			152	gem	(Kem)	金	kam			
琴	K'	em	kʰ	ɛm			153	kem	(K'em)	琴	k′am			
巾	K	en	k	ɛn			154	gen	(Ken)	巾	kan			
勤	K'	en	kʰ	ɛn			155	ken	(K'en)	勤	k′an			
薑	K	eng	k	ɛŋ			156	geng	(Keng)	薑	köng		49	See Köng, No. 188 Note.
急	K	ep	k	ɛp	會城音		157	gep	(Kep)	急	kap		50	Pronounced kip as well in San-Wúí City, and kíp only in the N.E. of the District. See also Kwá, Note.
急	K	íp	k	ip	會城音，又音									
急	K	íp	k	ip	會東北音，唯一讀音									
汲	K'	ep	kʰ	ɛp	會城音		158	kep	(K'ep)	汲	k′ap		51	In the N.E. of the District pronounced kíp as well.
汲	K'	ep	kʰ	ɛp	會東北音									
汲	K'	íp	kʰ	ip	會東北音，又音									
吉	K	et	k	ɛt			159	get	(Ket)	吉	kat			
咳	K'	et	kʰ	ɛt			160	ket	(K'et)	咳	k′at			
九	K	eu	k	ɛʊ			161	geu	(Keu)	九	kau		52	See also Káu, and Kwún.
茄	K	ia	k	ɪɐ			162	gia	(Kia)	茄	k′e			
屐	K	iak	k	ɪɐk			163	giak	(Kiak)	屐	k′ek			
極	K	ik	k	ɪk			164	gik	(Kik)	極	kik			
隙	K'	ik	kʰ	ɪk			165	kik	(K'ik)	隙	kwik			
劍	K	ím	k	im			166	gim	(Kím)	劍	kím			
箝	K'	ím	kʰ	im			167	kim	(K'ím)	箝	k′ím			
見	K	ín	k	in			168	gin	(Kín)	見	kín		53	The second class is pronounced kwún in the S.W.
君	K	ín	k	in	會城音		168	gin	(Kín)	君	kwan			
君	Kw	ún	kʷ	un	會西南音									
㨴	K'	ín	kʰ	in			169	kin	(K'ín)	㨴	k′ín			
拳	K'	ín	kʰ	in	會城音		169	kin	(K'ín)	拳	k′ün		54	This 2nd class is pronounced k‘ün in the S.W.
拳	K'	ún	kʰ	un	會西南音									
京	K	ing	k	ɪŋ			170	ging	(King)	京	king		55	The i is sounded slightly broader than in Canton, very like if not.exactly the same as some people pronounce the English word king, i.e. somewhat as if it had a slight sound of the vowel e in it.
及	K	íp	k	ip			171	gip	(Kíp)	及	k′ap		56	級 is pronounced k‘áp in the S.W.
級	K	íp	k	ip	會城音									
級	K	áp	k	ap	會西南音									
刦	K	íp	k	ip			171	gip	(Kíp)	刦	kíp			
潔	K	ít	k	it			172	git	(Kít)	潔	kít			
揭	K'	ít	kʰ	it			173	kit	(K'ít)	揭	k′ít			
厥	K'	ít	kʰ	it	會城音		173	kit	(K'ít)	厥	küt		57	The 2nd class is pronounced k‘üt in the S. W.
厥	K'	út	kʰ	út	會西南音									
轎	K	íú	k	iu			174	giu	(Kíú)	轎	kíú			
橋	K'	íú	kʰ	iu			175	kiu	(K'íú)	橋	k′íú			
哥	K	o	k	ɔ			176	go	(Ko)	哥	ko			
過	K	o	k	ɔ			176	go	(Ko)	過	kwo		58	戈 is fo. 果 is pronounced by the better educated as kwo.
戈	F	o	f	ɔ										
果	Kw	o	kʷ	ɔ	受過教育的人讀kʷɔ									
高	K	ò	k	o			177	gou	(Kò)	高	kò			
該	K	oí	k	ɔi			178	goi	(Koí)	該	koí			
個	K	oí	k	ɔi	會城音		178	goi	(Koí)	個	ko		59	The latter class sometimes becomes kaí, mostly in the East part of the District. See No. 132.
個	K	aí	k	ɐi	個有時讀kɐi，主要是新會東部的人									
蓋	K'	oí	kʰ	ɔi			179	koi	(K'oí)	蓋	k′oí			
各	K	ok	k	ɔk			180	gok	(Kok)	各	kok			
割	K	ok	k	ɔk			180	gok	(Kok)	割	kot			
國	K	ok	k	ɔk			180	gok	(Kok)	國	kwok		60	By the better educated people the last is pronounced kwok.
國	Kw	ok	kʷ	ɔk	受過良好教育的人國讀kʷɔk									
腳	K	ök	k	œk			181	goek	(Kök)	腳	kök			
確	K'	ok	kʰ	ɔk			182	kok	(K'ok)	確	k′ok			
卻	K'	ök	kʰ	œk			183	koek	(K'ök)	卻	k′ök			
柑	K	om	k	ɔm			184	gom	(Kom)	柑	kom			
乾	K	on	k	ɔn			185	gon	(Kon)	乾	kon			
江	K	ong	k	ɔŋ			186	gong	(Kong)	江	kong			
光	K	ong	k	ɔŋ			186	gong	(Kong)	光	kwong		61	Pronounced kwong by better educated people.
光	Kw	ong	kʷ	ɔŋ	光受過良好教育的人讀kʷɔŋ									
*	K'	ong	kʰ	ɔŋ										
薑	K'	öng	kʰ	œŋ			188	koeng	(K'öng)	薑	köng		62	This becomes keng in 20 or 30 villages.
薑	K'	eng	kʰ	ɛŋ	20到30歲村民讀kɛŋ									
