正體	简体	国际音标（丰利）	声调符号	国际音标带调（丰利）	调值	调类	泰如拼音（丰利）	泰如拼音带调（丰利）	备注
斑	斑	pʲɛ̃	˨˩	pʲɛ̃˨˩	21	1	baen	baen1	
頒	颁	pʲɛ̃	˨˩	pʲɛ̃˨˩	21	1	baen	baen1	
扳	扳	pʲɛ̃	˨˩	pʲɛ̃˨˩	21	1	baen	baen1	
瘢	瘢	pʲɛ̃	˨˩	pʲɛ̃˨˩	21	1	baen	baen1	
板	板	pʲɛ̃	˧˨˨	pʲɛ̃˧˨˨	322	3	baen	baen3	
版	版	pʲɛ̃	˧˨˨	pʲɛ̃˧˨˨	322	3	baen	baen3	
闆	板	pʲɛ̃	˧˨˨	pʲɛ̃˧˨˨	322	3	baen	baen3	
鈑	钣	pʲɛ̃	˧˨˨	pʲɛ̃˧˨˨	322	3	baen	baen3	
阪	阪	pʲɛ̃	˧˨˨	pʲɛ̃˧˨˨	322	3	baen	baen3	
坂	坂	pʲɛ̃	˧˨˨	pʲɛ̃˧˨˨	322	3	baen	baen3	
辦	办	pʲɛ̃	˦˥	pʲɛ̃˦˥	45	5	baen	baen5	文讀
扮	扮	pʲɛ̃	˦˥	pʲɛ̃˦˥	45	5	baen	baen5	
瓣	瓣	pʲɛ̃	˦˥	pʲɛ̃˦˥	45	5	baen	baen5	
爿	爿	pʲɛ̃	˦˥	pʲɛ̃˦˥	45	5	baen	baen5	
剝	剥	paʔ	˦˥	paʔ˦˥	45	7	bah	bah7	
博	博	paʔ	˦˥	paʔ˦˥	45	7	bah	bah7	
駁	驳	paʔ	˦˥	paʔ˦˥	45	7	bah	bah7	
搏	搏	paʔ	˦˥	paʔ˦˥	45	7	bah	bah7	
膊	膊	paʔ	˦˥	paʔ˦˥	45	7	bah	bah7	
柏	柏	paʔ	˦˥	paʔ˦˥	45	7	bah	bah7	
幫	帮	pã	˨˩	pã˨˩	21	1	ban	ban1	
泵	泵	pã	˨˩	pã˨˩	21	1	ban	ban1	
邦	邦	pã	˨˩	pã˨˩	21	1	ban	ban1	
梆	梆	pã	˨˩	pã˨˩	21	1	ban	ban1	
傍	傍	pã	˨˩	pã˨˩	21	1	ban	ban1	
膀	膀	pã	˧˨˨	pã˧˨˨	322	3	ban	ban3	
榜	榜	pã	˧˨˨	pã˧˨˨	322	3	ban	ban3	
綁	绑	pã	˧˨˨	pã˧˨˨	322	3	ban	ban3	
泵	泵	pã	˦˥	pã˦˥	45	5	ban	ban5	
鎊	镑	pã	˦˥	pã˦˥	45	5	ban	ban5	
不	不	pəʔ	˦˥	pəʔ˦˥	45	7	beh	beh7	
悲	悲	pəɪ	˨˩	pəɪ˨˩	21	1	bei	bei1	
杯	杯	pəɪ	˨˩	pəɪ˨˩	21	1	bei	bei1	
碑	碑	pəɪ	˨˩	pəɪ˨˩	21	1	bei	bei1	
卑	卑	pəɪ	˨˩	pəɪ˨˩	21	1	bei	bei1	
揹	背	pəɪ	˨˩	pəɪ˨˩	21	1	bei	bei1	
盃	杯	pəɪ	˨˩	pəɪ˨˩	21	1	bei	bei1	
背	背	pəɪ	˦˥	pəɪ˦˥	45	5	bei	bei5	
倍	倍	pəɪ	˦˥	pəɪ˦˥	45	5	bei	bei5	文讀
貝	贝	pəɪ	˦˥	pəɪ˦˥	45	5	bei	bei5	
輩	辈	pəɪ	˦˥	pəɪ˦˥	45	5	bei	bei5	
奔	奔	pəŋ	˨˩	pəŋ˨˩	21	1	ben	ben1	
栟	栟	pəŋ	˨˩	pəŋ˨˩	21	1	ben	ben1	地名，～茶
本	本	pəŋ	˧˨˨	pəŋ˧˨˨	322	3	ben	ben3	
奔	奔	pəŋ	˦˥	pəŋ˦˥	45	5	ben	ben5	
屄	屄	pɨᶨ	˨˩	pɨᶨ˨˩	21	1	bi	bi1	
彼	彼	pɨᶨ	˧˨˨	pɨᶨ˧˨˨	322	3	bi	bi3	
鄙	鄙	pɨᶨ	˧˨˨	pɨᶨ˧˨˨	322	3	bi	bi3	
匕	匕	pɨᶨ	˧˨˨	pɨᶨ˧˨˨	322	3	bi	bi3	
比	比	pɨᶨ	˧˨˨	pɨᶨ˧˨˨	322	3	bi	bi3	
閉	闭	pɨᶨ	˦˥	pɨᶨ˦˥	45	5	bi	bi5	
秘	秘	pɨᶨ	˦˥	pɨᶨ˦˥	45	5	bi	bi5	
臂	臂	pɨᶨ	˦˥	pɨᶨ˦˥	45	5	bi	bi5	
蔽	蔽	pɨᶨ	˦˥	pɨᶨ˦˥	45	5	bi	bi5	
痺	痹	pɨᶨ	˦˥	pɨᶨ˦˥	45	5	bi	bi5	
𠷨	扁	piɑ	˧˨˨	piɑ˧˨˨	322	3	bia	bia3	歪
必	必	piəʔ	˦˥	piəʔ˦˥	45	7	bieh	bieh7	
筆	笔	piəʔ	˦˥	piəʔ˦˥	45	7	bieh	bieh7	
壁	壁	piəʔ	˦˥	piəʔ˦˥	45	7	bieh	bieh7	
畢	毕	piəʔ	˦˥	piəʔ˦˥	45	7	bieh	bieh7	
碧	碧	piəʔ	˦˥	piəʔ˦˥	45	7	bieh	bieh7	
逼	逼	piəʔ	˦˥	piəʔ˦˥	45	7	bieh	bieh7	
潷	滗	piəʔ	˦˥	piəʔ˦˥	45	7	bieh	bieh7	
璧	璧	piəʔ	˦˥	piəʔ˦˥	45	7	bieh	bieh7	
兵	兵	piŋ	˨˩	piŋ˨˩	21	1	bien	bien1	
冰	冰	piŋ	˨˩	piŋ˨˩	21	1	bien	bien1	
賓	宾	piŋ	˨˩	piŋ˨˩	21	1	bien	bien1	
濱	滨	piŋ	˨˩	piŋ˨˩	21	1	bien	bien1	
斌	斌	piŋ	˨˩	piŋ˨˩	21	1	bien	bien1	
彬	彬	piŋ	˨˩	piŋ˨˩	21	1	bien	bien1	
瀕	濒	piŋ	˨˩	piŋ˨˩	21	1	bien	bien1	
繽	缤	piŋ	˨˩	piŋ˨˩	21	1	bien	bien1	
檳	槟	piŋ	˨˩	piŋ˨˩	21	1	bien	bien1	
蠙	𧏖	piŋ	˨˩	piŋ˨˩	21	1	bien	bien1	地名，～城
丙	丙	piŋ	˧˨˨	piŋ˧˨˨	322	3	bien	bien3	
餅	饼	piŋ	˧˨˨	piŋ˧˨˨	322	3	bien	bien3	
秉	秉	piŋ	˧˨˨	piŋ˧˨˨	322	3	bien	bien3	
稟	禀	piŋ	˧˨˨	piŋ˧˨˨	322	3	bien	bien3	
柄	柄	piŋ	˦˥	piŋ˦˥	45	5	bien	bien5	
并	并	piŋ	˦˥	piŋ˦˥	45	5	bien	bien5	
併	并	piŋ	˦˥	piŋ˦˥	45	5	bien	bien5	
殯	殡	piŋ	˦˥	piŋ˦˥	45	5	bien	bien5	
鬢	鬓	piŋ	˦˥	piŋ˦˥	45	5	bien	bien5	
摒	摒	piŋ	˦˥	piŋ˦˥	45	5	bien	bien5	
別	别	piʔ	˦˥	piʔ˦˥	45	7	bih	bih7	～针
憋	憋	piʔ	˦˥	piʔ˦˥	45	7	bih	bih7	
癟	瘪	piʔ	˦˥	piʔ˦˥	45	7	bih	bih7	
蹩	蹩	piʔ	˦˥	piʔ˦˥	45	7	bih	bih7	
鱉	鳖	piʔ	˦˥	piʔ˦˥	45	7	bih	bih7	
邊	边	pĩ	˨˩	pĩ˨˩	21	1	bin	bin1	
編	编	pĩ	˨˩	pĩ˨˩	21	1	bin	bin1	
鞭	鞭	pĩ	˨˩	pĩ˨˩	21	1	bin	bin1	
煸	煸	pĩ	˨˩	pĩ˨˩	21	1	bin	bin1	
蝙	蝙	pĩ	˨˩	pĩ˨˩	21	1	bin	bin1	
鯿	鳊	pĩ	˨˩	pĩ˨˩	21	1	bin	bin1	鯧～魚
扁	扁	pĩ	˧˨˨	pĩ˧˨˨	322	3	bin	bin3	
貶	贬	pĩ	˧˨˨	pĩ˧˨˨	322	3	bin	bin3	
匾	匾	pĩ	˧˨˨	pĩ˧˨˨	322	3	bin	bin3	
遍	遍	pĩ	˦˥	pĩ˦˥	45	5	bin	bin5	文讀
變	变	pĩ	˦˥	pĩ˦˥	45	5	bin	bin5	
標	标	piɔ	˨˩	piɔ˨˩	21	1	bio	bio1	
彪	彪	piɔ	˨˩	piɔ˨˩	21	1	bio	bio1	
膘	膘	piɔ	˨˩	piɔ˨˩	21	1	bio	bio1	
瞟	瞟	piɔ	˨˩	piɔ˨˩	21	1	bio	bio1	
鏢	镖	piɔ	˨˩	piɔ˨˩	21	1	bio	bio1	
䁃	䁃	piɔ	˨˩	piɔ˨˩	21	1	bio	bio1	看
錶	表	piɔ	˧˨˨	piɔ˧˨˨	322	3	bio	bio3	
裱	裱	piɔ	˧˨˨	piɔ˧˨˨	322	3	bio	bio3	
婊	婊	piɔ	˧˨˨	piɔ˧˨˨	322	3	bio	bio3	
表	表	piɔ	˧˨˨	piɔ˧˨˨	322	3	bio	bio3	
㧼	㧼	piɔ	˦˥	piɔ˦˥	45	5	bio	bio5	拉，牽制
包	包	pɔ	˨˩	pɔ˨˩	21	1	bo	bo1	
胞	胞	pɔ	˨˩	pɔ˨˩	21	1	bo	bo1	
孢	孢	pɔ	˨˩	pɔ˨˩	21	1	bo	bo1	
苞	苞	pɔ	˨˩	pɔ˨˩	21	1	bo	bo1	
煲	煲	pɔ	˨˩	pɔ˨˩	21	1	bo	bo1	
保	保	pɔ	˧˨˨	pɔ˧˨˨	322	3	bo	bo3	
寶	宝	pɔ	˧˨˨	pɔ˧˨˨	322	3	bo	bo3	
飽	饱	pɔ	˧˨˨	pɔ˧˨˨	322	3	bo	bo3	
堡	堡	pɔ	˧˨˨	pɔ˧˨˨	322	3	bo	bo3	
寳	宝	pɔ	˧˨˨	pɔ˧˨˨	322	3	bo	bo3	
報	报	pɔ	˦˥	pɔ˦˥	45	5	bo	bo5	
暴	暴	pɔ	˦˥	pɔ˦˥	45	5	bo	bo5	
爆	爆	pɔ	˦˥	pɔ˦˥	45	5	bo	bo5	
豹	豹	pɔ	˦˥	pɔ˦˥	45	5	bo	bo5	
北	北	pɔʔ	˦˥	pɔʔ˦˥	45	7	boh	boh7	
百	百	pɔʔ	˦˥	pɔʔ˦˥	45	7	boh	boh7	
伯	伯	pɔʔ	˦˥	pɔʔ˦˥	45	7	boh	boh7	
柏	柏	pɔʔ	˦˥	pɔʔ˦˥	45	7	boh	boh7	
卜	卜	pɔʔ	˦˥	pɔʔ˦˥	45	7	boh	boh7	
佰	佰	pɔʔ	˦˥	pɔʔ˦˥	45	7	boh	boh7	
崩	崩	pɔŋ	˨˩	pɔŋ˨˩	21	1	bon	bon1	
繃	绷	pɔŋ	˨˩	pɔŋ˨˩	21	1	bon	bon1	
䙀	䙀	pɔŋ	˧˨˨	pɔŋ˧˨˨	322	3	bon	bon3	～脆的
蹦	蹦	pɔŋ	˦˥	pɔŋ˦˥	45	5	bon	bon5	
迸	迸	pɔŋ	˦˥	pɔŋ˦˥	45	5	bon	bon5	
波	波	pʊ	˨˩	pʊ˨˩	21	1	bu	bu1	
播	播	pʊ	˨˩	pʊ˨˩	21	1	bu	bu1	
玻	玻	pʊ	˨˩	pʊ˨˩	21	1	bu	bu1	
菠	菠	pʊ	˨˩	pʊ˨˩	21	1	bu	bu1	
簸	簸	pʊ	˧˨˨	pʊ˧˨˨	322	3	bu	bu3	
跛	跛	pʊ	˧˨˨	pʊ˧˨˨	322	3	bu	bu3	
簸	簸	pʊ	˦˥	pʊ˦˥	45	5	bu	bu5	
撥	拨	pʊᵘʔ	˦˥	pʊᵘʔ˦˥	45	7	buh	buh7	
缽	钵	pʊᵘʔ	˦˥	pʊᵘʔ˦˥	45	7	buh	buh7	
搬	搬	pʊ̃ᵘ̃	˨˩	pʊ̃ᵘ̃˨˩	21	1	bun	bun1	
半	半	pʊ̃ᵘ̃	˦˥	pʊ̃ᵘ̃˦˥	45	5	bun	bun5	
絆	绊	pʊ̃ᵘ̃	˦˥	pʊ̃ᵘ̃˦˥	45	5	bun	bun5	
補	补	pʋ	˧˨˨	pʋ˧˨˨	322	3	bv	bv3	
布	布	pʋ	˦˥	pʋ˦˥	45	5	bv	bv5	
佈	布	pʋ	˦˥	pʋ˦˥	45	5	bv	bv5	
怖	怖	pʋ	˦˥	pʋ˦˥	45	5	bv	bv5	
猜	猜	tsʰɛ	˨˩	tsʰɛ˨˩	21	1	cae	cae1	
差	差	tsʰɛ	˨˩	tsʰɛ˨˩	21	1	cae	cae1	
才	才	tsʰɛ	˨˦	tsʰɛ˨˦	24	2	cae	cae2	
材	材	tsʰɛ	˨˦	tsʰɛ˨˦	24	2	cae	cae2	
財	财	tsʰɛ	˨˦	tsʰɛ˨˦	24	2	cae	cae2	
裁	裁	tsʰɛ	˨˦	tsʰɛ˨˦	24	2	cae	cae2	
纔	才	tsʰɛ	˨˦	tsʰɛ˨˦	24	2	cae	cae2	
豺	豺	tsʰɛ	˨˦	tsʰɛ˨˦	24	2	cae	cae2	
採	采	tsʰɛ	˧˨˨	tsʰɛ˧˨˨	322	3	cae	cae3	
彩	彩	tsʰɛ	˧˨˨	tsʰɛ˧˨˨	322	3	cae	cae3	
采	采	tsʰɛ	˧˨˨	tsʰɛ˧˨˨	322	3	cae	cae3	
踩	踩	tsʰɛ	˧˨˨	tsʰɛ˧˨˨	322	3	cae	cae3	
睬	睬	tsʰɛ	˧˨˨	tsʰɛ˧˨˨	322	3	cae	cae3	
菜	菜	tsʰɛ	˦˥	tsʰɛ˦˥	45	5	cae	cae5	
蔡	蔡	tsʰɛ	˦˥	tsʰɛ˦˥	45	5	cae	cae5	
在	在	tsʰɛ	˧	tsʰɛ˧	33	6	cae	cae6	
擦	擦	tsʰʲɛʔ	˦˥	tsʰʲɛʔ˦˥	45	7	caeh	caeh7	
察	察	tsʰʲɛʔ	˦˥	tsʰʲɛʔ˦˥	45	7	caeh	caeh7	
插	插	tsʰʲɛʔ	˦˥	tsʰʲɛʔ˦˥	45	7	caeh	caeh7	
雜	杂	tsʰʲɛʔ	˧	tsʰʲɛʔ˧	33	8	caeh	caeh8	
閘	闸	tsʰʲɛʔ	˧	tsʰʲɛʔ˧	33	8	caeh	caeh8	
鍘	铡	tsʰʲɛʔ	˧	tsʰʲɛʔ˧	33	8	caeh	caeh8	
煠	炸	tsʰʲɛʔ	˧	tsʰʲɛʔ˧	33	8	caeh	caeh8	
參	参	tsʰʲɛ̃	˨˩	tsʰʲɛ̃˨˩	21	1	caen	caen1	
餐	餐	tsʰʲɛ̃	˨˩	tsʰʲɛ̃˨˩	21	1	caen	caen1	
摻	掺	tsʰʲɛ̃	˨˩	tsʰʲɛ̃˨˩	21	1	caen	caen1	
攙	搀	tsʰʲɛ̃	˨˩	tsʰʲɛ̃˨˩	21	1	caen	caen1	
殘	残	tsʰʲɛ̃	˨˦	tsʰʲɛ̃˨˦	24	2	caen	caen2	
慚	惭	tsʰʲɛ̃	˨˦	tsʰʲɛ̃˨˦	24	2	caen	caen2	
饞	馋	tsʰʲɛ̃	˨˦	tsʰʲɛ̃˨˦	24	2	caen	caen2	
慘	惨	tsʰʲɛ̃	˧˨˨	tsʰʲɛ̃˧˨˨	322	3	caen	caen3	文讀
產	产	tsʰʲɛ̃	˧˨˨	tsʰʲɛ̃˧˨˨	322	3	caen	caen3	
鏟	铲	tsʰʲɛ̃	˧˨˨	tsʰʲɛ̃˧˨˨	322	3	caen	caen3	
燦	灿	tsʰʲɛ̃	˦˥	tsʰʲɛ̃˦˥	45	5	caen	caen5	
暫	暂	tsʰʲɛ̃	˧	tsʰʲɛ̃˧	33	6	caen	caen6	
綻	绽	tsʰʲɛ̃	˧	tsʰʲɛ̃˧	33	6	caen	caen6	
棧	栈	tsʰʲɛ̃	˧	tsʰʲɛ̃˧	33	6	caen	caen6	
錯	错	tsʰaʔ	˦˥	tsʰaʔ˦˥	45	7	cah	cah7	又音
鑿	凿	tsʰaʔ	˧	tsʰaʔ˧	33	8	cah	cah8	
倉	仓	tsʰã	˨˩	tsʰã˨˩	21	1	can	can1	
蒼	苍	tsʰã	˨˩	tsʰã˨˩	21	1	can	can1	
艙	舱	tsʰã	˨˩	tsʰã˨˩	21	1	can	can1	
滄	沧	tsʰã	˨˩	tsʰã˨˩	21	1	can	can1	
藏	藏	tsʰã	˨˦	tsʰã˨˦	24	2	can	can2	躲～
藏	藏	tsʰã	˧	tsʰã˧	33	6	can	can6	地～王
臟	脏	tsʰã	˧	tsʰã˧	33	6	can	can6	
策	策	tsʰəʔ	˦˥	tsʰəʔ˦˥	45	7	ceh	ceh7	
測	测	tsʰəʔ	˦˥	tsʰəʔ˦˥	45	7	ceh	ceh7	
側	侧	tsʰəʔ	˦˥	tsʰəʔ˦˥	45	7	ceh	ceh7	文讀
冊	册	tsʰəʔ	˦˥	tsʰəʔ˦˥	45	7	ceh	ceh7	
廁	厕	tsʰəʔ	˦˥	tsʰəʔ˦˥	45	7	ceh	ceh7	文讀
拆	拆	tsʰəʔ	˦˥	tsʰəʔ˦˥	45	7	ceh	ceh7	
澤	泽	tsʰəʔ	˧	tsʰəʔ˧	33	8	ceh	ceh8	
賊	贼	tsʰəʔ	˧	tsʰəʔ˧	33	8	ceh	ceh8	
擇	择	tsʰəʔ	˧	tsʰəʔ˧	33	8	ceh	ceh8	
擇	择	tsʰəʔ	˧	tsʰəʔ˧	33	8	ceh	ceh8	
宅	宅	tsʰəʔ	˧	tsʰəʔ˧	33	8	ceh	ceh8	
煍	煍	tsʰəɪ	˨˩	tsʰəɪ˨˩	21	1	cei	cei1	熏
愁	愁	tsʰəɪ	˨˦	tsʰəɪ˨˦	24	2	cei	cei2	
湊	凑	tsʰəɪ	˦˥	tsʰəɪ˦˥	45	5	cei	cei5	
撐	撑	tsʰəŋ	˨˩	tsʰəŋ˨˩	21	1	cen	cen1	
參	参	tsʰəŋ	˨˩	tsʰəŋ˨˩	21	1	cen	cen1	
層	层	tsʰəŋ	˨˦	tsʰəŋ˨˦	24	2	cen	cen2	
曾	曾	tsʰəŋ	˨˦	tsʰəŋ˨˦	24	2	cen	cen2	
蹲	蹲	tsʰəŋ	˨˦	tsʰəŋ˨˦	24	2	cen	cen2	
朆	朆	tsʰəŋ	˨˦	tsʰəŋ˨˦	24	2	cen	cen2	“不曾”省音
朆	朆	tsʰəŋ	˧˨˨	tsʰəŋ˧˨˨	322	3	cen	cen3	“不曾”省音，會意字
蹭	蹭	tsʰəŋ	˦˥	tsʰəŋ˦˥	45	5	cen	cen5	
襯	衬	tsʰəŋ	˦˥	tsʰəŋ˦˥	45	5	cen	cen5	～衫
車	车	tʂʰɑ	˨˩	tʂʰɑ˨˩	21	1	cha	cha1	
差	差	tʂʰɑ	˨˩	tʂʰɑ˨˩	21	1	cha	cha1	
叉	叉	tʂʰɑ	˨˩	tʂʰɑ˨˩	21	1	cha	cha1	
杈	杈	tʂʰɑ	˨˩	tʂʰɑ˨˩	21	1	cha	cha1	
查	查	tʂʰɑ	˨˦	tʂʰɑ˨˦	24	2	cha	cha2	
茶	茶	tʂʰɑ	˨˦	tʂʰɑ˨˦	24	2	cha	cha2	
茬	茬	tʂʰɑ	˨˦	tʂʰɑ˨˦	24	2	cha	cha2	
搽	搽	tʂʰɑ	˨˦	tʂʰɑ˨˦	24	2	cha	cha2	
扯	扯	tʂʰɑ	˧˨˨	tʂʰɑ˧˨˨	322	3	cha	cha3	
撦	扯	tʂʰɑ	˧˨˨	tʂʰɑ˧˨˨	322	3	cha	cha3	
岔	岔	tʂʰɑ	˦˥	tʂʰɑ˦˥	45	5	cha	cha5	
衩	衩	tʂʰɑ	˦˥	tʂʰɑ˦˥	45	5	cha	cha5	
焯	焯	tʂʰaʔ	˦˥	tʂʰaʔ˦˥	45	7	chah	chah7	用滾水燙熟
㪕	㪕	tʂʰaʔ	˦˥	tʂʰaʔ˦˥	45	7	chah	chah7	舀起，～米
昨	昨	tʂʰaʔ	˧	tʂʰaʔ˧	33	8	chah	chah8	～朝，～子
著	着	tʂʰaʔ	˧	tʂʰaʔ˧	33	8	chah	chah8	
昌	昌	tʂʰã	˨˩	tʂʰã˨˩	21	1	chan	chan1	
猖	猖	tʂʰã	˨˩	tʂʰã˨˩	21	1	chan	chan1	
娼	娼	tʂʰã	˨˩	tʂʰã˨˩	21	1	chan	chan1	
鯧	鲳	tʂʰã	˨˩	tʂʰã˨˩	21	1	chan	chan1	～鯿魚
常	常	tʂʰã	˨˦	tʂʰã˨˦	24	2	chan	chan2	文讀
場	场	tʂʰã	˨˦	tʂʰã˨˦	24	2	chan	chan2	
腸	肠	tʂʰã	˨˦	tʂʰã˨˦	24	2	chan	chan2	
嫦	嫦	tʂʰã	˨˦	tʂʰã˨˦	24	2	chan	chan2	
長	长	tʂʰã	˨˦	tʂʰã˨˦	24	2	chan	chan2	
廠	厂	tʂʰã	˧˨˨	tʂʰã˧˨˨	322	3	chan	chan3	
敞	敞	tʂʰã	˧˨˨	tʂʰã˧˨˨	322	3	chan	chan3	
唱	唱	tʂʰã	˦˥	tʂʰã˦˥	45	5	chan	chan5	
倡	倡	tʂʰã	˦˥	tʂʰã˦˥	45	5	chan	chan5	
暢	畅	tʂʰã	˦˥	tʂʰã˦˥	45	5	chan	chan5	
丈	丈	tʂʰã	˧	tʂʰã˧	33	6	chan	chan6	
仗	仗	tʂʰã	˧	tʂʰã˧	33	6	chan	chan6	白读
杖	杖	tʂʰã	˧	tʂʰã˧	33	6	chan	chan6	
尺	尺	tʂʰəʔ	˦˥	tʂʰəʔ˦˥	45	7	cheh	cheh7	
赤	赤	tʂʰəʔ	˦˥	tʂʰəʔ˦˥	45	7	cheh	cheh7	
斥	斥	tʂʰəʔ	˦˥	tʂʰəʔ˦˥	45	7	cheh	cheh7	
直	直	tʂʰəʔ	˧	tʂʰəʔ˧	33	8	cheh	cheh8	
值	值	tʂʰəʔ	˧	tʂʰəʔ˧	33	8	cheh	cheh8	
植	植	tʂʰəʔ	˧	tʂʰəʔ˧	33	8	cheh	cheh8	
殖	殖	tʂʰəʔ	˧	tʂʰəʔ˧	33	8	cheh	cheh8	
抽	抽	tʂʰəɪ	˨˩	tʂʰəɪ˨˩	21	1	chei	chei1	
籌	筹	tʂʰəɪ	˨˦	tʂʰəɪ˨˦	24	2	chei	chei2	
仇	仇	tʂʰəɪ	˨˦	tʂʰəɪ˨˦	24	2	chei	chei2	
酬	酬	tʂʰəɪ	˨˦	tʂʰəɪ˨˦	24	2	chei	chei2	
綢	绸	tʂʰəɪ	˨˦	tʂʰəɪ˨˦	24	2	chei	chei2	
稠	稠	tʂʰəɪ	˨˦	tʂʰəɪ˨˦	24	2	chei	chei2	
醜	丑	tʂʰəɪ	˧˨˨	tʂʰəɪ˧˨˨	322	3	chei	chei3	
丑	丑	tʂʰəɪ	˧˨˨	tʂʰəɪ˧˨˨	322	3	chei	chei3	
臭	臭	tʂʰəɪ	˦˥	tʂʰəɪ˦˥	45	5	chei	chei5	
驟	骤	tʂʰəɪ	˧	tʂʰəɪ˧	33	6	chei	chei6	
宙	宙	tʂʰəɪ	˧	tʂʰəɪ˧	33	6	chei	chei6	
稱	称	tʂʰəŋ	˨˩	tʂʰəŋ˨˩	21	1	chen	chen1	
蟶	蛏	tʂʰəŋ	˨˩	tʂʰəŋ˨˩	21	1	chen	chen1	
成	成	tʂʰəŋ	˨˦	tʂʰəŋ˨˦	24	2	chen	chen2	
程	程	tʂʰəŋ	˨˦	tʂʰəŋ˨˦	24	2	chen	chen2	
城	城	tʂʰəŋ	˨˦	tʂʰəŋ˨˦	24	2	chen	chen2	
承	承	tʂʰəŋ	˨˦	tʂʰəŋ˨˦	24	2	chen	chen2	
陳	陈	tʂʰəŋ	˨˦	tʂʰəŋ˨˦	24	2	chen	chen2	
沉	沉	tʂʰəŋ	˨˦	tʂʰəŋ˨˦	24	2	chen	chen2	
塵	尘	tʂʰəŋ	˨˦	tʂʰəŋ˨˦	24	2	chen	chen2	
乘	乘	tʂʰəŋ	˨˦	tʂʰəŋ˨˦	24	2	chen	chen2	
臣	臣	tʂʰəŋ	˨˦	tʂʰəŋ˨˦	24	2	chen	chen2	
呈	呈	tʂʰəŋ	˨˦	tʂʰəŋ˨˦	24	2	chen	chen2	
誠	诚	tʂʰəŋ	˨˦	tʂʰəŋ˨˦	24	2	chen	chen2	
晨	晨	tʂʰəŋ	˨˦	tʂʰəŋ˨˦	24	2	chen	chen2	
懲	惩	tʂʰəŋ	˨˦	tʂʰəŋ˨˦	24	2	chen	chen2	
澄	澄	tʂʰəŋ	˨˦	tʂʰəŋ˨˦	24	2	chen	chen2	
辰	辰	tʂʰəŋ	˨˦	tʂʰəŋ˨˦	24	2	chen	chen2	
丞	丞	tʂʰəŋ	˨˦	tʂʰəŋ˨˦	24	2	chen	chen2	
橙	橙	tʂʰəŋ	˨˦	tʂʰəŋ˨˦	24	2	chen	chen2	
逞	逞	tʂʰəŋ	˧˨˨	tʂʰəŋ˧˨˨	322	3	chen	chen3	
稱	称	tʂʰəŋ	˦˥	tʂʰəŋ˦˥	45	5	chen	chen5	
剩	剩	tʂʰəŋ	˦˥	tʂʰəŋ˦˥	45	5	chen	chen5	
趁	趁	tʂʰəŋ	˦˥	tʂʰəŋ˦˥	45	5	chen	chen5	
秤	秤	tʂʰəŋ	˦˥	tʂʰəŋ˦˥	45	5	chen	chen5	
陣	阵	tʂʰəŋ	˧	tʂʰəŋ˧	33	6	chen	chen6	
鄭	郑	tʂʰəŋ	˧	tʂʰəŋ˧	33	6	chen	chen6	
