聲	呼	等	韻	調	組	攝	單字	原註	新註	聲母	韻母	聲調	次 聲母	次 韻母	次 聲調	IPA 聲母	IPɐ 韻母	IPA 聲調
並	開	三	支B	去	幫	止	被	被動		b	ei	6				p	ei	32
並	開	三	脂A	去	幫	止	比	比鄰		b	ei	6				p	ei	32
並	開	三	脂A	去	幫	止	鼻			b	ei	6				p	ei	32
並	開	三	脂B	去	幫	止	備			b	ei	6				p	ei	32
幫	開	三	清A	上	幫	梗	餅		習讀應爲韻母ing對應的白讀音	b	eng	2				p	ɛŋ	35
幫	開	三	庚	去	幫	梗	柄		習讀應爲韻母ing對應的白讀音	b	eng	3				p	ɛŋ	33
幫	開	三	清A	去	幫	梗	摒		躲藏，習讀應爲韻母ing對應的白讀音	b	eng	3				p	ɛŋ	33
並	開	三	庚	去	幫	梗	病		習讀應爲韻母ing對應的白讀音	b	eng	6				p	ɛŋ	32
幫	開	二	庚	入	幫	梗	迫			b	ik	1				p	ɪk	5
幫	開	三	清A	入	幫	梗	璧			b	ik	1				p	ɪk	5
幫	開	三	清B	入	幫	梗	碧			b	ik	1				p	ɪk	5
幫	開	四	青	入	幫	梗	壁			b	ik	1				p	ɪk	5
幫	開	三	蒸	入	幫	曾	逼			b	ik	1				p	ɪk	5
幫	開	三	仙A	平	幫	山	鞭			b	in	1				p	in	55
幫	開	四	先	平	幫	山	邊			b	in	1				p	in	55
並	開	四	先	上	幫	山	辮			b	in	1				p	in	55
幫	開	四	先	上	幫	山	扁	扁平		b	in	2				p	in	35
幫	開	四	先	上	幫	山	匾			b	in	2				p	in	35
幫	開	三	鹽B	上	幫	咸	貶			b	in	2				p	in	35
幫	開	三	仙B	去	幫	山	變			b	in	3				p	in	33
並	開	三	仙A	去	幫	山	便	便利		b	in	6				p	in	32
並	開	三	仙B	上	幫	山	辨			b	in	6				p	in	32
並	開	三	仙B	上	幫	山	辯			b	in	6				p	in	32
並	開	三	仙B	去	幫	山	汴			b	in	6				p	in	32
幫	開	三	庚	平	幫	梗	兵			b	ing	1				p	ɪŋ	55
幫	開	三	蒸	平	幫	曾	冰			b	ing	1				p	ɪŋ	55
-	-	-	-	-	-	-	乒			b	ing	1				p	ɪŋ	55
幫	開	三	庚	上	幫	梗	炳			b	ing	2				p	ɪŋ	35
幫	開	三	庚	上	幫	梗	秉			b	ing	2				p	ɪŋ	35
幫	開	三	庚	上	幫	梗	丙			b	ing	2				p	ɪŋ	35
幫	開	三	清A	上	幫	梗	屏	屏除		b	ing	2				p	ɪŋ	35
幫	開	三	清A	上	幫	梗	併			b	ing	2				p	ɪŋ	35
幫	開	三	清A	去	幫	梗	摒			b	ing	2				p	ɪŋ	35
幫	開	二	耕	去	幫	梗	迸			b	ing	3				p	ɪŋ	33
幫	開	三	清A	平	幫	梗	并			b	ing	6				p	ɪŋ	32
並	開	四	青	上	幫	梗	並			b	ing	6				p	ɪŋ	32
幫	開	三	真A	入	幫	臻	必			b	it	1				p	it	5
幫	開	三	祭A	去	幫	蟹	彆			b	it	6				p	it	2
並	開	三	仙B	入	幫	山	別			b	it	6				p	it	2
並	開	四	先	入	幫	山	癟			b	it	6				p	it	2
幫	開	三	宵A	平	幫	效	飆			b	iu	1				p	iu	55
幫	開	三	宵A	平	幫	效	標			b	iu	1				p	iu	55
幫	開	三	宵B	平	幫	效	鑣			b	iu	1				p	iu	55
幫	開	三	幽	平	幫	流	彪			b	iu	1				p	iu	55
-	-	-	-	-	-	-	錶			b	iu	1				p	iu	55
幫	開	三	宵B	上	幫	效	表			b	iu	2				p	iu	35
							般	般若		b	o	1				p	ɔ	55
幫	開	一	歌	平	幫	果	波			b	o	1				p	ɔ	55
滂	開	一	歌	平	幫	果	玻			b	o	1				p	ɔ	55
幫	開	一	歌	上	幫	果	簸			b	o	1				p	ɔ	55
-	-	-	-	-	-	-	菠			b	o	1				p	ɔ	55
幫	開	一	歌	去	幫	果	播			b	o	3				p	ɔ	33
幫	開	一	東	入	幫	通	卜			b	ok	1				p	ɔk	5
幫	開	二	江	入	幫	江	駁			b	ok	3				p	ɔk	3
幫	合	三	虞	去	幫	遇	搏			b	ok	3				p	ɔk	3
幫	開	一	唐	入	幫	宕	博			b	ok	3				p	ɔk	3
滂	開	一	唐	入	幫	宕	膊			b	ok	3				p	ɔk	3
並	開	一	歌	去	幫	果	縛			b	ok	3				p	ɔk	3
並	開	二	江	入	幫	江	雹			b	ok	6				p	ɔk	2
							魄	旁魄		b	ok	6				p	ɔk	2
並	開	一	唐	入	幫	宕	薄			b	ok	6				p	ɔk	2
並	開	一	唐	入	幫	宕	礴			b	ok	6				p	ɔk	2
幫	開	二	江	平	幫	江	邦			b	ong	1				p	ɔŋ	55
幫	開	一	唐	平	幫	宕	幫			b	ong	1				p	ɔŋ	55
							膀	肩膀		b	ong	2				p	ɔŋ	35
並	開	二	庚	平	幫	梗	榜			b	ong	2				p	ɔŋ	35
-	-	-	-	-	-	-	綁			b	ong	2				p	ɔŋ	35
幫	開	一	唐	去	幫	宕	謗			b	ong	3				p	ɔŋ	33
並	開	一	唐	去	幫	宕	傍	依山傍水		b	ong	6				p	ɔŋ	32
							磅	一磅		b	ong	6				p	ɔŋ	32
幫	開	一	豪	平	幫	效	褒			b	ou	1				p	ou	55
-	-	-	-	-	-	-	煲			b	ou	1				p	ou	55
幫	開	一	模	上	幫	遇	補			b	ou	2				p	ou	35
並	開	一	模	上	幫	遇	簿		记事簿	b	ou	2				p	ou	35
幫	開	一	豪	上	幫	效	寶			b	ou	2				p	ou	35
幫	開	一	豪	上	幫	效	堡			b	ou	2				p	ou	35
幫	開	一	豪	上	幫	效	保			b	ou	2				p	ou	35
幫	開	一	豪	上	幫	效	葆			b	ou	2				p	ou	35
幫	開	一	豪	上	幫	效	褓			b	ou	2				p	ou	35
幫	開	一	模	去	幫	遇	布			b	ou	3				p	ou	33
幫	開	一	模	去	幫	遇	佈			b	ou	3				p	ou	33
滂	開	一	模	去	幫	遇	怖			b	ou	3				p	ou	33
幫	開	一	豪	去	幫	效	報			b	ou	3				p	ou	33
並	開	一	模	上	幫	遇	簿		主簿	b	ou	6				p	ou	32
並	開	一	模	上	幫	遇	部			b	ou	6				p	ou	32
並	開	一	模	去	幫	遇	步			b	ou	6				p	ou	32
並	開	一	模	去	幫	遇	捕			b	ou	6				p	ou	32
並	開	一	模	去	幫	遇	哺			b	ou	6				p	ou	32
並	開	一	豪	去	幫	效	暴	凶暴		b	ou	6				p	ou	32
-	-	-	-	-	-	-	埔			b	ou	6				p	ou	32
-	-	-	-	-	-	-	埠	船埠，埠頭		b	ou	6				p	ou	32
幫	合	一	灰	平	幫	蟹	杯			b	ui	1				p	ui	55
幫	合	一	灰	平	幫	蟹	盃			b	ui	1				p	ui	55
幫	開	一	泰	去	幫	蟹	貝			b	ui	3				p	ui	33
幫	開	一	泰	去	幫	蟹	狽			b	ui	3				p	ui	33
幫	合	一	灰	去	幫	蟹	輩			b	ui	3				p	ui	33
幫	合	一	灰	去	幫	蟹	背	背後		b	ui	3				p	ui	33
並	合	一	灰	去	幫	蟹	悖			b	ui	3				p	ui	33
並	合	一	灰	去	幫	蟹	背	背書		b	ui	6				p	ui	32
-	-	-	-	-	-	-	焙			b	ui	6				p	ui	32
幫	開	一	東	入	幫	通	卜			b	uk	1				p	ʊk	5
幫	開	一	東	入	幫	通	蹼			b	uk	6				p	ʊk	2
並	開	一	東	入	幫	通	僕			b	uk	6				p	ʊk	2
並	開	一	東	入	幫	通	暴	一暴十寒		b	uk	6				p	ʊk	2
並	開	一	豪	去	幫	效	曝			b	uk	6				p	ʊk	2
並	開	一	豪	去	幫	效	瀑			b	uk	6				p	ʊk	2
幫	開	一	寒	平	幫	山	般	一般		b	un	1				p	un	55
-	-	-	-	-	-	-	搬			b	un	1				p	un	55
幫	合	一	魂	上	幫	臻	本			b	un	2				p	un	35
幫	合	一	魂	上	幫	臻	畚			b	un	2				p	un	35
幫	開	一	寒	去	幫	山	半			b	un	3				p	un	33
並	開	一	寒	上	幫	山	伴			b	un	6				p	un	32
幫	開	一	寒	去	幫	山	絆			b	un	6				p	un	32
並	開	一	寒	去	幫	山	叛			b	un	6				p	un	32
並	開	一	寒	去	幫	山	畔			b	un	6				p	un	32
滂	開	一	寒	平	幫	山	拌			b	un	6				p	un	32
滂	開	一	寒	去	幫	山	胖	肥胖		b	un	6				p	un	32
滂	合	三	鍾	上	幫	通	捧			b	ung	2				p	ʊŋ	35
-	-	-	-	-	-	-	缽			b	ut	3				p	ut	3
並	合	一	魂	入	幫	臻	脖			b	ut	6				p	ut	2
並	合	一	魂	入	幫	臻	渤			b	ut	6				p	ut	2
並	合	一	魂	入	幫	臻	勃			b	ut	6				p	ut	2
幫	開	一	寒	入	幫	山	撥			b	ut	6				p	ut	2
初	開	二	麻	平	莊	假	差	差別		c	aa	1				ʦʰ	a	55
初	開	二	佳	平	莊	蟹	叉			c	aa	1				ʦʰ	a	55
徹	開	二	麻	上	知	假	奼			c	aa	3				ʦʰ	a	33
徹	開	二	麻	去	知	假	詫			c	aa	3				ʦʰ	a	33
-	-	-	-	-	-	-	岔			c	aa	3				ʦʰ	a	33
崇	開	二	麻	平	莊	假	查	檢查		c	aa	4				ʦʰ	a	21
澄	開	二	麻	平	知	假	茶			c	aa	4				ʦʰ	a	21
崇	開	二	麻	平	莊	假	槎			c	aa	4				ʦʰ	a	21
							查	查姓	文盲音	c	aa	4				ʦʰ	a	21
初	開	二	佳	平	莊	蟹	差	出差		c	aai	1				ʦʰ	ai	55
清	開	一	咍	平	精	蟹	猜			c	aai	1				ʦʰ	ai	55
-	-	-	-	-	-	-	踩			c	aai	2				ʦʰ	ai	35
崇	開	二	佳	平	莊	蟹	柴			c	aai	4				ʦʰ	ai	21
清	開	一	覃	平	精	咸	參	參加		c	aam	1				ʦʰ	am	55
崇	開	二	咸	平	莊	咸	攙			c	aam	1				ʦʰ	am	55
生	開	二	咸	平	莊	咸	摻			c	aam	1				ʦʰ	am	55
清	開	一	覃	上	精	咸	慘			c	aam	2				ʦʰ	am	35
生	開	二	咸	平	莊	咸	杉			c	aam	3				ʦʰ	am	33
從	開	一	談	平	精	咸	慚			c	aam	4				ʦʰ	am	21
崇	開	二	咸	平	莊	咸	饞			c	aam	4				ʦʰ	am	21
從	開	一	覃	平	精	咸	蠶			c	aam	4				ʦʰ	am	21
清	開	一	寒	平	精	山	餐			c	aan	1				ʦʰ	an	55
初	開	二	山	上	莊	山	鏟			c	aan	2				ʦʰ	an	35
生	開	二	山	上	莊	山	產			c	aan	2				ʦʰ	an	35
-	-	-	-	-	-	-	剷			c	aan	2				ʦʰ	an	35
清	開	一	寒	去	精	山	璨			c	aan	3				ʦʰ	an	33
清	開	一	寒	去	精	山	燦			c	aan	3				ʦʰ	an	33
從	開	一	寒	平	精	山	殘			c	aan	4				ʦʰ	an	21
初	開	二	咸	入	莊	咸	插			c	aap	3				ʦʰ	ap	3
透	開	一	寒	入	端	山	獺			c	aat	3				ʦʰ	at	3
初	開	二	山	入	莊	山	察			c	aat	3				ʦʰ	at	3
-	-	-	-	-	-	-	擦			c	aat	3				ʦʰ	at	3
生	合	二	刪	入	莊	山	刷			c	aat	3				ʦʰ	at	3
初	開	二	肴	平	莊	效	抄			c	aau	1				ʦʰ	au	55
初	開	二	肴	平	莊	效	鈔			c	aau	1				ʦʰ	au	55
初	開	二	肴	上	莊	效	炒			c	aau	2				ʦʰ	au	35
明	開	三	宵A	上	幫	效	吵			c	aau	2				ʦʰ	au	35
崇	開	二	肴	平	莊	效	巢			c	aau	4				ʦʰ	au	21
清	開	四	齊	平	精	蟹	妻			c	ai	1				ʦʰ	ɐi	55
清	開	四	齊	平	精	蟹	萋			c	ai	1				ʦʰ	ɐi	55
清	開	四	齊	平	精	蟹	淒			c	ai	1				ʦʰ	ɐi	55
清	開	四	齊	平	精	蟹	悽			c	ai	1				ʦʰ	ɐi	55
心	開	四	齊	平	精	蟹	棲			c	ai	1				ʦʰ	ɐi	55
清	開	四	齊	去	精	蟹	砌			c	ai	3				ʦʰ	ɐi	33
清	開	四	齊	去	精	蟹	切	一切		c	ai	3				ʦʰ	ɐi	33
清	開	四	先	入	精	山	沏			c	ai	3				ʦʰ	ɐi	33
從	開	四	齊	平	精	蟹	齊	整齊		c	ai	4				ʦʰ	ɐi	21
							吒	叱吒		c	ak	1				ʦʰ	ɐk	5
初	開	三	蒸	入	莊	曾	惻			c	ak	1				ʦʰ	ɐk	5
初	開	三	蒸	入	莊	曾	測			c	ak	1				ʦʰ	ɐk	5
初	開	三	庚	入	莊	梗	柵	木柵		c	ak	3				ʦʰ	ɐk	3
徹	開	二	庚	入	知	梗	坼			c	ak	3				ʦʰ	ɐk	3
初	開	二	耕	入	莊	梗	冊			c	ak	3				ʦʰ	ɐk	3
初	開	二	耕	入	莊	梗	策			c	ak	3				ʦʰ	ɐk	3
-	-	-	-	-	-	-	拆			c	ak	3				ʦʰ	ɐk	3
從	開	一	登	入	精	曾	賊			c	ak	6				ʦʰ	ɐk	2
清	開	三	侵A	平	精	深	侵			c	am	1				ʦʰ	ɐm	55
初	開	三	侵B	平	莊	深	參	參差		c	am	1				ʦʰ	ɐm	55
清	開	三	侵A	上	精	深	寢			c	am	2				ʦʰ	ɐm	35
邪	開	三	侵A	平	精	深	尋			c	am	4				ʦʰ	ɐm	21
澄	開	三	侵B	平	知	深	沉			c	am	4				ʦʰ	ɐm	21
清	開	三	真A	平	精	臻	親	親人		c	an	1				ʦʰ	ɐn	55
昌	開	三	真A	平	章	臻	瞋			c	an	1				ʦʰ	ɐn	55
章	開	三	真A	上	章	臻	疹			c	an	2				ʦʰ	ɐn	35
章	開	三	真A	上	章	臻	診			c	an	2				ʦʰ	ɐn	35
清	開	三	真A	去	精	臻	親	親家		c	an	3				ʦʰ	ɐn	33
澄	開	三	真B	平	知	臻	趁			c	an	3				ʦʰ	ɐn	33
初	開	三	真B	去	莊	臻	襯			c	an	3				ʦʰ	ɐn	33
澄	開	三	真B	平	知	臻	塵			c	an	4				ʦʰ	ɐn	21
澄	開	三	真B	平	知	臻	陳			c	an	4				ʦʰ	ɐn	21
初	開	二	庚	平	莊	梗	鐺	瓦鐺		c	ang	1				ʦʰ	ɐŋ	55
							鎗			c	ang	1				ʦʰ	ɐŋ	55
-	-	-	-	-	-	-	撐		支撐	c	ang	1				ʦʰ	ɐŋ	55
徹	開	二	庚	平	知	梗	瞠			c	ang	1				ʦʰ	ɐŋ	55
澄	開	二	耕	平	知	梗	橙			c	ang	2				ʦʰ	ɐŋ	35
-	-	-	-	-	-	-	撐		撐檯	c	ang	3				ʦʰ	ɐŋ	33
從	開	一	登	平	精	曾	曾	曾經		c	ang	4				ʦʰ	ɐŋ	21
從	開	一	登	平	精	曾	層			c	ang	4				ʦʰ	ɐŋ	21
清	開	三	侵A	入	精	深	緝			c	ap	1				ʦʰ	ɐp	5
從	開	三	侵A	入	精	深	輯			c	ap	1				ʦʰ	ɐp	5
清	開	三	真A	入	精	臻	柒			c	at	1				ʦʰ	ɐt	5
清	開	三	真A	入	精	臻	七			c	at	1				ʦʰ	ɐt	5
清	開	三	真A	入	精	臻	漆			c	at	1				ʦʰ	ɐt	5
清	開	三	尤	平	精	流	鰍			c	au	1				ʦʰ	ɐu	55
清	開	三	尤	平	精	流	秋			c	au	1				ʦʰ	ɐu	55
徹	開	三	尤	平	知	流	抽			c	au	1				ʦʰ	ɐu	55
徹	開	三	尤	上	知	流	丑			c	au	2				ʦʰ	ɐu	35
昌	開	三	尤	上	章	流	醜			c	au	2				ʦʰ	ɐu	35
溪	開	三	尤	上	見	流	糗			c	au	3				ʦʰ	ɐu	33
昌	開	三	尤	去	章	流	臭			c	au	3				ʦʰ	ɐu	33
清	開	一	侯	去	精	流	湊			c	au	3				ʦʰ	ɐu	33
-	-	-	-	-	-	-	嗅			c	au	3				ʦʰ	ɐu	33
透	開	一	豪	平	端	效	綢			c	au	4				ʦʰ	ɐu	21
邪	開	三	尤	平	精	流	囚			c	au	4				ʦʰ	ɐu	21
徹	開	三	尤	平	知	流	惆			c	au	4				ʦʰ	ɐu	21
澄	開	三	尤	平	知	流	躊			c	au	4				ʦʰ	ɐu	21
澄	開	三	尤	平	知	流	稠			c	au	4				ʦʰ	ɐu	21
澄	開	三	尤	平	知	流	籌			c	au	4				ʦʰ	ɐu	21
澄	開	三	尤	平	知	流	疇			c	au	4				ʦʰ	ɐu	21
常	開	三	尤	平	章	流	酬			c	au	4				ʦʰ	ɐu	21
昌	開	三	麻	平	章	假	車	汽車		c	e	1				ʦʰ	ɛ	55
書	開	三	麻	平	章	假	奢			c	e	1				ʦʰ	ɛ	55
精	開	三	魚	平	精	遇	且			c	e	2				ʦʰ	ɛ	35
-	-	-	-	-	-	-	扯			c	e	2				ʦʰ	ɛ	35
以	開	三	麻	平	以	假	斜			c	e	4				ʦʰ	ɛ	21
昌	開	三	清A	入	章	梗	尺		習讀應爲韻母ik對應的白讀音	c	ek	3				ʦʰ	ɛk	3
昌	開	三	清A	入	章	梗	赤		習讀應爲韻母ik對應的白讀音	c	ek	3				ʦʰ	ɛk	3
清	開	三	清A	平	精	梗	清		習讀應爲韻母ing對應的白讀音	c	eng	1				ʦʰ	ɛŋ	55
清	開	四	青	平	精	梗	青		習讀應爲韻母ing對應的白讀音	c	eng	1				ʦʰ	ɛŋ	55
從	開	三	清A	平	精	梗	請		習讀應爲韻母ing對應的白讀音	c	eng	2				ʦʰ	ɛŋ	35
昌	合	三	支A	平	章	止	炊			c	eoi	1				ʦʰ	øy	55
昌	合	三	支A	平	章	止	吹			c	eoi	1				ʦʰ	øy	55
清	開	三	魚	平	精	遇	蛆			c	eoi	1				ʦʰ	øy	55
清	合	三	虞	平	精	遇	趨			c	eoi	1				ʦʰ	øy	55
清	合	一	灰	平	精	蟹	崔			c	eoi	1				ʦʰ	øy	55
清	合	一	灰	平	精	蟹	催			c	eoi	1				ʦʰ	øy	55
從	合	一	灰	平	精	蟹	摧			c	eoi	1				ʦʰ	øy	55
清	合	一	灰	上	精	蟹	璀			c	eoi	1				ʦʰ	øy	55
初	合	三	支B	平	莊	止	衰	齊衰		c	eoi	1				ʦʰ	øy	55
心	合	三	虞	平	精	遇	娶			c	eoi	2				ʦʰ	øy	35
清	合	三	虞	上	精	遇	取			c	eoi	2				ʦʰ	øy	35
清	合	三	脂A	去	精	止	翠			c	eoi	3				ʦʰ	øy	33
清	合	三	祭A	去	精	蟹	脆			c	eoi	3				ʦʰ	øy	33
清	開	一	侯	上	精	流	趣			c	eoi	3				ʦʰ	øy	33
-	-	-	-	-	-	-	覷			c	eoi	3				ʦʰ	øy	33
邪	合	三	支A	平	精	止	隨			c	eoi	4				ʦʰ	øy	21
邪	合	三	支A	平	精	止	隋			c	eoi	4				ʦʰ	øy	21
澄	合	三	支B	平	知	止	錘	鐵錘，稱錘		c	eoi	4				ʦʰ	øy	21
澄	合	三	脂B	平	知	止	槌			c	eoi	4				ʦʰ	øy	21
澄	合	三	脂B	平	知	止	椎	鐵椎		c	eoi	4				ʦʰ	øy	21
澄	合	三	脂B	平	知	止	鎚			c	eoi	4				ʦʰ	øy	21
邪	開	三	魚	平	精	遇	徐			c	eoi	4				ʦʰ	øy	21
澄	開	三	魚	平	知	遇	除			c	eoi	4				ʦʰ	øy	21
以	開	三	魚	平	以	遇	蜍			c	eoi	4				ʦʰ	øy	21
端	合	一	灰	平	端	蟹	搥			c	eoi	4				ʦʰ	øy	21
昌	合	三	真A	平	章	臻	春			c	eon	1				ʦʰ	ɵn	55
常	合	三	真A	平	章	臻	鶉	鵪鶉，鵪鶉蛋		c	eon	1				ʦʰ	ɵn	55
昌	合	三	真A	上	章	臻	蠢			c	eon	2				ʦʰ	ɵn	35
從	開	三	真A	平	精	臻	秦			c	eon	4				ʦʰ	ɵn	21
邪	合	三	真A	平	精	臻	巡			c	eon	4				ʦʰ	ɵn	21
邪	合	三	真A	平	精	臻	馴			c	eon	4				ʦʰ	ɵn	21
邪	合	三	真A	平	精	臻	旬			c	eon	4				ʦʰ	ɵn	21
邪	合	三	真A	平	精	臻	循			c	eon	4				ʦʰ	ɵn	21
昌	合	三	脂A	去	章	止	出			c	eot	1				ʦʰ	ɵt	5
-	-	-	-	-	-	-	齣			c	eot	1				ʦʰ	ɵt	5
清	開	三	支A	平	精	止	雌			c	i	1				ʦʰ	i	55
從	開	三	支A	平	精	止	疵			c	i	1				ʦʰ	i	55
初	開	三	支B	平	莊	止	差	參差		c	i	1				ʦʰ	i	55
徹	開	三	之	平		止	痴			c	i	1				ʦʰ	i	55
昌	開	三	之	平	章	止	嗤			c	i	1				ʦʰ	i	55
清	開	三	支A	上	精	止	此			c	i	2				ʦʰ	i	35
昌	開	三	支A	上	章	止	侈			c	i	2				ʦʰ	i	35
書	開	三	脂A	上	章	止	矢			c	i	2				ʦʰ	i	35
徹	開	三	之	上		止	恥			c	i	2				ʦʰ	i	35
昌	開	三	之	上	章	止	齒			c	i	2				ʦʰ	i	35
書	開	三	之	上	章	止	始			c	i	2				ʦʰ	i	35
